"sim.model"	"fit.model"	"n.muts"	"coes"	"sigma"	"rep"	"w.hats.1"	"w.hats.2"	"w.hats.3"	"R2"	"sig.hat"	"logLike"	"P"
"add"	"add"	"3"	"0.1"	"0.02"	"1"	"0.09227"	"0.10781"	"0.05982"	"0.8788"	"0.02026"	"20.84326"	"-5.07895"
"add"	"add"	"3"	"0.1"	"0.02"	"2"	"0.1127"	"0.08267"	"0.10345"	"0.9937"	"0.0059"	"30.71695"	"-0.34955"
"add"	"add"	"3"	"0.1"	"0.02"	"3"	"0.08659"	"0.10613"	"0.09154"	"0.96977"	"0.01157"	"25.32581"	"-3.76522"
"add"	"add"	"3"	"0.1"	"0.02"	"4"	"0.09473"	"0.09293"	"0.09968"	"0.9398"	"0.01767"	"21.93442"	"-0.64298"
"add"	"add"	"3"	"0.1"	"0.02"	"5"	"0.08415"	"0.09953"	"0.10462"	"0.90203"	"0.02154"	"20.35242"	"-3.82632"
"add"	"add"	"3"	"0.1"	"0.02"	"6"	"0.08347"	"0.09103"	"0.10953"	"0.98227"	"0.00911"	"27.23142"	"-1.95961"
"add"	"add"	"3"	"0.1"	"0.02"	"7"	"0.10543"	"0.09647"	"0.1241"	"0.97962"	"0.01282"	"24.50044"	"-1.64722"
"add"	"add"	"3"	"0.1"	"0.02"	"8"	"0.10117"	"0.07977"	"0.10014"	"0.78456"	"0.02653"	"18.68345"	"-10.89693"
"add"	"add"	"3"	"0.1"	"0.02"	"9"	"0.08924"	"0.11089"	"0.06667"	"0.95022"	"0.01471"	"23.39988"	"-2.44399"
"add"	"add"	"3"	"0.1"	"0.02"	"10"	"0.09963"	"0.09996"	"0.09939"	"0.96716"	"0.01441"	"23.56591"	"-1.73574"
"add"	"add"	"3"	"0.1"	"0.02"	"11"	"0.09332"	"0.10528"	"0.08651"	"0.92575"	"0.02082"	"20.62282"	"-2.1422"
"add"	"add"	"3"	"0.1"	"0.02"	"12"	"0.09589"	"0.10663"	"0.10733"	"0.94687"	"0.01728"	"22.11424"	"-2.28489"
"add"	"add"	"3"	"0.1"	"0.02"	"13"	"0.11406"	"0.0885"	"0.08944"	"0.99371"	"0.00589"	"30.71771"	"-1.60419"
"add"	"add"	"3"	"0.1"	"0.02"	"14"	"0.11213"	"0.09402"	"0.12194"	"0.93136"	"0.02655"	"18.67877"	"-1.1872"
"add"	"add"	"3"	"0.1"	"0.02"	"15"	"0.08357"	"0.11111"	"0.09222"	"0.97562"	"0.01141"	"25.43702"	"-4.0274"
"add"	"add"	"3"	"0.1"	"0.02"	"16"	"0.08228"	"0.09128"	"0.12068"	"0.98665"	"0.00832"	"27.95915"	"-1.00315"
"add"	"add"	"3"	"0.1"	"0.02"	"17"	"0.11357"	"0.09092"	"0.10454"	"0.97489"	"0.01343"	"24.13046"	"-3.38702"
"add"	"add"	"3"	"0.1"	"0.02"	"18"	"0.09047"	"0.10145"	"0.09818"	"0.9712"	"0.0131"	"24.32808"	"-2.66116"
"add"	"add"	"3"	"0.1"	"0.02"	"19"	"0.08316"	"0.09496"	"0.09912"	"0.99291"	"0.00578"	"30.87311"	"-1.32751"
"add"	"add"	"3"	"0.1"	"0.02"	"20"	"0.09135"	"0.09512"	"0.08539"	"0.98684"	"0.00751"	"28.78353"	"-2.47614"
"add"	"add"	"3"	"0.1"	"0.02"	"21"	"0.09878"	"0.09595"	"0.119"	"0.95644"	"0.01815"	"21.72319"	"-2.41144"
"add"	"add"	"3"	"0.1"	"0.02"	"22"	"0.09741"	"0.10285"	"0.1221"	"0.95439"	"0.01732"	"22.09488"	"-2.86205"
"add"	"add"	"3"	"0.1"	"0.02"	"23"	"0.11436"	"0.09743"	"0.09902"	"0.98649"	"0.00967"	"26.75739"	"-2.58922"
"add"	"add"	"3"	"0.1"	"0.02"	"24"	"0.09727"	"0.12199"	"0.08599"	"0.9441"	"0.01815"	"21.72142"	"-1.25899"
"add"	"add"	"3"	"0.1"	"0.02"	"25"	"0.08972"	"0.08303"	"0.1152"	"0.98066"	"0.00972"	"26.72105"	"-6.14497"
"add"	"add"	"3"	"0.1"	"0.02"	"26"	"0.11595"	"0.09347"	"0.08863"	"0.9623"	"0.01531"	"23.08485"	"-1.3887"
"add"	"add"	"3"	"0.1"	"0.02"	"27"	"0.10158"	"0.1202"	"0.11197"	"0.95697"	"0.02019"	"20.87022"	"-1.88424"
"add"	"add"	"3"	"0.1"	"0.02"	"28"	"0.09382"	"0.08441"	"0.10846"	"0.93196"	"0.01638"	"22.54246"	"-3.49771"
"add"	"add"	"3"	"0.1"	"0.02"	"29"	"0.11234"	"0.10625"	"0.09143"	"0.91767"	"0.02558"	"18.97619"	"-3.44089"
"add"	"add"	"3"	"0.1"	"0.02"	"30"	"0.12396"	"0.08116"	"0.07061"	"0.8553"	"0.0291"	"17.94497"	"-3.19984"
"add"	"add"	"3"	"0.1"	"0.02"	"31"	"0.09662"	"0.11118"	"0.10745"	"0.98538"	"0.01044"	"26.14473"	"-1.02456"
"add"	"add"	"3"	"0.1"	"0.02"	"32"	"0.0992"	"0.07984"	"0.11467"	"0.93884"	"0.01877"	"21.45202"	"-0.70497"
"add"	"add"	"3"	"0.1"	"0.02"	"33"	"0.10175"	"0.10542"	"0.08582"	"0.96596"	"0.01384"	"23.89038"	"-1.15642"
"add"	"add"	"3"	"0.1"	"0.02"	"34"	"0.08872"	"0.12643"	"0.08548"	"0.97501"	"0.01254"	"24.67664"	"-3.69439"
"add"	"add"	"3"	"0.1"	"0.02"	"35"	"0.09804"	"0.09595"	"0.11234"	"0.94402"	"0.01902"	"21.34666"	"-1.25287"
"add"	"add"	"3"	"0.1"	"0.02"	"36"	"0.10722"	"0.08535"	"0.08532"	"0.92394"	"0.01851"	"21.56589"	"-1.84203"
"add"	"add"	"3"	"0.1"	"0.02"	"37"	"0.09301"	"0.08564"	"0.10637"	"0.9326"	"0.01845"	"21.59007"	"-4.01433"
"add"	"add"	"3"	"0.1"	"0.02"	"38"	"0.10018"	"0.11779"	"0.10284"	"0.96021"	"0.01782"	"21.86652"	"-5.05981"
"add"	"add"	"3"	"0.1"	"0.02"	"39"	"0.09713"	"0.09792"	"0.10014"	"0.97216"	"0.01343"	"24.12794"	"-2.44533"
"add"	"add"	"3"	"0.1"	"0.02"	"40"	"0.07141"	"0.11308"	"0.09505"	"0.95865"	"0.01473"	"23.39019"	"-4.04936"
"add"	"add"	"3"	"0.1"	"0.02"	"41"	"0.12348"	"0.09844"	"0.0878"	"0.95185"	"0.01925"	"21.24937"	"-2.44746"
"add"	"add"	"3"	"0.1"	"0.02"	"42"	"0.10596"	"0.09889"	"0.09483"	"0.93117"	"0.01718"	"22.15857"	"-2.69285"
"add"	"add"	"3"	"0.1"	"0.02"	"43"	"0.07536"	"0.11507"	"0.10475"	"0.96924"	"0.01491"	"23.29241"	"-5.44054"
"add"	"add"	"3"	"0.1"	"0.02"	"44"	"0.09921"	"0.10243"	"0.11223"	"0.96288"	"0.01446"	"23.53852"	"-2.27155"
"add"	"add"	"3"	"0.1"	"0.02"	"45"	"0.09418"	"0.09148"	"0.09974"	"0.95008"	"0.01612"	"22.66889"	"-3.45137"
"add"	"add"	"3"	"0.1"	"0.02"	"46"	"0.07271"	"0.11596"	"0.10038"	"0.96166"	"0.01558"	"22.94497"	"-1.21478"
"add"	"add"	"3"	"0.1"	"0.02"	"47"	"0.10942"	"0.06416"	"0.10204"	"0.79893"	"0.02779"	"18.31247"	"-4.79084"
"add"	"add"	"3"	"0.1"	"0.02"	"48"	"0.0971"	"0.09153"	"0.10666"	"0.98467"	"0.00981"	"26.6441"	"-4.72411"
"add"	"add"	"3"	"0.1"	"0.02"	"49"	"0.12059"	"0.07743"	"0.09771"	"0.94878"	"0.01804"	"21.77073"	"-1.7028"
"add"	"add"	"3"	"0.1"	"0.02"	"50"	"0.10976"	"0.10343"	"0.08399"	"0.97581"	"0.011"	"25.72472"	"-1.91091"
