"sim.model"	"fit.model"	"n.muts"	"coes"	"sigma"	"rep"	"w.hats.1"	"w.hats.2"	"w.hats.3"	"w.hats.4"	"R2"	"sig.hat"	"logLike"	"P"
"add"	"add"	"4"	"0.1"	"0.02"	"1"	"0.08898"	"0.10218"	"0.1043"	"0.10476"	"0.97897"	"0.01336"	"47.3429"	"-7.13649"
"add"	"add"	"4"	"0.1"	"0.02"	"2"	"0.10051"	"0.09364"	"0.09801"	"0.0957"	"0.947"	"0.01971"	"41.12256"	"-2.91207"
"add"	"add"	"4"	"0.1"	"0.02"	"3"	"0.09333"	"0.10933"	"0.09615"	"0.09447"	"0.95207"	"0.01999"	"40.90003"	"-7.49615"
"add"	"add"	"4"	"0.1"	"0.02"	"4"	"0.09418"	"0.10659"	"0.09714"	"0.10535"	"0.97032"	"0.01593"	"44.5255"	"-3.56777"
"add"	"add"	"4"	"0.1"	"0.02"	"5"	"0.0935"	"0.09522"	"0.09898"	"0.1054"	"0.93945"	"0.02191"	"39.43004"	"-6.11525"
"add"	"add"	"4"	"0.1"	"0.02"	"6"	"0.11604"	"0.09321"	"0.09483"	"0.09832"	"0.97637"	"0.01465"	"45.87022"	"-3.06469"
"add"	"add"	"4"	"0.1"	"0.02"	"7"	"0.09638"	"0.10989"	"0.10187"	"0.10002"	"0.97462"	"0.01558"	"44.88734"	"-3.08266"
"add"	"add"	"4"	"0.1"	"0.02"	"8"	"0.09026"	"0.10165"	"0.08887"	"0.0965"	"0.96785"	"0.01516"	"45.31926"	"-4.36656"
"add"	"add"	"4"	"0.1"	"0.02"	"9"	"0.10138"	"0.09536"	"0.09912"	"0.098"	"0.96505"	"0.01669"	"43.78089"	"-2.576"
"add"	"add"	"4"	"0.1"	"0.02"	"10"	"0.08983"	"0.09662"	"0.09358"	"0.10491"	"0.92418"	"0.024"	"37.97488"	"-4.40555"
"add"	"add"	"4"	"0.1"	"0.02"	"11"	"0.1023"	"0.10368"	"0.09719"	"0.09376"	"0.94057"	"0.02203"	"39.34224"	"-0.86015"
"add"	"add"	"4"	"0.1"	"0.02"	"12"	"0.1072"	"0.09619"	"0.09103"	"0.10785"	"0.94947"	"0.02197"	"39.38975"	"-5.02527"
"add"	"add"	"4"	"0.1"	"0.02"	"13"	"0.07695"	"0.11279"	"0.08874"	"0.10621"	"0.94789"	"0.02054"	"40.46363"	"-4.91429"
"add"	"add"	"4"	"0.1"	"0.02"	"14"	"0.10014"	"0.09936"	"0.10001"	"0.09246"	"0.95468"	"0.01889"	"41.79992"	"-1.63294"
"add"	"add"	"4"	"0.1"	"0.02"	"15"	"0.10867"	"0.10745"	"0.10642"	"0.10548"	"0.94208"	"0.02435"	"37.74156"	"-1.44359"
"add"	"add"	"4"	"0.1"	"0.02"	"16"	"0.09273"	"0.10596"	"0.10297"	"0.09843"	"0.95548"	"0.02012"	"40.7925"	"-2.90942"
