"sim.model"	"fit.model"	"n.muts"	"coes"	"sigma"	"rep"	"w.hats.1"	"w.hats.2"	"w.hats.3"	"w.hats.4"	"w.hats.5"	"R2"	"sig.hat"	"logLike"	"P"
"add"	"add"	"5"	"0.1"	"0.02"	"1"	"0.1158"	"0.09443"	"0.09604"	"0.11501"	"0.10111"	"0.96996"	"0.01973"	"81.2133"	"-5.33939"
"add"	"add"	"5"	"0.1"	"0.02"	"2"	"0.10316"	"0.09212"	"0.08175"	"0.10353"	"0.1044"	"0.96475"	"0.01929"	"81.93739"	"-5.90922"
"add"	"add"	"5"	"0.1"	"0.02"	"3"	"0.09581"	"0.10745"	"0.10092"	"0.09197"	"0.10222"	"0.96672"	"0.01943"	"81.70044"	"-6.26276"
"add"	"add"	"5"	"0.1"	"0.02"	"4"	"0.09704"	"0.09053"	"0.10471"	"0.09613"	"0.09918"	"0.96418"	"0.01971"	"81.24292"	"-1.89062"
"add"	"add"	"5"	"0.1"	"0.02"	"5"	"0.09963"	"0.1022"	"0.10447"	"0.09552"	"0.09464"	"0.96587"	"0.01964"	"81.35772"	"-1.17913"
"add"	"add"	"5"	"0.1"	"0.02"	"6"	"0.09578"	"0.08392"	"0.09177"	"0.11616"	"0.10886"	"0.95943"	"0.02163"	"78.26737"	"-5.37659"
"add"	"add"	"5"	"0.1"	"0.02"	"7"	"0.10216"	"0.10105"	"0.10111"	"0.09737"	"0.10954"	"0.967"	"0.02026"	"80.36147"	"-8.79625"
"add"	"add"	"5"	"0.1"	"0.02"	"8"	"0.09006"	"0.07916"	"0.10767"	"0.10106"	"0.09538"	"0.95156"	"0.02212"	"77.55429"	"-1.26103"
"add"	"add"	"5"	"0.1"	"0.02"	"9"	"0.10458"	"0.09928"	"0.09693"	"0.08442"	"0.10659"	"0.96963"	"0.01831"	"83.60991"	"-2.8146"
"add"	"add"	"5"	"0.1"	"0.02"	"10"	"0.09424"	"0.10676"	"0.09917"	"0.10068"	"0.10652"	"0.9793"	"0.01553"	"88.87917"	"-1.14206"
"add"	"add"	"5"	"0.1"	"0.02"	"11"	"0.09638"	"0.10587"	"0.10014"	"0.09903"	"0.10033"	"0.98581"	"0.01267"	"95.3773"	"-3.36204"
"add"	"add"	"5"	"0.1"	"0.02"	"12"	"0.11206"	"0.0957"	"0.09815"	"0.0983"	"0.08991"	"0.97549"	"0.01656"	"86.82544"	"-5.41926"
