"sim.model"	"fit.model"	"n.muts"	"coes"	"sigma"	"rep"	"s.hats.1"	"s.hats.2"	"s.hats.3"	"R2"	"sig.hat"	"logLike"	"P"
"mult"	"mult"	"3"	"0.1"	"0.02"	"1"	"0.11062"	"0.10843"	"0.06973"	"0.97002"	"0.01456"	"23.48535"	"-3.59042"
"mult"	"mult"	"3"	"0.1"	"0.02"	"2"	"0.10618"	"0.08569"	"0.10297"	"0.98286"	"0.01145"	"25.40976"	"-2.77399"
"mult"	"mult"	"3"	"0.1"	"0.02"	"3"	"0.10157"	"0.10162"	"0.09069"	"0.93518"	"0.0197"	"21.066"	"-2.61646"
"mult"	"mult"	"3"	"0.1"	"0.02"	"4"	"0.09751"	"0.09602"	"0.09283"	"0.97639"	"0.01264"	"24.61288"	"-2.63348"
"mult"	"mult"	"3"	"0.1"	"0.02"	"5"	"0.10432"	"0.10534"	"0.08266"	"0.95187"	"0.01942"	"21.18211"	"-2.11107"
"mult"	"mult"	"3"	"0.1"	"0.02"	"6"	"0.07475"	"0.09432"	"0.1263"	"0.99352"	"0.00698"	"29.3675"	"-2.56685"
"mult"	"mult"	"3"	"0.1"	"0.02"	"7"	"0.08229"	"0.11894"	"0.07593"	"0.95223"	"0.01587"	"22.79752"	"-5.85184"
"mult"	"mult"	"3"	"0.1"	"0.02"	"8"	"0.10766"	"0.11102"	"0.06572"	"0.96552"	"0.01471"	"23.39995"	"-4.29657"
"mult"	"mult"	"3"	"0.1"	"0.02"	"9"	"0.08117"	"0.10349"	"0.09275"	"0.93039"	"0.02046"	"20.76123"	"-5.26484"
"mult"	"mult"	"3"	"0.1"	"0.02"	"10"	"0.10765"	"0.08853"	"0.09076"	"0.92461"	"0.0213"	"20.43996"	"-1.3872"
"mult"	"mult"	"3"	"0.1"	"0.02"	"11"	"0.1086"	"0.09046"	"0.09099"	"0.98235"	"0.01138"	"25.45462"	"-3.68769"
"mult"	"mult"	"3"	"0.1"	"0.02"	"12"	"0.10086"	"0.0909"	"0.11238"	"0.98753"	"0.01053"	"26.0803"	"-1.44469"
"mult"	"mult"	"3"	"0.1"	"0.02"	"13"	"0.10378"	"0.1076"	"0.08555"	"0.98525"	"0.00998"	"26.50558"	"-0.37838"
"mult"	"mult"	"3"	"0.1"	"0.02"	"14"	"0.1115"	"0.10932"	"0.09241"	"0.98947"	"0.00888"	"27.44136"	"-1.36188"
"mult"	"mult"	"3"	"0.1"	"0.02"	"15"	"0.10733"	"0.10392"	"0.11967"	"0.97369"	"0.01707"	"22.21418"	"-1.61614"
"mult"	"mult"	"3"	"0.1"	"0.02"	"16"	"0.1108"	"0.088"	"0.09838"	"0.89218"	"0.03047"	"17.57611"	"-3.57004"
"mult"	"mult"	"3"	"0.1"	"0.02"	"17"	"0.08922"	"0.11222"	"0.09994"	"0.9793"	"0.01285"	"24.48568"	"-2.42708"
"mult"	"mult"	"3"	"0.1"	"0.02"	"18"	"0.08538"	"0.11752"	"0.08937"	"0.96864"	"0.0155"	"22.98478"	"-1.86562"
"mult"	"mult"	"3"	"0.1"	"0.02"	"19"	"0.10187"	"0.08838"	"0.10986"	"0.95506"	"0.02104"	"20.53823"	"-9.22447"
"mult"	"mult"	"3"	"0.1"	"0.02"	"20"	"0.09353"	"0.11317"	"0.10247"	"0.96128"	"0.01996"	"20.95958"	"-2.09031"
"mult"	"mult"	"3"	"0.1"	"0.02"	"21"	"0.09242"	"0.09457"	"0.09249"	"0.97179"	"0.01367"	"23.98684"	"-1.35968"
"mult"	"mult"	"3"	"0.1"	"0.02"	"22"	"0.08982"	"0.1078"	"0.10975"	"0.98901"	"0.0095"	"26.89668"	"-1.63389"
"mult"	"mult"	"3"	"0.1"	"0.02"	"23"	"0.10379"	"0.11704"	"0.09234"	"0.99232"	"0.00788"	"28.39703"	"-2.37155"
"mult"	"mult"	"3"	"0.1"	"0.02"	"24"	"0.08643"	"0.09775"	"0.11905"	"0.98659"	"0.01021"	"26.32196"	"-4.97811"
"mult"	"mult"	"3"	"0.1"	"0.02"	"25"	"0.10621"	"0.09861"	"0.08968"	"0.928"	"0.02045"	"20.76555"	"-3.02886"
"mult"	"mult"	"3"	"0.1"	"0.02"	"26"	"0.10255"	"0.10155"	"0.10877"	"0.97058"	"0.01483"	"23.33608"	"-2.93576"
"mult"	"mult"	"3"	"0.1"	"0.02"	"27"	"0.08383"	"0.1044"	"0.12818"	"0.94105"	"0.02575"	"18.92191"	"-2.97921"
"mult"	"mult"	"3"	"0.1"	"0.02"	"28"	"0.06865"	"0.12007"	"0.11287"	"0.97279"	"0.01575"	"22.85701"	"-3.39301"
"mult"	"mult"	"3"	"0.1"	"0.02"	"29"	"0.1212"	"0.07581"	"0.09929"	"0.91321"	"0.02435"	"19.37001"	"-1.73162"
"mult"	"mult"	"3"	"0.1"	"0.02"	"30"	"0.11422"	"0.10725"	"0.08368"	"0.96332"	"0.01896"	"21.37194"	"-1.08523"
"mult"	"mult"	"3"	"0.1"	"0.02"	"31"	"0.11455"	"0.1041"	"0.0871"	"0.98015"	"0.01273"	"24.55815"	"-1.38128"
"mult"	"mult"	"3"	"0.1"	"0.02"	"32"	"0.10303"	"0.09697"	"0.09673"	"0.95725"	"0.01928"	"21.23783"	"-1.8394"
"mult"	"mult"	"3"	"0.1"	"0.02"	"33"	"0.09471"	"0.09057"	"0.10054"	"0.96926"	"0.0129"	"24.45479"	"-3.58632"
"mult"	"mult"	"3"	"0.1"	"0.02"	"34"	"0.10856"	"0.08633"	"0.11253"	"0.98"	"0.01285"	"24.48372"	"-2.22057"
"mult"	"mult"	"3"	"0.1"	"0.02"	"35"	"0.10204"	"0.08819"	"0.1149"	"0.95786"	"0.01747"	"22.02763"	"-3.69545"
"mult"	"mult"	"3"	"0.1"	"0.02"	"36"	"0.08677"	"0.1098"	"0.11893"	"0.96637"	"0.01841"	"21.60783"	"-3.99059"
"mult"	"mult"	"3"	"0.1"	"0.02"	"37"	"0.0993"	"0.11444"	"0.08393"	"0.97168"	"0.01452"	"23.50682"	"-2.81232"
"mult"	"mult"	"3"	"0.1"	"0.02"	"38"	"0.10135"	"0.07878"	"0.10004"	"0.92153"	"0.02178"	"20.26211"	"-1.41403"
"mult"	"mult"	"3"	"0.1"	"0.02"	"39"	"0.09801"	"0.11192"	"0.08387"	"0.98263"	"0.01207"	"24.9827"	"-1.77267"
"mult"	"mult"	"3"	"0.1"	"0.02"	"40"	"0.10893"	"0.09515"	"0.09337"	"0.93307"	"0.02311"	"19.78784"	"-0.91927"
"mult"	"mult"	"3"	"0.1"	"0.02"	"41"	"0.10246"	"0.09861"	"0.11316"	"0.95081"	"0.02114"	"20.5003"	"-1.60993"
"mult"	"mult"	"3"	"0.1"	"0.02"	"42"	"0.09441"	"0.10798"	"0.09367"	"0.99363"	"0.00652"	"29.9099"	"-3.36633"
"mult"	"mult"	"3"	"0.1"	"0.02"	"43"	"0.07927"	"0.09794"	"0.10719"	"0.94021"	"0.0184"	"21.61197"	"-6.24812"
"mult"	"mult"	"3"	"0.1"	"0.02"	"44"	"0.11"	"0.10139"	"0.09294"	"0.94417"	"0.02387"	"19.52928"	"-1.22511"
"mult"	"mult"	"3"	"0.1"	"0.02"	"45"	"0.11548"	"0.09524"	"0.08675"	"0.97112"	"0.01579"	"22.8375"	"-2.99836"
"mult"	"mult"	"3"	"0.1"	"0.02"	"46"	"0.09154"	"0.12209"	"0.08429"	"0.97295"	"0.01576"	"22.8532"	"-2.8129"
"mult"	"mult"	"3"	"0.1"	"0.02"	"47"	"0.08916"	"0.06361"	"0.11592"	"0.95415"	"0.01561"	"22.92809"	"-3.94889"
"mult"	"mult"	"3"	"0.1"	"0.02"	"48"	"0.10557"	"0.08251"	"0.10502"	"0.99374"	"0.00696"	"29.38675"	"-1.23375"
"mult"	"mult"	"3"	"0.1"	"0.02"	"49"	"0.10829"	"0.08054"	"0.0902"	"0.96018"	"0.01566"	"22.90102"	"-3.10508"
"mult"	"mult"	"3"	"0.1"	"0.02"	"50"	"0.09591"	"0.08969"	"0.10481"	"0.97303"	"0.015"	"23.24733"	"-0.775"
"mult"	"mult"	"3"	"0.1"	"0.02"	"51"	"0.0833"	"0.10681"	"0.10802"	"0.95198"	"0.01838"	"21.61929"	"-0.8209"
"mult"	"mult"	"3"	"0.1"	"0.02"	"52"	"0.09773"	"0.11111"	"0.10067"	"0.93319"	"0.02457"	"19.29946"	"-2.68168"
"mult"	"mult"	"3"	"0.1"	"0.02"	"53"	"0.09348"	"0.09093"	"0.1074"	"0.8996"	"0.02468"	"19.26359"	"-4.76609"
"mult"	"mult"	"3"	"0.1"	"0.02"	"54"	"0.12506"	"0.09155"	"0.09147"	"0.96428"	"0.01768"	"21.93301"	"-3.04253"
"mult"	"mult"	"3"	"0.1"	"0.02"	"55"	"0.10545"	"0.08736"	"0.10379"	"0.97842"	"0.01288"	"24.46232"	"-1.63095"
"mult"	"mult"	"3"	"0.1"	"0.02"	"56"	"0.0982"	"0.11503"	"0.09632"	"0.99269"	"0.008"	"28.27823"	"-3.37803"
"mult"	"mult"	"3"	"0.1"	"0.02"	"57"	"0.09661"	"0.09943"	"0.09741"	"0.92913"	"0.01976"	"21.04311"	"-1.71608"
"mult"	"mult"	"3"	"0.1"	"0.02"	"58"	"0.10634"	"0.07845"	"0.11155"	"0.96461"	"0.01721"	"22.14772"	"-2.65333"
"mult"	"mult"	"3"	"0.1"	"0.02"	"59"	"0.09484"	"0.09497"	"0.09826"	"0.93674"	"0.0179"	"21.83357"	"-3.02833"
"mult"	"mult"	"3"	"0.1"	"0.02"	"60"	"0.0794"	"0.10616"	"0.10157"	"0.9518"	"0.01782"	"21.86799"	"-0.31297"
"mult"	"mult"	"3"	"0.1"	"0.02"	"61"	"0.10407"	"0.10019"	"0.1003"	"0.98203"	"0.01101"	"25.71936"	"-1.81899"
"mult"	"mult"	"3"	"0.1"	"0.02"	"62"	"0.07798"	"0.08837"	"0.12608"	"0.79084"	"0.0361"	"16.22006"	"-2.76216"
"mult"	"mult"	"3"	"0.1"	"0.02"	"63"	"0.07335"	"0.09989"	"0.09735"	"0.96856"	"0.01327"	"24.22645"	"-3.03242"
"mult"	"mult"	"3"	"0.1"	"0.02"	"64"	"0.11969"	"0.0836"	"0.0814"	"0.97425"	"0.01364"	"24.0076"	"-2.31363"
"mult"	"mult"	"3"	"0.1"	"0.02"	"65"	"0.11315"	"0.08897"	"0.09509"	"0.99137"	"0.00847"	"27.81436"	"-1.36875"
"mult"	"mult"	"3"	"0.1"	"0.02"	"66"	"0.10738"	"0.10059"	"0.1076"	"0.97485"	"0.01449"	"23.52465"	"-1.35214"
"mult"	"mult"	"3"	"0.1"	"0.02"	"67"	"0.11069"	"0.09181"	"0.09731"	"0.97542"	"0.01422"	"23.67181"	"-2.24836"
"mult"	"mult"	"3"	"0.1"	"0.02"	"68"	"0.08292"	"0.10951"	"0.08454"	"0.99405"	"0.00642"	"30.02954"	"-1.72536"
"mult"	"mult"	"3"	"0.1"	"0.02"	"69"	"0.1068"	"0.10141"	"0.08898"	"0.95096"	"0.0194"	"21.18879"	"-2.21834"
"mult"	"mult"	"3"	"0.1"	"0.02"	"70"	"0.07809"	"0.11253"	"0.1005"	"0.92689"	"0.02476"	"19.23615"	"-2.8623"
