"sim.model"	"fit.model"	"n.muts"	"coes"	"sigma"	"rep"	"s.hats.1"	"s.hats.2"	"s.hats.3"	"s.hats.4"	"R2"	"sig.hat"	"logLike"	"P"
"mult"	"mult"	"4"	"0.1"	"0.02"	"1"	"0.09818"	"0.08843"	"0.09003"	"0.10877"	"0.98068"	"0.01445"	"46.08566"	"-2.99235"
"mult"	"mult"	"4"	"0.1"	"0.02"	"2"	"0.09137"	"0.10478"	"0.09929"	"0.09675"	"0.9655"	"0.01983"	"41.02967"	"-3.03412"
"mult"	"mult"	"4"	"0.1"	"0.02"	"3"	"0.09697"	"0.09131"	"0.09959"	"0.11324"	"0.98866"	"0.01159"	"49.62408"	"-5.86574"
"mult"	"mult"	"4"	"0.1"	"0.02"	"4"	"0.08725"	"0.09261"	"0.0979"	"0.10636"	"0.9449"	"0.02371"	"38.16915"	"-3.4619"
"mult"	"mult"	"4"	"0.1"	"0.02"	"5"	"0.09914"	"0.11087"	"0.10677"	"0.10341"	"0.97173"	"0.0199"	"40.97283"	"-2.68645"
"mult"	"mult"	"4"	"0.1"	"0.02"	"6"	"0.10459"	"0.07681"	"0.10208"	"0.09955"	"0.97434"	"0.01655"	"43.92358"	"-5.04341"
"mult"	"mult"	"4"	"0.1"	"0.02"	"7"	"0.09943"	"0.1084"	"0.09527"	"0.1009"	"0.97801"	"0.01617"	"44.29073"	"-2.5806"
"mult"	"mult"	"4"	"0.1"	"0.02"	"8"	"0.09591"	"0.08092"	"0.10391"	"0.10547"	"0.95056"	"0.02309"	"38.5896"	"-7.96273"
"mult"	"mult"	"4"	"0.1"	"0.02"	"9"	"0.10734"	"0.10668"	"0.08809"	"0.10019"	"0.97088"	"0.01893"	"41.77004"	"-3.10232"
"mult"	"mult"	"4"	"0.1"	"0.02"	"10"	"0.09805"	"0.1126"	"0.10315"	"0.09081"	"0.97509"	"0.01759"	"42.94191"	"-1.56262"
"mult"	"mult"	"4"	"0.1"	"0.02"	"11"	"0.10124"	"0.09406"	"0.09951"	"0.10389"	"0.98041"	"0.01558"	"44.88694"	"-1.93621"
"mult"	"mult"	"4"	"0.1"	"0.02"	"12"	"0.0982"	"0.11122"	"0.09286"	"0.1014"	"0.97551"	"0.01775"	"42.79457"	"-2.72721"
"mult"	"mult"	"4"	"0.1"	"0.02"	"13"	"0.09557"	"0.0892"	"0.11432"	"0.08744"	"0.98121"	"0.01444"	"46.1022"	"-5.9773"
"mult"	"mult"	"4"	"0.1"	"0.02"	"14"	"0.09792"	"0.10804"	"0.10225"	"0.09652"	"0.95912"	"0.02254"	"38.97738"	"-4.26362"
"mult"	"mult"	"4"	"0.1"	"0.02"	"15"	"0.08284"	"0.09491"	"0.09902"	"0.11031"	"0.95107"	"0.02237"	"39.10002"	"-8.75278"
"mult"	"mult"	"4"	"0.1"	"0.02"	"16"	"0.10637"	"0.10039"	"0.1058"	"0.0917"	"0.95873"	"0.0234"	"38.37539"	"-4.84763"
"mult"	"mult"	"4"	"0.1"	"0.02"	"17"	"0.08925"	"0.09324"	"0.12019"	"0.10106"	"0.96675"	"0.02078"	"40.28027"	"-5.04117"
"mult"	"mult"	"4"	"0.1"	"0.02"	"18"	"0.08989"	"0.10745"	"0.09512"	"0.0975"	"0.97183"	"0.01751"	"43.01589"	"-9.54199"
"mult"	"mult"	"4"	"0.1"	"0.02"	"19"	"0.1013"	"0.09985"	"0.09193"	"0.11131"	"0.97601"	"0.01737"	"43.14279"	"-2.81116"
"mult"	"mult"	"4"	"0.1"	"0.02"	"20"	"0.09122"	"0.10468"	"0.11601"	"0.10719"	"0.98575"	"0.01419"	"46.37745"	"-3.17038"
"mult"	"mult"	"4"	"0.1"	"0.02"	"21"	"0.09835"	"0.09513"	"0.10993"	"0.10454"	"0.97023"	"0.01981"	"41.04268"	"-6.88513"
"mult"	"mult"	"4"	"0.1"	"0.02"	"22"	"0.102"	"0.09914"	"0.09511"	"0.09417"	"0.96001"	"0.02132"	"39.86877"	"-7.2339"
"mult"	"mult"	"4"	"0.1"	"0.02"	"23"	"0.09588"	"0.10708"	"0.11037"	"0.10233"	"0.96538"	"0.02208"	"39.30757"	"-4.94164"
"mult"	"mult"	"4"	"0.1"	"0.02"	"24"	"0.09903"	"0.10672"	"0.08578"	"0.11876"	"0.96451"	"0.02227"	"39.16713"	"-4.01652"
"mult"	"mult"	"4"	"0.1"	"0.02"	"25"	"0.10345"	"0.0977"	"0.10786"	"0.09868"	"0.96496"	"0.02179"	"39.51903"	"-2.35625"
"mult"	"mult"	"4"	"0.1"	"0.02"	"26"	"0.10142"	"0.09695"	"0.09469"	"0.10438"	"0.96895"	"0.01946"	"41.32613"	"-6.00301"
"mult"	"mult"	"4"	"0.1"	"0.02"	"27"	"0.1024"	"0.09527"	"0.09044"	"0.12043"	"0.96648"	"0.02143"	"39.78275"	"-3.78069"
"mult"	"mult"	"4"	"0.1"	"0.02"	"28"	"0.09976"	"0.09929"	"0.09049"	"0.11028"	"0.93836"	"0.02642"	"36.43651"	"-3.66438"
