"sim.model"	"fit.model"	"n.muts"	"coes"	"sigma"	"rep"	"s.hats.1"	"s.hats.2"	"s.hats.3"	"s.hats.4"	"s.hats.5"	"R2"	"sig.hat"	"logLike"	"P"
"mult"	"mult"	"5"	"0.1"	"0.02"	"1"	"0.10747"	"0.09916"	"0.10319"	"0.09077"	"0.10343"	"0.98289"	"0.01749"	"85.07448"	"-6.92727"
"mult"	"mult"	"5"	"0.1"	"0.02"	"2"	"0.09833"	"0.09207"	"0.10734"	"0.1003"	"0.08991"	"0.98075"	"0.01779"	"84.52314"	"-4.5432"
"mult"	"mult"	"5"	"0.1"	"0.02"	"3"	"0.08934"	"0.1114"	"0.09617"	"0.10519"	"0.10064"	"0.97839"	"0.0196"	"81.42777"	"-5.49677"
"mult"	"mult"	"5"	"0.1"	"0.02"	"4"	"0.10864"	"0.09501"	"0.09057"	"0.10124"	"0.10175"	"0.98418"	"0.01654"	"86.85888"	"-3.40354"
"mult"	"mult"	"5"	"0.1"	"0.02"	"5"	"0.09423"	"0.10624"	"0.09808"	"0.10191"	"0.10214"	"0.98659"	"0.01548"	"88.98557"	"-1.12092"
"mult"	"mult"	"5"	"0.1"	"0.02"	"6"	"0.09543"	"0.09984"	"0.10094"	"0.10758"	"0.09431"	"0.98747"	"0.01472"	"90.58562"	"-5.20734"
"mult"	"mult"	"5"	"0.1"	"0.02"	"7"	"0.09375"	"0.09286"	"0.10223"	"0.09879"	"0.09504"	"0.96564"	"0.0235"	"75.61295"	"-3.29267"
"mult"	"mult"	"5"	"0.1"	"0.02"	"8"	"0.09762"	"0.08745"	"0.10242"	"0.11411"	"0.09944"	"0.9827"	"0.01743"	"85.17153"	"-2.16206"
"mult"	"mult"	"5"	"0.1"	"0.02"	"9"	"0.10025"	"0.10551"	"0.09866"	"0.0952"	"0.10328"	"0.98146"	"0.01822"	"83.76088"	"-1.72499"
"mult"	"mult"	"5"	"0.1"	"0.02"	"10"	"0.11133"	"0.092"	"0.10648"	"0.10296"	"0.10157"	"0.97911"	"0.01987"	"80.98172"	"-3.28443"
"mult"	"mult"	"5"	"0.1"	"0.02"	"11"	"0.09304"	"0.09532"	"0.11048"	"0.09446"	"0.09809"	"0.9846"	"0.01596"	"87.99635"	"-4.41377"
"mult"	"mult"	"5"	"0.1"	"0.02"	"12"	"0.10261"	"0.10426"	"0.09169"	"0.10266"	"0.10893"	"0.97877"	"0.01984"	"81.03746"	"-8.62446"
"mult"	"mult"	"5"	"0.1"	"0.02"	"13"	"0.09161"	"0.10385"	"0.09321"	"0.09465"	"0.10252"	"0.96832"	"0.02268"	"76.7516"	"-4.64851"
"mult"	"mult"	"5"	"0.1"	"0.02"	"14"	"0.10477"	"0.10786"	"0.09375"	"0.10402"	"0.0921"	"0.98442"	"0.01658"	"86.78067"	"-0.88328"
"mult"	"mult"	"5"	"0.1"	"0.02"	"15"	"0.10375"	"0.09705"	"0.10416"	"0.10002"	"0.09565"	"0.97743"	"0.0199"	"80.9402"	"-6.52975"
"mult"	"mult"	"5"	"0.1"	"0.02"	"16"	"0.09744"	"0.0956"	"0.09673"	"0.10389"	"0.10196"	"0.95726"	"0.02741"	"70.68976"	"-5.42501"
"mult"	"mult"	"5"	"0.1"	"0.02"	"17"	"0.09925"	"0.1011"	"0.10131"	"0.09621"	"0.11794"	"0.97951"	"0.01977"	"81.15252"	"-7.23762"
"mult"	"mult"	"5"	"0.1"	"0.02"	"18"	"0.0975"	"0.10868"	"0.09943"	"0.09378"	"0.11388"	"0.98173"	"0.01842"	"83.41449"	"-5.27843"
"mult"	"mult"	"5"	"0.1"	"0.02"	"19"	"0.10281"	"0.09657"	"0.09931"	"0.09779"	"0.09794"	"0.9781"	"0.01939"	"81.76276"	"-3.99433"
"mult"	"mult"	"5"	"0.1"	"0.02"	"20"	"0.10066"	"0.09723"	"0.10055"	"0.09479"	"0.10357"	"0.98308"	"0.01702"	"85.93355"	"-7.73161"
"mult"	"mult"	"5"	"0.1"	"0.02"	"21"	"0.0912"	"0.09507"	"0.10428"	"0.09478"	"0.10038"	"0.96649"	"0.02336"	"75.80442"	"-3.68446"
"mult"	"mult"	"5"	"0.1"	"0.02"	"22"	"0.1165"	"0.10056"	"0.10424"	"0.09954"	"0.09703"	"0.98143"	"0.0189"	"82.58709"	"-3.24343"
"mult"	"mult"	"5"	"0.1"	"0.02"	"23"	"0.1057"	"0.09254"	"0.09933"	"0.09715"	"0.10698"	"0.98268"	"0.01753"	"84.99929"	"-5.87619"
"mult"	"mult"	"5"	"0.1"	"0.02"	"24"	"0.10044"	"0.1019"	"0.10446"	"0.09426"	"0.09164"	"0.97892"	"0.01888"	"82.61753"	"-4.03632"
"mult"	"mult"	"5"	"0.1"	"0.02"	"25"	"0.1094"	"0.09849"	"0.09563"	"0.0988"	"0.09413"	"0.98434"	"0.01638"	"87.16464"	"-6.877"
"mult"	"mult"	"5"	"0.1"	"0.02"	"26"	"0.10518"	"0.10841"	"0.09067"	"0.0968"	"0.1137"	"0.99409"	"0.01049"	"101.41664"	"-4.27362"
"mult"	"mult"	"5"	"0.1"	"0.02"	"27"	"0.09879"	"0.11348"	"0.09664"	"0.11004"	"0.09846"	"0.97837"	"0.02031"	"80.2828"	"-5.52032"
