"model"	"n.muts"	"coes"	"sigma"	"d.true"	"rep"	"method"	"d.hat"	"u.hats.1"	"u.hats.2"	"u.hats.3"	"R2"	"sig.hat"	"logLike"	"P"
"stick"	"3"	"-0.1"	"0.02"	"1"	"1"	"MLE"	"0.95829"	"-0.11621"	"-0.09873"	"-0.11152"	"0.9868"	"0.0105"	"26.09792"	NA
"stick"	"3"	"-0.1"	"0.02"	"1"	"2"	"MLE"	"0.46392"	"-0.2094"	"-0.16683"	"-0.25307"	"0.96821"	"0.0179"	"21.83193"	NA
"stick"	"3"	"-0.1"	"0.02"	"1"	"3"	"MLE"	"1.4107"	"-0.07229"	"-0.06915"	"-0.07928"	"0.98945"	"0.00923"	"27.13412"	NA
"stick"	"3"	"-0.1"	"0.02"	"1"	"4"	"MLE"	"1.75107"	"-0.06146"	"-0.06175"	"-0.0576"	"0.95292"	"0.01939"	"21.19183"	NA
"stick"	"3"	"-0.1"	"0.02"	"1"	"5"	"MLE"	"1.26981"	"-0.07977"	"-0.06664"	"-0.08985"	"0.99508"	"0.00595"	"30.64523"	NA
"stick"	"3"	"-0.1"	"0.02"	"1"	"6"	"MLE"	"9.99948"	"-0.00954"	"-0.01145"	"-0.00909"	"0.92183"	"0.02104"	"20.53843"	NA
"stick"	"3"	"-0.1"	"0.02"	"1"	"7"	"MLE"	"0.43624"	"-0.14129"	"-0.28119"	"-0.25838"	"0.9576"	"0.02211"	"20.14261"	NA
"stick"	"3"	"-0.1"	"0.02"	"1"	"8"	"MLE"	"9.99941"	"-0.01163"	"-0.01197"	"-0.00949"	"0.94206"	"0.02051"	"20.74135"	NA
"stick"	"3"	"-0.1"	"0.02"	"1"	"9"	"MLE"	"1.06169"	"-0.09765"	"-0.08381"	"-0.07576"	"0.97489"	"0.01247"	"24.7259"	NA
"stick"	"3"	"-0.1"	"0.02"	"1"	"10"	"MLE"	"0.38353"	"-0.2633"	"-0.21115"	"-0.24852"	"0.99101"	"0.0093"	"27.07076"	NA
"stick"	"3"	"-0.1"	"0.02"	"1"	"11"	"MLE"	"9.99948"	"-0.00905"	"-0.01042"	"-0.01007"	"0.93957"	"0.01754"	"21.99559"	NA
"stick"	"3"	"-0.1"	"0.02"	"1"	"12"	"MLE"	"0.25886"	"-0.30136"	"-0.39783"	"-0.33429"	"0.9849"	"0.01315"	"24.29698"	NA
"stick"	"3"	"-0.1"	"0.02"	"1"	"13"	"MLE"	"9.99937"	"-0.01128"	"-0.00888"	"-0.01008"	"0.96014"	"0.01627"	"22.59615"	NA
"stick"	"3"	"-0.1"	"0.02"	"1"	"14"	"MLE"	"9.9994"	"-0.01169"	"-0.01021"	"-0.0107"	"0.92552"	"0.02142"	"20.39468"	NA
"stick"	"3"	"-0.1"	"0.02"	"1"	"15"	"MLE"	"9.99954"	"-0.0104"	"-0.00926"	"-0.00904"	"0.95812"	"0.0135"	"24.09168"	NA
"stick"	"3"	"-0.1"	"0.02"	"1"	"16"	"MLE"	"0.73716"	"-0.13972"	"-0.12633"	"-0.1302"	"0.9935"	"0.00692"	"29.44066"	NA
"stick"	"3"	"-0.1"	"0.02"	"1"	"17"	"MLE"	"0.89153"	"-0.11481"	"-0.10642"	"-0.10563"	"0.97929"	"0.01189"	"25.10529"	NA
"stick"	"3"	"-0.1"	"0.02"	"1"	"18"	"MLE"	"9.99961"	"-0.01069"	"-0.01144"	"-0.0106"	"0.96841"	"0.01475"	"23.3783"	NA
"stick"	"3"	"-0.1"	"0.02"	"1"	"19"	"MLE"	"9.99934"	"-0.01057"	"-0.01276"	"-0.00847"	"0.97601"	"0.01325"	"24.23966"	NA
"stick"	"3"	"-0.1"	"0.02"	"1"	"20"	"MLE"	"9.99948"	"-0.01183"	"-0.00968"	"-0.01132"	"0.99321"	"0.00692"	"29.43757"	NA
"stick"	"3"	"-0.1"	"0.02"	"1"	"21"	"MLE"	"0.52"	"-0.22295"	"-0.16959"	"-0.15055"	"0.97068"	"0.01592"	"22.76987"	NA
"stick"	"3"	"-0.1"	"0.02"	"1"	"22"	"MLE"	"0.36848"	"-0.27967"	"-0.17886"	"-0.29083"	"0.97481"	"0.01539"	"23.04062"	NA
"stick"	"3"	"-0.1"	"0.02"	"1"	"23"	"MLE"	"9.99956"	"-0.01097"	"-0.01134"	"-0.00904"	"0.96029"	"0.01541"	"23.03199"	NA
"stick"	"3"	"-0.1"	"0.02"	"1"	"24"	"MLE"	"0.50593"	"-0.22009"	"-0.19824"	"-0.15479"	"0.97584"	"0.01473"	"23.38975"	NA
"stick"	"3"	"-0.1"	"0.02"	"1"	"25"	"MLE"	"9.99935"	"-0.01339"	"-0.00953"	"-0.01188"	"0.94284"	"0.02166"	"20.30817"	NA
"stick"	"3"	"-0.1"	"0.02"	"1"	"26"	"MLE"	"0.68105"	"-0.14476"	"-0.13108"	"-0.15536"	"0.98168"	"0.01193"	"25.0777"	NA
"stick"	"3"	"-0.1"	"0.02"	"1"	"27"	"MLE"	"9.99964"	"-0.0104"	"-0.01214"	"-0.00959"	"0.9591"	"0.01675"	"22.36261"	NA
"stick"	"3"	"-0.1"	"0.02"	"1"	"28"	"MLE"	"9.99956"	"-0.01113"	"-0.01167"	"-0.00795"	"0.96742"	"0.01387"	"23.87165"	NA
"stick"	"3"	"-0.1"	"0.02"	"1"	"29"	"MLE"	"9.99947"	"-0.00952"	"-0.01048"	"-0.01032"	"0.95164"	"0.01692"	"22.28232"	NA
"stick"	"3"	"-0.1"	"0.02"	"1"	"30"	"MLE"	"2.55323"	"-0.04433"	"-0.03358"	"-0.04392"	"0.99271"	"0.00726"	"29.04622"	NA
"stick"	"3"	"-0.1"	"0.02"	"1"	"31"	"MLE"	"0.48417"	"-0.16435"	"-0.22863"	"-0.20276"	"0.95156"	"0.02191"	"20.21591"	NA
"stick"	"3"	"-0.1"	"0.02"	"1"	"32"	"MLE"	"0.42099"	"-0.25277"	"-0.20474"	"-0.22056"	"0.94504"	"0.02169"	"20.29491"	NA
"stick"	"3"	"-0.1"	"0.02"	"1"	"33"	"MLE"	"9.99934"	"-0.0107"	"-0.01149"	"-0.01091"	"0.9936"	"0.00657"	"29.85186"	NA
"stick"	"3"	"-0.1"	"0.02"	"1"	"34"	"MLE"	"0.63034"	"-0.1856"	"-0.1683"	"-0.13644"	"0.9751"	"0.01524"	"23.12152"	NA
"stick"	"3"	"-0.1"	"0.02"	"1"	"35"	"MLE"	"0.66721"	"-0.11544"	"-0.16196"	"-0.16161"	"0.95448"	"0.02056"	"20.72561"	NA
"stick"	"3"	"-0.1"	"0.02"	"1"	"36"	"MLE"	"9.99966"	"-0.01256"	"-0.01148"	"-0.00974"	"0.99451"	"0.00643"	"30.02475"	NA
"stick"	"3"	"-0.1"	"0.02"	"1"	"37"	"MLE"	"1.95447"	"-0.0525"	"-0.03826"	"-0.06085"	"0.98511"	"0.01043"	"26.15276"	NA
"stick"	"3"	"-0.1"	"0.02"	"1"	"38"	"MLE"	"3.93462"	"-0.03351"	"-0.01926"	"-0.02555"	"0.99065"	"0.00818"	"28.09972"	NA
"stick"	"3"	"-0.1"	"0.02"	"1"	"39"	"MLE"	"0.7142"	"-0.1329"	"-0.1397"	"-0.1387"	"0.99308"	"0.00735"	"28.95441"	NA
"stick"	"3"	"-0.1"	"0.02"	"1"	"40"	"MLE"	"1.53398"	"-0.06902"	"-0.05902"	"-0.06766"	"0.97543"	"0.01289"	"24.46056"	NA
"stick"	"3"	"-0.1"	"0.02"	"1"	"41"	"MLE"	"9.99943"	"-0.01201"	"-0.01163"	"-0.00984"	"0.97805"	"0.01281"	"24.50566"	NA
"stick"	"3"	"-0.1"	"0.02"	"1"	"42"	"MLE"	"9.99956"	"-0.01127"	"-0.01079"	"-0.00954"	"0.96268"	"0.01468"	"23.41997"	NA
"stick"	"3"	"-0.1"	"0.02"	"1"	"43"	"MLE"	"0.298"	"-0.29229"	"-0.29417"	"-0.33167"	"0.94839"	"0.02487"	"19.2013"	NA
