"model"	"n.muts"	"coes"	"sigma"	"d.true"	"rep"	"method"	"d.hat"	"u.hats.1"	"u.hats.2"	"u.hats.3"	"u.hats.4"	"R2"	"sig.hat"	"logLike"	"P"
"stick"	"4"	"-0.1"	"0.02"	"1"	"1"	"MLE"	"0.74794"	"-0.1162"	"-0.12333"	"-0.12876"	"-0.14109"	"0.97142"	"0.01879"	"41.88514"	NA
"stick"	"4"	"-0.1"	"0.02"	"1"	"2"	"MLE"	"1.20786"	"-0.08507"	"-0.08687"	"-0.08618"	"-0.07653"	"0.98774"	"0.01188"	"49.22809"	NA
"stick"	"4"	"-0.1"	"0.02"	"1"	"3"	"MLE"	"1.81072"	"-0.05797"	"-0.0581"	"-0.05644"	"-0.04895"	"0.96841"	"0.01815"	"42.44387"	NA
"stick"	"4"	"-0.1"	"0.02"	"1"	"4"	"MLE"	"1.12058"	"-0.10298"	"-0.0983"	"-0.08283"	"-0.08321"	"0.9597"	"0.02295"	"38.68471"	NA
"stick"	"4"	"-0.1"	"0.02"	"1"	"5"	"MLE"	"1.04976"	"-0.0958"	"-0.08063"	"-0.09957"	"-0.10004"	"0.98197"	"0.01437"	"46.17975"	NA
"stick"	"4"	"-0.1"	"0.02"	"1"	"6"	"MLE"	"0.82513"	"-0.11437"	"-0.12197"	"-0.12644"	"-0.11571"	"0.99459"	"0.00823"	"55.09333"	NA
"stick"	"4"	"-0.1"	"0.02"	"1"	"7"	"MLE"	"1.67912"	"-0.06419"	"-0.05496"	"-0.06187"	"-0.06382"	"0.97907"	"0.01523"	"45.24471"	NA
"stick"	"4"	"-0.1"	"0.02"	"1"	"8"	"MLE"	"1.511"	"-0.06459"	"-0.06898"	"-0.07048"	"-0.06789"	"0.98376"	"0.01364"	"47.01767"	NA
"stick"	"4"	"-0.1"	"0.02"	"1"	"9"	"MLE"	"0.5373"	"-0.18056"	"-0.1716"	"-0.16028"	"-0.16403"	"0.96606"	"0.02084"	"40.23008"	NA
"stick"	"4"	"-0.1"	"0.02"	"1"	"10"	"MLE"	"1.63133"	"-0.06856"	"-0.05179"	"-0.0577"	"-0.06659"	"0.96134"	"0.02042"	"40.56004"	NA
"stick"	"4"	"-0.1"	"0.02"	"1"	"11"	"MLE"	"0.76698"	"-0.1317"	"-0.11539"	"-0.11102"	"-0.15312"	"0.97926"	"0.01641"	"44.05933"	NA
"stick"	"4"	"-0.1"	"0.02"	"1"	"12"	"MLE"	"0.5878"	"-0.1513"	"-0.182"	"-0.16252"	"-0.16819"	"0.97913"	"0.01735"	"43.15967"	NA
"stick"	"4"	"-0.1"	"0.02"	"1"	"13"	"MLE"	"9.99963"	"-0.01213"	"-0.01331"	"-0.0104"	"-0.00837"	"0.96924"	"0.01909"	"41.63829"	NA
"stick"	"4"	"-0.1"	"0.02"	"1"	"14"	"MLE"	"0.4635"	"-0.1867"	"-0.19029"	"-0.20133"	"-0.21676"	"0.96199"	"0.02329"	"38.45575"	NA
"stick"	"4"	"-0.1"	"0.02"	"1"	"15"	"MLE"	"0.7697"	"-0.13127"	"-0.11039"	"-0.13053"	"-0.13475"	"0.97247"	"0.01858"	"42.0647"	NA
"stick"	"4"	"-0.1"	"0.02"	"1"	"16"	"MLE"	"1.83742"	"-0.05293"	"-0.05804"	"-0.04964"	"-0.06601"	"0.97849"	"0.01598"	"44.48168"	NA
"stick"	"4"	"-0.1"	"0.02"	"1"	"17"	"MLE"	"2.04996"	"-0.05083"	"-0.05547"	"-0.05487"	"-0.04518"	"0.98254"	"0.01421"	"46.36309"	NA
"stick"	"4"	"-0.1"	"0.02"	"1"	"18"	"MLE"	"2.81915"	"-0.0308"	"-0.03597"	"-0.03715"	"-0.03763"	"0.94991"	"0.02204"	"39.33331"	NA
"stick"	"4"	"-0.1"	"0.02"	"1"	"19"	"MLE"	"0.78405"	"-0.11534"	"-0.14236"	"-0.13448"	"-0.12582"	"0.98076"	"0.01638"	"44.0856"	NA
"stick"	"4"	"-0.1"	"0.02"	"1"	"20"	"MLE"	"2.55716"	"-0.04252"	"-0.04411"	"-0.03561"	"-0.04771"	"0.97991"	"0.01534"	"45.1337"	NA
"stick"	"4"	"-0.1"	"0.02"	"1"	"21"	"MLE"	"0.65284"	"-0.12283"	"-0.1508"	"-0.15713"	"-0.15723"	"0.98872"	"0.01217"	"48.83827"	NA
"stick"	"4"	"-0.1"	"0.02"	"1"	"22"	"MLE"	"1.2229"	"-0.07392"	"-0.07773"	"-0.07649"	"-0.09651"	"0.97245"	"0.01785"	"42.71173"	NA
"stick"	"4"	"-0.1"	"0.02"	"1"	"23"	"MLE"	"0.89785"	"-0.10029"	"-0.10283"	"-0.11086"	"-0.11937"	"0.97295"	"0.01785"	"42.71153"	NA
"stick"	"4"	"-0.1"	"0.02"	"1"	"24"	"MLE"	"9.99948"	"-0.01019"	"-0.01109"	"-0.0107"	"-0.00995"	"0.96606"	"0.0179"	"42.66111"	NA
