"model"	"n.muts"	"coes"	"sigma"	"d.true"	"rep"	"method"	"d.hat"	"u.hats.1"	"u.hats.2"	"u.hats.3"	"u.hats.4"	"u.hats.5"	"R2"	"sig.hat"	"logLike"	"P"
"stick"	"5"	"-0.1"	"0.02"	"1"	"1"	"MLE"	"1.16964"	"-0.08889"	"-0.08252"	"-0.08649"	"-0.08911"	"-0.08801"	"0.97492"	"0.02076"	"79.57969"	NA
"stick"	"5"	"-0.1"	"0.02"	"1"	"2"	"MLE"	"0.66365"	"-0.14736"	"-0.13008"	"-0.14409"	"-0.14321"	"-0.16025"	"0.97759"	"0.02099"	"79.23637"	NA
"stick"	"5"	"-0.1"	"0.02"	"1"	"3"	"MLE"	"1.92534"	"-0.05615"	"-0.05201"	"-0.05289"	"-0.05694"	"-0.05752"	"0.97346"	"0.02085"	"79.45079"	NA
"stick"	"5"	"-0.1"	"0.02"	"1"	"4"	"MLE"	"1.10975"	"-0.09692"	"-0.08668"	"-0.08579"	"-0.09914"	"-0.0868"	"0.98163"	"0.01777"	"84.55362"	NA
"stick"	"5"	"-0.1"	"0.02"	"1"	"5"	"MLE"	"0.76186"	"-0.1221"	"-0.12998"	"-0.13582"	"-0.12142"	"-0.11923"	"0.9831"	"0.01748"	"85.08086"	NA
"stick"	"5"	"-0.1"	"0.02"	"1"	"6"	"MLE"	"0.91856"	"-0.10067"	"-0.1008"	"-0.11"	"-0.1073"	"-0.113"	"0.97761"	"0.01959"	"81.44165"	NA
"stick"	"5"	"-0.1"	"0.02"	"1"	"7"	"MLE"	"1.44022"	"-0.06525"	"-0.06865"	"-0.07648"	"-0.07504"	"-0.07931"	"0.99014"	"0.01297"	"94.62545"	NA
"stick"	"5"	"-0.1"	"0.02"	"1"	"8"	"MLE"	"0.52286"	"-0.19553"	"-0.17267"	"-0.16668"	"-0.16518"	"-0.18404"	"0.9768"	"0.02172"	"78.13355"	NA
"stick"	"5"	"-0.1"	"0.02"	"1"	"9"	"MLE"	"1.69185"	"-0.06037"	"-0.06414"	"-0.06135"	"-0.06331"	"-0.05802"	"0.98626"	"0.01483"	"90.34095"	NA
"stick"	"5"	"-0.1"	"0.02"	"1"	"10"	"MLE"	"1.1795"	"-0.08449"	"-0.08568"	"-0.084"	"-0.08041"	"-0.08935"	"0.97991"	"0.01821"	"83.77827"	NA
"stick"	"5"	"-0.1"	"0.02"	"1"	"11"	"MLE"	"0.7983"	"-0.13314"	"-0.1308"	"-0.12225"	"-0.11353"	"-0.12441"	"0.98222"	"0.01848"	"83.30894"	NA
"stick"	"5"	"-0.1"	"0.02"	"1"	"12"	"MLE"	"1.14568"	"-0.08"	"-0.08962"	"-0.09432"	"-0.09571"	"-0.08298"	"0.98417"	"0.01645"	"87.0266"	NA
"stick"	"5"	"-0.1"	"0.02"	"1"	"13"	"MLE"	"1.02748"	"-0.09353"	"-0.10046"	"-0.10701"	"-0.09401"	"-0.10275"	"0.98366"	"0.01731"	"85.39278"	NA
"stick"	"5"	"-0.1"	"0.02"	"1"	"14"	"MLE"	"0.66483"	"-0.15039"	"-0.14901"	"-0.13772"	"-0.14947"	"-0.14484"	"0.98192"	"0.01897"	"82.47221"	NA
"stick"	"5"	"-0.1"	"0.02"	"1"	"15"	"MLE"	"1.00977"	"-0.10131"	"-0.09163"	"-0.09247"	"-0.09979"	"-0.10861"	"0.97941"	"0.01892"	"82.54916"	NA
"stick"	"5"	"-0.1"	"0.02"	"1"	"16"	"MLE"	"1.48788"	"-0.07099"	"-0.06843"	"-0.07168"	"-0.07234"	"-0.07027"	"0.98525"	"0.01578"	"88.35265"	NA
"stick"	"5"	"-0.1"	"0.02"	"1"	"17"	"MLE"	"1.09881"	"-0.09262"	"-0.09695"	"-0.09053"	"-0.08963"	"-0.09722"	"0.98467"	"0.01655"	"86.84129"	NA
"stick"	"5"	"-0.1"	"0.02"	"1"	"18"	"MLE"	"0.97762"	"-0.1021"	"-0.10856"	"-0.10809"	"-0.0924"	"-0.11462"	"0.96911"	"0.02425"	"74.61387"	NA
"stick"	"5"	"-0.1"	"0.02"	"1"	"19"	"MLE"	"0.46111"	"-0.19952"	"-0.20186"	"-0.17626"	"-0.20052"	"-0.18775"	"0.97737"	"0.0213"	"78.76646"	NA
"stick"	"5"	"-0.1"	"0.02"	"1"	"20"	"MLE"	"1.02487"	"-0.09243"	"-0.09396"	"-0.09844"	"-0.09075"	"-0.10768"	"0.97834"	"0.01918"	"82.12454"	NA
"stick"	"5"	"-0.1"	"0.02"	"1"	"21"	"MLE"	"1.11192"	"-0.08712"	"-0.09952"	"-0.08837"	"-0.08329"	"-0.09623"	"0.98239"	"0.01743"	"85.18785"	NA
"stick"	"5"	"-0.1"	"0.02"	"1"	"22"	"MLE"	"1.06186"	"-0.08949"	"-0.0941"	"-0.09678"	"-0.09645"	"-0.09173"	"0.97953"	"0.01858"	"83.13829"	NA
"stick"	"5"	"-0.1"	"0.02"	"1"	"23"	"MLE"	"1.61634"	"-0.06261"	"-0.06649"	"-0.05908"	"-0.06559"	"-0.06773"	"0.97888"	"0.01849"	"83.28392"	NA
"stick"	"5"	"-0.1"	"0.02"	"1"	"24"	"MLE"	"1.08044"	"-0.0992"	"-0.08609"	"-0.09849"	"-0.08896"	"-0.08757"	"0.98141"	"0.01767"	"84.73745"	NA
"stick"	"5"	"-0.1"	"0.02"	"1"	"25"	"MLE"	"1.03756"	"-0.09569"	"-0.10428"	"-0.09549"	"-0.09483"	"-0.09902"	"0.98028"	"0.01883"	"82.71482"	NA
"stick"	"5"	"-0.1"	"0.02"	"1"	"26"	"MLE"	"1.02557"	"-0.09194"	"-0.09615"	"-0.09051"	"-0.10802"	"-0.10909"	"0.98735"	"0.01509"	"89.79765"	NA
"stick"	"5"	"-0.1"	"0.02"	"1"	"27"	"MLE"	"1.13326"	"-0.09388"	"-0.08509"	"-0.07778"	"-0.09279"	"-0.09924"	"0.97527"	"0.02078"	"79.55821"	NA
"stick"	"5"	"-0.1"	"0.02"	"1"	"28"	"MLE"	"0.92436"	"-0.10785"	"-0.10873"	"-0.10699"	"-0.10658"	"-0.10554"	"0.98158"	"0.01807"	"84.02004"	NA
"stick"	"5"	"-0.1"	"0.02"	"1"	"29"	"MLE"	"0.75328"	"-0.13172"	"-0.12713"	"-0.12467"	"-0.12762"	"-0.13006"	"0.97831"	"0.01994"	"80.88096"	NA
"stick"	"5"	"-0.1"	"0.02"	"1"	"30"	"MLE"	"1.00898"	"-0.10051"	"-0.10334"	"-0.09938"	"-0.09293"	"-0.08924"	"0.98345"	"0.01659"	"86.76657"	NA
"stick"	"5"	"-0.1"	"0.02"	"1"	"31"	"MLE"	"0.61734"	"-0.15233"	"-0.15266"	"-0.14379"	"-0.14542"	"-0.16617"	"0.98319"	"0.01788"	"84.36456"	NA
"stick"	"5"	"-0.1"	"0.02"	"1"	"32"	"MLE"	"0.9199"	"-0.10078"	"-0.11136"	"-0.11286"	"-0.09717"	"-0.1199"	"0.98395"	"0.017"	"85.98491"	NA
"stick"	"5"	"-0.1"	"0.02"	"1"	"33"	"MLE"	"1.379"	"-0.07367"	"-0.07246"	"-0.08238"	"-0.0681"	"-0.07475"	"0.9798"	"0.01827"	"83.67862"	NA
"stick"	"5"	"-0.1"	"0.02"	"1"	"34"	"MLE"	"0.71916"	"-0.11759"	"-0.14445"	"-0.13727"	"-0.13197"	"-0.14198"	"0.97583"	"0.02156"	"78.37937"	NA
"stick"	"5"	"-0.1"	"0.02"	"1"	"35"	"MLE"	"1.61997"	"-0.0647"	"-0.06555"	"-0.06658"	"-0.06178"	"-0.06492"	"0.97829"	"0.019"	"82.42758"	NA
"stick"	"5"	"-0.1"	"0.02"	"1"	"36"	"MLE"	"0.97557"	"-0.10231"	"-0.09837"	"-0.09393"	"-0.10675"	"-0.09787"	"0.97751"	"0.01926"	"81.98983"	NA
"stick"	"5"	"-0.1"	"0.02"	"1"	"37"	"MLE"	"1.92709"	"-0.05062"	"-0.06221"	"-0.05706"	"-0.0506"	"-0.0552"	"0.98706"	"0.01449"	"91.0883"	NA
"stick"	"5"	"-0.1"	"0.02"	"1"	"38"	"MLE"	"1.15975"	"-0.08824"	"-0.08614"	"-0.08629"	"-0.09392"	"-0.08652"	"0.98355"	"0.01692"	"86.13449"	NA
"stick"	"5"	"-0.1"	"0.02"	"1"	"39"	"MLE"	"0.73784"	"-0.13176"	"-0.13005"	"-0.13127"	"-0.13735"	"-0.12085"	"0.9837"	"0.01723"	"85.5525"	NA
"stick"	"5"	"-0.1"	"0.02"	"1"	"40"	"MLE"	"0.99363"	"-0.1055"	"-0.09226"	"-0.10813"	"-0.09344"	"-0.10179"	"0.98318"	"0.01706"	"85.86746"	NA
"stick"	"5"	"-0.1"	"0.02"	"1"	"41"	"MLE"	"1.81161"	"-0.05469"	"-0.04922"	"-0.06177"	"-0.06391"	"-0.05773"	"0.97968"	"0.0181"	"83.97088"	NA
"stick"	"5"	"-0.1"	"0.02"	"1"	"42"	"MLE"	"1.03262"	"-0.10472"	"-0.09469"	"-0.09906"	"-0.10216"	"-0.08814"	"0.97748"	"0.01999"	"80.79423"	NA
"stick"	"5"	"-0.1"	"0.02"	"1"	"43"	"MLE"	"4.24833"	"-0.02639"	"-0.02644"	"-0.02559"	"-0.02461"	"-0.02653"	"0.97547"	"0.01942"	"81.71711"	NA
"stick"	"5"	"-0.1"	"0.02"	"1"	"44"	"MLE"	"0.86667"	"-0.13422"	"-0.12282"	"-0.09373"	"-0.11895"	"-0.10854"	"0.98349"	"0.01762"	"84.84187"	NA
"stick"	"5"	"-0.1"	"0.02"	"1"	"45"	"MLE"	"1.35652"	"-0.081"	"-0.07214"	"-0.08339"	"-0.06989"	"-0.07616"	"0.97756"	"0.01977"	"81.14554"	NA
"stick"	"5"	"-0.1"	"0.02"	"1"	"46"	"MLE"	"1.10723"	"-0.09431"	"-0.09303"	"-0.10317"	"-0.08477"	"-0.08736"	"0.98919"	"0.01384"	"92.56592"	NA
"stick"	"5"	"-0.1"	"0.02"	"1"	"47"	"MLE"	"1.26467"	"-0.08411"	"-0.08473"	"-0.08301"	"-0.07369"	"-0.08033"	"0.97187"	"0.0219"	"77.87289"	NA
"stick"	"5"	"-0.1"	"0.02"	"1"	"48"	"MLE"	"0.97374"	"-0.11265"	"-0.09831"	"-0.09911"	"-0.10379"	"-0.10456"	"0.98348"	"0.01721"	"85.58165"	NA
"stick"	"5"	"-0.1"	"0.02"	"1"	"49"	"MLE"	"1.15799"	"-0.09759"	"-0.08412"	"-0.08937"	"-0.08882"	"-0.0817"	"0.98471"	"0.01639"	"87.14458"	NA
"stick"	"5"	"-0.1"	"0.02"	"1"	"50"	"MLE"	"1.28746"	"-0.07082"	"-0.07556"	"-0.08231"	"-0.08636"	"-0.07684"	"0.97054"	"0.02212"	"77.56114"	NA
"stick"	"5"	"-0.1"	"0.02"	"1"	"51"	"MLE"	"0.74145"	"-0.11907"	"-0.12398"	"-0.12632"	"-0.1421"	"-0.12777"	"0.98897"	"0.01388"	"92.47166"	NA
"stick"	"5"	"-0.1"	"0.02"	"1"	"52"	"MLE"	"2.23457"	"-0.04892"	"-0.05137"	"-0.0457"	"-0.04646"	"-0.04254"	"0.97997"	"0.01759"	"84.88427"	NA
"stick"	"5"	"-0.1"	"0.02"	"1"	"53"	"MLE"	"0.78289"	"-0.12627"	"-0.13503"	"-0.12602"	"-0.11741"	"-0.11811"	"0.98306"	"0.01767"	"84.74689"	NA
"stick"	"5"	"-0.1"	"0.02"	"1"	"54"	"MLE"	"0.96556"	"-0.09709"	"-0.11129"	"-0.1079"	"-0.09124"	"-0.11073"	"0.97823"	"0.01967"	"81.30362"	NA
"stick"	"5"	"-0.1"	"0.02"	"1"	"55"	"MLE"	"1.04208"	"-0.10308"	"-0.09573"	"-0.09728"	"-0.09192"	"-0.09283"	"0.97191"	"0.02221"	"77.42683"	NA
