"model"	"n.muts"	"coes"	"sigma"	"d.true"	"rep"	"method"	"d.hat"	"u.hats.1"	"u.hats.2"	"u.hats.3"	"R2"	"sig.hat"	"logLike"	"P"
"stick"	"3"	"-0.1"	"0.02"	"1"	"1"	"RDB.all"	"1.04641"	"-0.10714"	"-0.09103"	"-0.10276"	"0.98675"	"0.01052"	"26.0821"	NA
"stick"	"3"	"-0.1"	"0.02"	"1"	"2"	"RDB.all"	"0.53313"	"-0.18509"	"-0.14841"	"-0.22365"	"0.96791"	"0.01799"	"21.79356"	NA
"stick"	"3"	"-0.1"	"0.02"	"1"	"3"	"RDB.all"	"0.98078"	"-0.10163"	"-0.09726"	"-0.11148"	"0.98879"	"0.00951"	"26.8935"	NA
"stick"	"3"	"-0.1"	"0.02"	"1"	"4"	"RDB.all"	"-1.44884"	"0.0846"	"0.08323"	"0.0776"	"0.93385"	"0.02298"	"19.83195"	NA
"stick"	"3"	"-0.1"	"0.02"	"1"	"5"	"RDB.all"	"1.3386"	"-0.0759"	"-0.06341"	"-0.08547"	"0.99507"	"0.00596"	"30.63611"	NA
"stick"	"3"	"-0.1"	"0.02"	"1"	"6"	"RDB.all"	"-0.43372"	"0.30269"	"0.33593"	"0.26708"	"0.88482"	"0.02554"	"18.98807"	NA
"stick"	"3"	"-0.1"	"0.02"	"1"	"7"	"RDB.all"	"0.52466"	"-0.12177"	"-0.2385"	"-0.21919"	"0.95705"	"0.02225"	"20.09062"	NA
"stick"	"3"	"-0.1"	"0.02"	"1"	"8"	"RDB.all"	"-0.64459"	"0.2201"	"0.21833"	"0.17674"	"0.92135"	"0.0239"	"19.51888"	NA
"stick"	"3"	"-0.1"	"0.02"	"1"	"9"	"RDB.all"	"0.24246"	"-0.36568"	"-0.31406"	"-0.27319"	"0.94221"	"0.01891"	"21.39179"	NA
"stick"	"3"	"-0.1"	"0.02"	"1"	"10"	"RDB.all"	"0.44923"	"-0.22969"	"-0.18446"	"-0.21675"	"0.99054"	"0.00954"	"26.8643"	NA
"stick"	"3"	"-0.1"	"0.02"	"1"	"11"	"RDB.all"	"0.70527"	"-0.11623"	"-0.13519"	"-0.13012"	"0.9237"	"0.01971"	"21.06298"	NA
"stick"	"3"	"-0.1"	"0.02"	"1"	"12"	"RDB.all"	"0.23226"	"-0.32894"	"-0.4345"	"-0.36432"	"0.98452"	"0.01332"	"24.19802"	NA
"stick"	"3"	"-0.1"	"0.02"	"1"	"13"	"RDB.all"	"-1.80196"	"0.06597"	"0.05244"	"0.05876"	"0.96241"	"0.0158"	"22.82991"	NA
"stick"	"3"	"-0.1"	"0.02"	"1"	"14"	"RDB.all"	"-1.18787"	"0.10734"	"0.09407"	"0.09989"	"0.92866"	"0.02097"	"20.56742"	NA
"stick"	"3"	"-0.1"	"0.02"	"1"	"15"	"RDB.all"	"-0.89287"	"0.12865"	"0.11532"	"0.11358"	"0.97844"	"0.00968"	"26.74852"	NA
"stick"	"3"	"-0.1"	"0.02"	"1"	"16"	"RDB.all"	"0.67241"	"-0.15186"	"-0.13728"	"-0.1415"	"0.99341"	"0.00696"	"29.38536"	NA
"stick"	"3"	"-0.1"	"0.02"	"1"	"17"	"RDB.all"	"0.86294"	"-0.11832"	"-0.10965"	"-0.10886"	"0.97928"	"0.01189"	"25.1037"	NA
"stick"	"3"	"-0.1"	"0.02"	"1"	"18"	"RDB.all"	"-0.99972"	"0.12087"	"0.12654"	"0.11823"	"0.95698"	"0.01722"	"22.1434"	NA
"stick"	"3"	"-0.1"	"0.02"	"1"	"19"	"RDB.all"	"-0.87485"	"0.13566"	"0.16123"	"0.11198"	"0.96602"	"0.01577"	"22.84715"	NA
"stick"	"3"	"-0.1"	"0.02"	"1"	"20"	"RDB.all"	"1.29325"	"-0.08701"	"-0.07073"	"-0.08286"	"0.98737"	"0.00943"	"26.95636"	NA
"stick"	"3"	"-0.1"	"0.02"	"1"	"21"	"RDB.all"	"0.24577"	"-0.42883"	"-0.31798"	"-0.28071"	"0.95833"	"0.01898"	"21.36365"	NA
"stick"	"3"	"-0.1"	"0.02"	"1"	"22"	"RDB.all"	"0.39343"	"-0.26422"	"-0.16958"	"-0.2748"	"0.97472"	"0.01542"	"23.02689"	NA
"stick"	"3"	"-0.1"	"0.02"	"1"	"23"	"RDB.all"	"-0.69783"	"0.18158"	"0.18614"	"0.15379"	"0.98043"	"0.01082"	"25.86266"	NA
