"model"	"n.muts"	"coes"	"sigma"	"d.true"	"rep"	"method"	"d.hat"	"u.hats.1"	"u.hats.2"	"u.hats.3"	"u.hats.4"	"R2"	"sig.hat"	"logLike"	"P"
"stick"	"4"	"-0.1"	"0.02"	"1"	"1"	"RDB.all"	"0.35534"	"-0.2124"	"-0.22568"	"-0.23718"	"-0.25768"	"0.95344"	"0.02399"	"37.97995"	NA
"stick"	"4"	"-0.1"	"0.02"	"1"	"2"	"RDB.all"	"0.99041"	"-0.10141"	"-0.1038"	"-0.10291"	"-0.09127"	"0.98721"	"0.01213"	"48.89072"	NA
"stick"	"4"	"-0.1"	"0.02"	"1"	"3"	"RDB.all"	"0.89983"	"-0.10928"	"-0.10942"	"-0.10653"	"-0.09194"	"0.96333"	"0.01955"	"41.24956"	NA
"stick"	"4"	"-0.1"	"0.02"	"1"	"4"	"RDB.all"	"0.47134"	"-0.21686"	"-0.20439"	"-0.17175"	"-0.17334"	"0.9431"	"0.02728"	"35.92469"	NA
"stick"	"4"	"-0.1"	"0.02"	"1"	"5"	"RDB.all"	"0.83015"	"-0.11764"	"-0.09882"	"-0.12251"	"-0.12315"	"0.98108"	"0.01472"	"45.79426"	NA
"stick"	"4"	"-0.1"	"0.02"	"1"	"6"	"RDB.all"	"0.98064"	"-0.09833"	"-0.10488"	"-0.10862"	"-0.09955"	"0.99412"	"0.00858"	"54.42406"	NA
"stick"	"4"	"-0.1"	"0.02"	"1"	"7"	"RDB.all"	"0.47462"	"-0.1945"	"-0.16547"	"-0.18337"	"-0.1928"	"0.94971"	"0.02362"	"38.2306"	NA
"stick"	"4"	"-0.1"	"0.02"	"1"	"8"	"RDB.all"	"0.70423"	"-0.12641"	"-0.13657"	"-0.13885"	"-0.13336"	"0.97554"	"0.01673"	"43.74373"	NA
"stick"	"4"	"-0.1"	"0.02"	"1"	"9"	"RDB.all"	"0.45741"	"-0.20554"	"-0.19589"	"-0.18237"	"-0.18752"	"0.96527"	"0.02108"	"40.04739"	NA
"stick"	"4"	"-0.1"	"0.02"	"1"	"10"	"RDB.all"	"0.72941"	"-0.14143"	"-0.10522"	"-0.11779"	"-0.13755"	"0.95305"	"0.0225"	"39.00637"	NA
"stick"	"4"	"-0.1"	"0.02"	"1"	"11"	"RDB.all"	"0.53938"	"-0.17751"	"-0.15426"	"-0.14835"	"-0.20641"	"0.97609"	"0.01762"	"42.91884"	NA
"stick"	"4"	"-0.1"	"0.02"	"1"	"12"	"RDB.all"	"1.01969"	"-0.09421"	"-0.11314"	"-0.10165"	"-0.10495"	"0.97338"	"0.0196"	"41.21224"	NA
"stick"	"4"	"-0.1"	"0.02"	"1"	"13"	"RDB.all"	"-1.20742"	"0.11581"	"0.12693"	"0.09966"	"0.08217"	"0.95519"	"0.02303"	"38.6294"	NA
"stick"	"4"	"-0.1"	"0.02"	"1"	"14"	"RDB.all"	"0.3666"	"-0.22363"	"-0.22873"	"-0.2413"	"-0.26145"	"0.95975"	"0.02396"	"37.99858"	NA
"stick"	"4"	"-0.1"	"0.02"	"1"	"15"	"RDB.all"	"0.59485"	"-0.16284"	"-0.13723"	"-0.16215"	"-0.1679"	"0.97084"	"0.01913"	"41.60312"	NA
"stick"	"4"	"-0.1"	"0.02"	"1"	"16"	"RDB.all"	"-2.36699"	"0.04711"	"0.05141"	"0.04462"	"0.05816"	"0.95752"	"0.02245"	"39.03913"	NA
"stick"	"4"	"-0.1"	"0.02"	"1"	"17"	"RDB.all"	"1.67629"	"-0.06128"	"-0.06697"	"-0.06615"	"-0.05446"	"0.98231"	"0.0143"	"46.26054"	NA
"stick"	"4"	"-0.1"	"0.02"	"1"	"18"	"RDB.all"	"0.65321"	"-0.11584"	"-0.13645"	"-0.13932"	"-0.14117"	"0.92725"	"0.02656"	"36.34803"	NA
"stick"	"4"	"-0.1"	"0.02"	"1"	"19"	"RDB.all"	"1.1416"	"-0.0832"	"-0.10202"	"-0.09701"	"-0.09045"	"0.9786"	"0.01727"	"43.2334"	NA
"stick"	"4"	"-0.1"	"0.02"	"1"	"20"	"RDB.all"	"1.29278"	"-0.08022"	"-0.0832"	"-0.06659"	"-0.08991"	"0.97699"	"0.01642"	"44.04829"	NA
"stick"	"4"	"-0.1"	"0.02"	"1"	"21"	"RDB.all"	"0.53845"	"-0.14385"	"-0.17674"	"-0.18463"	"-0.18456"	"0.98769"	"0.01271"	"48.14228"	NA
"stick"	"4"	"-0.1"	"0.02"	"1"	"22"	"RDB.all"	"0.72012"	"-0.11791"	"-0.12341"	"-0.12208"	"-0.15427"	"0.96832"	"0.01914"	"41.59265"	NA
"stick"	"4"	"-0.1"	"0.02"	"1"	"23"	"RDB.all"	"1.19378"	"-0.07808"	"-0.08001"	"-0.08594"	"-0.09245"	"0.97186"	"0.0182"	"42.39616"	NA
"stick"	"4"	"-0.1"	"0.02"	"1"	"24"	"RDB.all"	"1.42776"	"-0.06583"	"-0.07172"	"-0.06927"	"-0.0643"	"0.95353"	"0.02095"	"40.14877"	NA
"stick"	"4"	"-0.1"	"0.02"	"1"	"25"	"RDB.all"	"0.60597"	"-0.1708"	"-0.142"	"-0.15469"	"-0.17348"	"0.97043"	"0.02065"	"40.37642"	NA
"stick"	"4"	"-0.1"	"0.02"	"1"	"26"	"RDB.all"	"0.68613"	"-0.14138"	"-0.12909"	"-0.12669"	"-0.15059"	"0.92997"	"0.02916"	"34.85406"	NA
"stick"	"4"	"-0.1"	"0.02"	"1"	"27"	"RDB.all"	"0.79748"	"-0.10916"	"-0.12998"	"-0.11401"	"-0.13264"	"0.98353"	"0.01394"	"46.6632"	NA
"stick"	"4"	"-0.1"	"0.02"	"1"	"28"	"RDB.all"	"0.54577"	"-0.17045"	"-0.16325"	"-0.18242"	"-0.16996"	"0.98172"	"0.01568"	"44.77911"	NA
"stick"	"4"	"-0.1"	"0.02"	"1"	"29"	"RDB.all"	"0.31037"	"-0.26592"	"-0.24375"	"-0.25204"	"-0.2259"	"0.7961"	"0.04564"	"27.68956"	NA
"stick"	"4"	"-0.1"	"0.02"	"1"	"30"	"RDB.all"	"0.56733"	"-0.14996"	"-0.1531"	"-0.18371"	"-0.17848"	"0.95585"	"0.02475"	"37.48134"	NA
"stick"	"4"	"-0.1"	"0.02"	"1"	"31"	"RDB.all"	"1.13282"	"-0.10034"	"-0.08583"	"-0.09987"	"-0.0775"	"0.98307"	"0.01471"	"45.80298"	NA
"stick"	"4"	"-0.1"	"0.02"	"1"	"32"	"RDB.all"	"0.70565"	"-0.13149"	"-0.14507"	"-0.14562"	"-0.11138"	"0.96706"	"0.01941"	"41.372"	NA
"stick"	"4"	"-0.1"	"0.02"	"1"	"33"	"RDB.all"	"1.22629"	"-0.07827"	"-0.07935"	"-0.08297"	"-0.08844"	"0.99379"	"0.00844"	"54.68962"	NA
"stick"	"4"	"-0.1"	"0.02"	"1"	"34"	"RDB.all"	"0.83113"	"-0.12235"	"-0.13534"	"-0.0999"	"-0.10885"	"0.95573"	"0.02297"	"38.67143"	NA
"stick"	"4"	"-0.1"	"0.02"	"1"	"35"	"RDB.all"	"1.72954"	"-0.06118"	"-0.06103"	"-0.06068"	"-0.05723"	"0.98956"	"0.01079"	"50.75741"	NA
"stick"	"4"	"-0.1"	"0.02"	"1"	"36"	"RDB.all"	"0.38719"	"-0.21003"	"-0.23254"	"-0.25576"	"-0.22683"	"0.98567"	"0.01452"	"46.01633"	NA
"stick"	"4"	"-0.1"	"0.02"	"1"	"37"	"RDB.all"	"1.8364"	"-0.05584"	"-0.05373"	"-0.05269"	"-0.05395"	"0.96677"	"0.01815"	"42.44142"	NA
"stick"	"4"	"-0.1"	"0.02"	"1"	"38"	"RDB.all"	"0.88636"	"-0.12314"	"-0.09233"	"-0.10755"	"-0.12065"	"0.97701"	"0.01651"	"43.95761"	NA
"stick"	"4"	"-0.1"	"0.02"	"1"	"39"	"RDB.all"	"0.39869"	"-0.21454"	"-0.22273"	"-0.23899"	"-0.20776"	"0.94792"	"0.02622"	"36.55872"	NA
"stick"	"4"	"-0.1"	"0.02"	"1"	"40"	"RDB.all"	"0.67473"	"-0.13601"	"-0.14538"	"-0.13421"	"-0.1491"	"0.98224"	"0.01485"	"45.64826"	NA
"stick"	"4"	"-0.1"	"0.02"	"1"	"41"	"RDB.all"	"0.79518"	"-0.12457"	"-0.12077"	"-0.14117"	"-0.12725"	"0.98032"	"0.01676"	"43.71941"	NA
"stick"	"4"	"-0.1"	"0.02"	"1"	"42"	"RDB.all"	"0.87843"	"-0.09932"	"-0.11817"	"-0.10712"	"-0.10441"	"0.96595"	"0.01858"	"42.07058"	NA
"stick"	"4"	"-0.1"	"0.02"	"1"	"43"	"RDB.all"	"0.55907"	"-0.18225"	"-0.14637"	"-0.143"	"-0.18094"	"0.9859"	"0.01313"	"47.62722"	NA
"stick"	"4"	"-0.1"	"0.02"	"1"	"44"	"RDB.all"	"0.77898"	"-0.13131"	"-0.14112"	"-0.11776"	"-0.11325"	"0.97523"	"0.01739"	"43.12751"	NA
"stick"	"4"	"-0.1"	"0.02"	"1"	"45"	"RDB.all"	"1.03797"	"-0.08992"	"-0.10355"	"-0.1105"	"-0.08805"	"0.97836"	"0.01676"	"43.71264"	NA
"stick"	"4"	"-0.1"	"0.02"	"1"	"46"	"RDB.all"	"1.89818"	"-0.05763"	"-0.05996"	"-0.0526"	"-0.05445"	"0.99248"	"0.00952"	"52.75934"	NA
"stick"	"4"	"-0.1"	"0.02"	"1"	"47"	"RDB.all"	"1.41028"	"-0.08376"	"-0.08055"	"-0.06796"	"-0.07025"	"0.96985"	"0.01968"	"41.14781"	NA
"stick"	"4"	"-0.1"	"0.02"	"1"	"48"	"RDB.all"	"0.65185"	"-0.13691"	"-0.15766"	"-0.15918"	"-0.11505"	"0.91222"	"0.0306"	"34.08671"	NA
"stick"	"4"	"-0.1"	"0.02"	"1"	"49"	"RDB.all"	"0.64933"	"-0.14135"	"-0.15244"	"-0.13711"	"-0.14916"	"0.97937"	"0.01599"	"44.47063"	NA
"stick"	"4"	"-0.1"	"0.02"	"1"	"50"	"RDB.all"	"1.18773"	"-0.08472"	"-0.084"	"-0.09147"	"-0.08303"	"0.98922"	"0.0113"	"50.02845"	NA
"stick"	"4"	"-0.1"	"0.02"	"1"	"51"	"RDB.all"	"0.56846"	"-0.18133"	"-0.15038"	"-0.18192"	"-0.13088"	"0.96121"	"0.02177"	"39.5293"	NA
"stick"	"4"	"-0.1"	"0.02"	"1"	"52"	"RDB.all"	"0.84782"	"-0.10786"	"-0.09952"	"-0.13432"	"-0.1107"	"0.9615"	"0.02141"	"39.80019"	NA
"stick"	"4"	"-0.1"	"0.02"	"1"	"53"	"RDB.all"	"0.81614"	"-0.10722"	"-0.13458"	"-0.12941"	"-0.10914"	"0.96467"	"0.02075"	"40.30301"	NA
"stick"	"4"	"-0.1"	"0.02"	"1"	"54"	"RDB.all"	"0.67333"	"-0.13305"	"-0.12875"	"-0.13698"	"-0.15983"	"0.98351"	"0.01415"	"46.42386"	NA
"stick"	"4"	"-0.1"	"0.02"	"1"	"55"	"RDB.all"	"0.73538"	"-0.11875"	"-0.1118"	"-0.16592"	"-0.14334"	"0.98162"	"0.01595"	"44.50885"	NA
"stick"	"4"	"-0.1"	"0.02"	"1"	"56"	"RDB.all"	"0.646"	"-0.13837"	"-0.12804"	"-0.16897"	"-0.14047"	"0.96316"	"0.02118"	"39.97538"	NA
"stick"	"4"	"-0.1"	"0.02"	"1"	"57"	"RDB.all"	"-3.32994"	"0.03515"	"0.03473"	"0.03369"	"0.03503"	"0.97346"	"0.01687"	"43.60801"	NA
"stick"	"4"	"-0.1"	"0.02"	"1"	"58"	"RDB.all"	"1.59852"	"-0.06448"	"-0.0602"	"-0.06336"	"-0.0718"	"0.99383"	"0.00844"	"54.70279"	NA
"stick"	"4"	"-0.1"	"0.02"	"1"	"59"	"RDB.all"	"0.53439"	"-0.15549"	"-0.18809"	"-0.15584"	"-0.19732"	"0.98802"	"0.01272"	"48.12601"	NA
"stick"	"4"	"-0.1"	"0.02"	"1"	"60"	"RDB.all"	"2.29974"	"-0.05194"	"-0.04931"	"-0.04331"	"-0.03924"	"0.98048"	"0.01491"	"45.59027"	NA
"stick"	"4"	"-0.1"	"0.02"	"1"	"61"	"RDB.all"	"0.67005"	"-0.14383"	"-0.17736"	"-0.14419"	"-0.12093"	"0.9822"	"0.01588"	"44.58464"	NA
"stick"	"4"	"-0.1"	"0.02"	"1"	"62"	"RDB.all"	"0.75273"	"-0.13076"	"-0.13893"	"-0.12294"	"-0.12692"	"0.95619"	"0.02339"	"38.38409"	NA
