"model"	"n.muts"	"coes"	"sigma"	"d.true"	"rep"	"method"	"d.hat"	"u.hats.1"	"u.hats.2"	"u.hats.3"	"u.hats.4"	"R2"	"sig.hat"	"logLike"	"P"
"stick"	"4"	"-0.1"	"0.02"	"1"	"1"	"RDB"	"-100"	"0.00104"	"0.0011"	"0.00113"	"0.00125"	"0.94017"	"0.02719"	"35.97356"	NA
"stick"	"4"	"-0.1"	"0.02"	"1"	"2"	"RDB"	"-100"	"0.00116"	"0.00117"	"0.00116"	"0.00104"	"0.97224"	"0.01787"	"42.6899"	NA
"stick"	"4"	"-0.1"	"0.02"	"1"	"3"	"RDB"	"-100"	"0.00113"	"0.00114"	"0.0011"	"0.00096"	"0.96116"	"0.02013"	"40.78963"	NA
"stick"	"4"	"-0.1"	"0.02"	"1"	"4"	"RDB"	"-2.57253"	"0.0532"	"0.05174"	"0.04393"	"0.04383"	"0.92043"	"0.03226"	"33.24217"	NA
"stick"	"4"	"-0.1"	"0.02"	"1"	"5"	"RDB"	"-100"	"0.00115"	"0.00097"	"0.00118"	"0.00118"	"0.96317"	"0.02054"	"40.46457"	NA
"stick"	"4"	"-0.1"	"0.02"	"1"	"6"	"RDB"	"-100"	"0.0011"	"0.00118"	"0.00121"	"0.00112"	"0.96857"	"0.01985"	"41.01167"	NA
"stick"	"4"	"-0.1"	"0.02"	"1"	"7"	"RDB"	"-2.34521"	"0.05292"	"0.04564"	"0.05205"	"0.05273"	"0.95122"	"0.02326"	"38.47462"	NA
"stick"	"4"	"-0.1"	"0.02"	"1"	"8"	"RDB"	"-20.92305"	"0.00517"	"0.00545"	"0.0056"	"0.00541"	"0.97264"	"0.0177"	"42.84823"	NA
"stick"	"4"	"-0.1"	"0.02"	"1"	"9"	"RDB"	"-1.72369"	"0.07733"	"0.07184"	"0.06923"	"0.06725"	"0.87098"	"0.04063"	"29.54759"	NA
"stick"	"4"	"-0.1"	"0.02"	"1"	"10"	"RDB"	"-100"	"0.00121"	"0.00093"	"0.00103"	"0.00117"	"0.95283"	"0.02255"	"38.9695"	NA
"stick"	"4"	"-0.1"	"0.02"	"1"	"11"	"RDB"	"-100"	"0.00118"	"0.00106"	"0.00103"	"0.00137"	"0.94797"	"0.02598"	"36.70098"	NA
"stick"	"4"	"-0.1"	"0.02"	"1"	"12"	"RDB"	"-100"	"0.0011"	"0.00131"	"0.00119"	"0.00122"	"0.93538"	"0.03054"	"34.11802"	NA
"stick"	"4"	"-0.1"	"0.02"	"1"	"13"	"RDB"	"-1.20742"	"0.11581"	"0.12693"	"0.09966"	"0.08217"	"0.95519"	"0.02303"	"38.6294"	NA
"stick"	"4"	"-0.1"	"0.02"	"1"	"14"	"RDB"	"-8.01972"	"0.01442"	"0.01443"	"0.01553"	"0.01607"	"0.88773"	"0.04002"	"29.79165"	NA
"stick"	"4"	"-0.1"	"0.02"	"1"	"15"	"RDB"	"-1.67874"	"0.07937"	"0.06598"	"0.07836"	"0.07894"	"0.89203"	"0.0368"	"31.13184"	NA
"stick"	"4"	"-0.1"	"0.02"	"1"	"16"	"RDB"	"-2.60231"	"0.04259"	"0.04648"	"0.04032"	"0.0526"	"0.95943"	"0.02194"	"39.40604"	NA
"stick"	"4"	"-0.1"	"0.02"	"1"	"17"	"RDB"	"-1.6939"	"0.07284"	"0.07803"	"0.07844"	"0.06488"	"0.94864"	"0.02436"	"37.73294"	NA
"stick"	"4"	"-0.1"	"0.02"	"1"	"18"	"RDB"	"-100"	"0.00091"	"0.00106"	"0.0011"	"0.00112"	"0.9464"	"0.0228"	"38.79204"	NA
"stick"	"4"	"-0.1"	"0.02"	"1"	"19"	"RDB"	"-100"	"0.00108"	"0.0013"	"0.00126"	"0.00116"	"0.951"	"0.02614"	"36.60788"	NA
"stick"	"4"	"-0.1"	"0.02"	"1"	"20"	"RDB"	"-2.68031"	"0.04536"	"0.04704"	"0.03878"	"0.05097"	"0.96254"	"0.02094"	"40.15091"	NA
"stick"	"4"	"-0.1"	"0.02"	"1"	"21"	"RDB"	"-100"	"0.00098"	"0.0012"	"0.00123"	"0.00124"	"0.94937"	"0.02578"	"36.82582"	NA
"stick"	"4"	"-0.1"	"0.02"	"1"	"22"	"RDB"	"-6.65089"	"0.01546"	"0.01639"	"0.01598"	"0.02007"	"0.95359"	"0.02317"	"38.53822"	NA
"stick"	"4"	"-0.1"	"0.02"	"1"	"23"	"RDB"	"-100"	"0.00105"	"0.00108"	"0.00114"	"0.00122"	"0.9494"	"0.02441"	"37.70162"	NA
"stick"	"4"	"-0.1"	"0.02"	"1"	"24"	"RDB"	"-100"	"0.00104"	"0.00113"	"0.00109"	"0.00101"	"0.96651"	"0.01778"	"42.76865"	NA
"stick"	"4"	"-0.1"	"0.02"	"1"	"25"	"RDB"	"-8.01213"	"0.01606"	"0.01357"	"0.01446"	"0.01602"	"0.91975"	"0.03402"	"32.38847"	NA
"stick"	"4"	"-0.1"	"0.02"	"1"	"26"	"RDB"	"-1.57023"	"0.07917"	"0.07971"	"0.0745"	"0.08615"	"0.88715"	"0.03702"	"31.03717"	NA
"stick"	"4"	"-0.1"	"0.02"	"1"	"27"	"RDB"	"-7.65524"	"0.01367"	"0.01607"	"0.0144"	"0.01637"	"0.95783"	"0.02231"	"39.1399"	NA
"stick"	"4"	"-0.1"	"0.02"	"1"	"28"	"RDB"	"-100"	"0.00114"	"0.00112"	"0.00124"	"0.00118"	"0.92389"	"0.032"	"33.36966"	NA
"stick"	"4"	"-0.1"	"0.02"	"1"	"29"	"RDB"	"-4.50754"	"0.02729"	"0.02397"	"0.02606"	"0.02188"	"0.93586"	"0.0256"	"36.94231"	NA
"stick"	"4"	"-0.1"	"0.02"	"1"	"30"	"RDB"	"-10.80305"	"0.00992"	"0.01014"	"0.01183"	"0.01172"	"0.89981"	"0.03728"	"30.92548"	NA
"stick"	"4"	"-0.1"	"0.02"	"1"	"31"	"RDB"	"-5.03278"	"0.02609"	"0.02231"	"0.02573"	"0.02054"	"0.9518"	"0.02482"	"37.4341"	NA
"stick"	"4"	"-0.1"	"0.02"	"1"	"32"	"RDB"	"-3.91071"	"0.02924"	"0.03197"	"0.0327"	"0.02537"	"0.96388"	"0.02032"	"40.6348"	NA
"stick"	"4"	"-0.1"	"0.02"	"1"	"33"	"RDB"	"-100"	"0.00107"	"0.00109"	"0.00113"	"0.0012"	"0.97703"	"0.01624"	"44.21807"	NA
"stick"	"4"	"-0.1"	"0.02"	"1"	"34"	"RDB"	"-110.54951"	"0.00107"	"0.00119"	"0.00089"	"0.00095"	"0.95014"	"0.02438"	"37.71884"	NA
"stick"	"4"	"-0.1"	"0.02"	"1"	"35"	"RDB"	"-100"	"0.00115"	"0.00114"	"0.00114"	"0.00107"	"0.97815"	"0.01561"	"44.85172"	NA
"stick"	"4"	"-0.1"	"0.02"	"1"	"36"	"RDB"	"-100"	"0.00113"	"0.0012"	"0.0013"	"0.00118"	"0.90342"	"0.03769"	"30.75081"	NA
"stick"	"4"	"-0.1"	"0.02"	"1"	"37"	"RDB"	"-100"	"0.0011"	"0.00106"	"0.00105"	"0.00107"	"0.96412"	"0.01886"	"41.82795"	NA
"stick"	"4"	"-0.1"	"0.02"	"1"	"38"	"RDB"	"-3.85743"	"0.03385"	"0.02602"	"0.02952"	"0.03279"	"0.97342"	"0.01775"	"42.79777"	NA
"stick"	"4"	"-0.1"	"0.02"	"1"	"39"	"RDB"	"-8.93255"	"0.01258"	"0.01371"	"0.01416"	"0.01286"	"0.94212"	"0.02764"	"35.71431"	NA
"stick"	"4"	"-0.1"	"0.02"	"1"	"40"	"RDB"	"-100"	"0.00111"	"0.00118"	"0.00111"	"0.0012"	"0.94651"	"0.02578"	"36.8272"	NA
"stick"	"4"	"-0.1"	"0.02"	"1"	"41"	"RDB"	"-100"	"0.00117"	"0.00114"	"0.00132"	"0.00119"	"0.94276"	"0.02858"	"35.17886"	NA
"stick"	"4"	"-0.1"	"0.02"	"1"	"42"	"RDB"	"-44.7208"	"0.00226"	"0.00268"	"0.00246"	"0.00238"	"0.98063"	"0.01401"	"46.58389"	NA
"stick"	"4"	"-0.1"	"0.02"	"1"	"43"	"RDB"	"-100"	"0.00125"	"0.00102"	"0.001"	"0.00125"	"0.95321"	"0.02391"	"38.02954"	NA
"stick"	"4"	"-0.1"	"0.02"	"1"	"44"	"RDB"	"-11.29765"	"0.01075"	"0.01157"	"0.00987"	"0.00947"	"0.95445"	"0.02358"	"38.2541"	NA
"stick"	"4"	"-0.1"	"0.02"	"1"	"45"	"RDB"	"-100"	"0.00106"	"0.00121"	"0.00131"	"0.00104"	"0.95239"	"0.02487"	"37.40412"	NA
"stick"	"4"	"-0.1"	"0.02"	"1"	"46"	"RDB"	"-100"	"0.00118"	"0.00122"	"0.00108"	"0.00111"	"0.98083"	"0.01521"	"45.2739"	NA
"stick"	"4"	"-0.1"	"0.02"	"1"	"47"	"RDB"	"-1.47925"	"0.09772"	"0.09495"	"0.07956"	"0.08478"	"0.93337"	"0.02926"	"34.80257"	NA
"stick"	"4"	"-0.1"	"0.02"	"1"	"48"	"RDB"	"-3.78849"	"0.03027"	"0.03386"	"0.03383"	"0.02577"	"0.96673"	"0.01884"	"41.84939"	NA
"stick"	"4"	"-0.1"	"0.02"	"1"	"49"	"RDB"	"-100"	"0.00111"	"0.00119"	"0.00109"	"0.00118"	"0.93368"	"0.02867"	"35.12886"	NA
"stick"	"4"	"-0.1"	"0.02"	"1"	"50"	"RDB"	"-16.34634"	"0.00694"	"0.00692"	"0.00746"	"0.00684"	"0.97001"	"0.01884"	"41.84592"	NA
"stick"	"4"	"-0.1"	"0.02"	"1"	"51"	"RDB"	"-62.81217"	"0.00198"	"0.00172"	"0.00201"	"0.00149"	"0.95116"	"0.02443"	"37.68571"	NA
"stick"	"4"	"-0.1"	"0.02"	"1"	"52"	"RDB"	"-1.25871"	"0.09386"	"0.09231"	"0.11707"	"0.0968"	"0.89334"	"0.03564"	"31.64775"	NA
"stick"	"4"	"-0.1"	"0.02"	"1"	"53"	"RDB"	"-8.49978"	"0.01237"	"0.01534"	"0.01483"	"0.01251"	"0.96324"	"0.02116"	"39.98631"	NA
"stick"	"4"	"-0.1"	"0.02"	"1"	"54"	"RDB"	"-100"	"0.00108"	"0.00105"	"0.00111"	"0.00127"	"0.95504"	"0.02337"	"38.39937"	NA
"stick"	"4"	"-0.1"	"0.02"	"1"	"55"	"RDB"	"-100"	"0.00105"	"0.00099"	"0.00143"	"0.00126"	"0.94321"	"0.02804"	"35.48503"	NA
"stick"	"4"	"-0.1"	"0.02"	"1"	"56"	"RDB"	"-1.01498"	"0.12789"	"0.11858"	"0.14487"	"0.12959"	"0.83439"	"0.0449"	"27.94993"	NA
"stick"	"4"	"-0.1"	"0.02"	"1"	"57"	"RDB"	"-3.93196"	"0.02956"	"0.0292"	"0.02832"	"0.02946"	"0.97449"	"0.01654"	"43.92396"	NA
"stick"	"4"	"-0.1"	"0.02"	"1"	"58"	"RDB"	"-100"	"0.00112"	"0.00105"	"0.00111"	"0.00125"	"0.98354"	"0.01378"	"46.85348"	NA
"stick"	"4"	"-0.1"	"0.02"	"1"	"59"	"RDB"	"-100"	"0.00105"	"0.00125"	"0.00105"	"0.0013"	"0.92907"	"0.03096"	"33.90001"	NA
"stick"	"4"	"-0.1"	"0.02"	"1"	"60"	"RDB"	"-4.27363"	"0.0306"	"0.02925"	"0.02564"	"0.02334"	"0.97305"	"0.01752"	"43.00939"	NA
"stick"	"4"	"-0.1"	"0.02"	"1"	"61"	"RDB"	"-100"	"0.00115"	"0.0014"	"0.00119"	"0.00099"	"0.93045"	"0.03138"	"33.68094"	NA
"stick"	"4"	"-0.1"	"0.02"	"1"	"62"	"RDB"	"-2.26188"	"0.05442"	"0.05864"	"0.05439"	"0.05396"	"0.91708"	"0.03218"	"33.28031"	NA
"stick"	"4"	"-0.1"	"0.02"	"1"	"63"	"RDB"	"-1.38887"	"0.08547"	"0.0839"	"0.09779"	"0.09836"	"0.8843"	"0.03901"	"30.19886"	NA
"stick"	"4"	"-0.1"	"0.02"	"1"	"64"	"RDB"	"-1.51388"	"0.08357"	"0.0976"	"0.08564"	"0.07829"	"0.86928"	"0.04233"	"28.89345"	NA
"stick"	"4"	"-0.1"	"0.02"	"1"	"65"	"RDB"	"-100"	"0.00119"	"0.00127"	"0.00103"	"0.00119"	"0.94731"	"0.0258"	"36.81773"	NA
"stick"	"4"	"-0.1"	"0.02"	"1"	"66"	"RDB"	"-2.99755"	"0.04444"	"0.03972"	"0.03034"	"0.0401"	"0.96598"	"0.01969"	"41.13754"	NA
"stick"	"4"	"-0.1"	"0.02"	"1"	"67"	"RDB"	"-100"	"0.00125"	"0.00115"	"0.00107"	"0.00119"	"0.94812"	"0.02559"	"36.94289"	NA
"stick"	"4"	"-0.1"	"0.02"	"1"	"68"	"RDB"	"-100"	"0.00129"	"0.00119"	"0.00116"	"0.00111"	"0.97488"	"0.01819"	"42.40947"	NA
"stick"	"4"	"-0.1"	"0.02"	"1"	"69"	"RDB"	"-2.39501"	"0.05731"	"0.04626"	"0.04747"	"0.04329"	"0.97286"	"0.01695"	"43.53766"	NA
"stick"	"4"	"-0.1"	"0.02"	"1"	"70"	"RDB"	"-100"	"0.00107"	"0.00125"	"0.00099"	"0.00119"	"0.96806"	"0.01944"	"41.3459"	NA
"stick"	"4"	"-0.1"	"0.02"	"1"	"71"	"RDB"	"-100"	"0.00129"	"0.00105"	"0.00121"	"0.0011"	"0.9641"	"0.02156"	"39.68566"	NA
"stick"	"4"	"-0.1"	"0.02"	"1"	"72"	"RDB"	"-29.35085"	"0.00386"	"0.00379"	"0.00335"	"0.00414"	"0.96695"	"0.01904"	"41.67503"	NA
"stick"	"4"	"-0.1"	"0.02"	"1"	"73"	"RDB"	"-8.27732"	"0.0147"	"0.01329"	"0.01442"	"0.01308"	"0.96106"	"0.02174"	"39.55105"	NA
"stick"	"4"	"-0.1"	"0.02"	"1"	"74"	"RDB"	"-100"	"0.00104"	"0.00117"	"0.00113"	"0.00117"	"0.96042"	"0.02176"	"39.53994"	NA
"stick"	"4"	"-0.1"	"0.02"	"1"	"75"	"RDB"	"-100"	"0.00113"	"0.00113"	"0.0011"	"0.00115"	"0.98076"	"0.01478"	"45.72782"	NA
"stick"	"4"	"-0.1"	"0.02"	"1"	"76"	"RDB"	"-5.17613"	"0.01878"	"0.0244"	"0.02459"	"0.02361"	"0.96146"	"0.02191"	"39.43058"	NA
"stick"	"4"	"-0.1"	"0.02"	"1"	"77"	"RDB"	"-2.43317"	"0.05176"	"0.04629"	"0.05388"	"0.0583"	"0.88192"	"0.04202"	"29.01056"	NA
