"model"	"n.muts"	"coes"	"sigma"	"d.true"	"rep"	"method"	"d.hat"	"u.hats.1"	"u.hats.2"	"u.hats.3"	"u.hats.4"	"u.hats.5"	"R2"	"sig.hat"	"logLike"	"P"
"stick"	"5"	"-0.1"	"0.02"	"1"	"1"	"RDB"	"-5.34075"	"0.0237"	"0.0222"	"0.02345"	"0.02369"	"0.02352"	"0.92434"	"0.03606"	"61.91609"	NA
"stick"	"5"	"-0.1"	"0.02"	"1"	"2"	"RDB"	"-100"	"0.00128"	"0.00113"	"0.00125"	"0.00123"	"0.00138"	"0.89975"	"0.04439"	"55.26449"	NA
"stick"	"5"	"-0.1"	"0.02"	"1"	"3"	"RDB"	"-5.34282"	"0.02342"	"0.02176"	"0.02198"	"0.02344"	"0.02389"	"0.94714"	"0.02942"	"68.42915"	NA
"stick"	"5"	"-0.1"	"0.02"	"1"	"4"	"RDB"	"-9.27403"	"0.01398"	"0.0125"	"0.01236"	"0.01424"	"0.01261"	"0.93996"	"0.03213"	"65.60479"	NA
"stick"	"5"	"-0.1"	"0.02"	"1"	"5"	"RDB"	"-100"	"0.00118"	"0.00125"	"0.0013"	"0.00118"	"0.00116"	"0.91385"	"0.03947"	"59.0222"	NA
"stick"	"5"	"-0.1"	"0.02"	"1"	"6"	"RDB"	"-100"	"0.00113"	"0.00113"	"0.00124"	"0.0012"	"0.00125"	"0.92986"	"0.03467"	"63.17112"	NA
"stick"	"5"	"-0.1"	"0.02"	"1"	"7"	"RDB"	"-100"	"0.00108"	"0.00114"	"0.00126"	"0.00124"	"0.00131"	"0.96547"	"0.02428"	"74.56848"	NA
"stick"	"5"	"-0.1"	"0.02"	"1"	"8"	"RDB"	"-100"	"0.00139"	"0.00125"	"0.0012"	"0.0012"	"0.00131"	"0.87149"	"0.05113"	"50.74139"	NA
"stick"	"5"	"-0.1"	"0.02"	"1"	"9"	"RDB"	"-8.24204"	"0.01425"	"0.01513"	"0.01459"	"0.01488"	"0.01377"	"0.95996"	"0.02532"	"73.22584"	NA
"stick"	"5"	"-0.1"	"0.02"	"1"	"10"	"RDB"	"-100"	"0.00117"	"0.00119"	"0.00116"	"0.00112"	"0.00123"	"0.94782"	"0.02935"	"68.50691"	NA
"stick"	"5"	"-0.1"	"0.02"	"1"	"11"	"RDB"	"-100"	"0.00131"	"0.00131"	"0.00123"	"0.00115"	"0.00125"	"0.92399"	"0.03821"	"60.06631"	NA
"stick"	"5"	"-0.1"	"0.02"	"1"	"12"	"RDB"	"-100"	"0.00109"	"0.00121"	"0.00128"	"0.00129"	"0.00113"	"0.94851"	"0.02967"	"68.15928"	NA
"stick"	"5"	"-0.1"	"0.02"	"1"	"13"	"RDB"	"-100"	"0.00117"	"0.00124"	"0.00133"	"0.00117"	"0.00126"	"0.93944"	"0.03333"	"64.43577"	NA
"stick"	"5"	"-0.1"	"0.02"	"1"	"14"	"RDB"	"-100"	"0.00131"	"0.00129"	"0.00119"	"0.00129"	"0.00125"	"0.90557"	"0.04335"	"56.02108"	NA
"stick"	"5"	"-0.1"	"0.02"	"1"	"15"	"RDB"	"-100"	"0.00122"	"0.00111"	"0.00113"	"0.00122"	"0.00131"	"0.93924"	"0.03251"	"65.23209"	NA
"stick"	"5"	"-0.1"	"0.02"	"1"	"16"	"RDB"	"-4.11"	"0.0311"	"0.03001"	"0.03151"	"0.0316"	"0.03073"	"0.93539"	"0.03304"	"64.71667"	NA
"stick"	"5"	"-0.1"	"0.02"	"1"	"17"	"RDB"	"-100"	"0.00121"	"0.00127"	"0.00119"	"0.00117"	"0.00127"	"0.94672"	"0.03085"	"66.90987"	NA
"stick"	"5"	"-0.1"	"0.02"	"1"	"18"	"RDB"	"-100"	"0.00121"	"0.00128"	"0.00128"	"0.0011"	"0.00134"	"0.9267"	"0.03735"	"60.7882"	NA
"stick"	"5"	"-0.1"	"0.02"	"1"	"19"	"RDB"	"-100"	"0.0013"	"0.0013"	"0.00116"	"0.0013"	"0.00121"	"0.86189"	"0.05262"	"49.82577"	NA
"stick"	"5"	"-0.1"	"0.02"	"1"	"20"	"RDB"	"-100"	"0.00115"	"0.00115"	"0.00121"	"0.00112"	"0.00131"	"0.93731"	"0.03263"	"65.11818"	NA
"stick"	"5"	"-0.1"	"0.02"	"1"	"21"	"RDB"	"-100"	"0.00115"	"0.00132"	"0.00117"	"0.00111"	"0.00127"	"0.94391"	"0.0311"	"66.6537"	NA
"stick"	"5"	"-0.1"	"0.02"	"1"	"22"	"RDB"	"-17.8495"	"0.00641"	"0.00678"	"0.0069"	"0.00682"	"0.00662"	"0.93753"	"0.03245"	"65.28769"	NA
"stick"	"5"	"-0.1"	"0.02"	"1"	"23"	"RDB"	"-100"	"0.00115"	"0.00122"	"0.00109"	"0.0012"	"0.00124"	"0.95731"	"0.02629"	"72.02354"	NA
"stick"	"5"	"-0.1"	"0.02"	"1"	"24"	"RDB"	"-100"	"0.00127"	"0.00111"	"0.00125"	"0.00115"	"0.00113"	"0.94426"	"0.0306"	"67.16893"	NA
"stick"	"5"	"-0.1"	"0.02"	"1"	"25"	"RDB"	"-100"	"0.00119"	"0.00129"	"0.00119"	"0.00118"	"0.00124"	"0.93918"	"0.03306"	"64.69509"	NA
"stick"	"5"	"-0.1"	"0.02"	"1"	"26"	"RDB"	"-100"	"0.00115"	"0.00119"	"0.00112"	"0.00132"	"0.00134"	"0.94598"	"0.03118"	"66.56688"	NA
"stick"	"5"	"-0.1"	"0.02"	"1"	"27"	"RDB"	"-715.67423"	"0.00018"	"0.00016"	"0.00015"	"0.00017"	"0.00018"	"0.94285"	"0.03159"	"66.15371"	NA
"stick"	"5"	"-0.1"	"0.02"	"1"	"28"	"RDB"	"-8.66637"	"0.0143"	"0.01432"	"0.01429"	"0.01424"	"0.01421"	"0.92194"	"0.03721"	"60.91275"	NA
"stick"	"5"	"-0.1"	"0.02"	"1"	"29"	"RDB"	"-2.70441"	"0.05049"	"0.04836"	"0.04781"	"0.04911"	"0.0487"	"0.86664"	"0.04943"	"51.82413"	NA
"stick"	"5"	"-0.1"	"0.02"	"1"	"30"	"RDB"	"-4.25616"	"0.03028"	"0.03036"	"0.02968"	"0.02796"	"0.02695"	"0.91549"	"0.03748"	"60.68195"	NA
"stick"	"5"	"-0.1"	"0.02"	"1"	"31"	"RDB"	"-100"	"0.00124"	"0.00125"	"0.00118"	"0.00119"	"0.00133"	"0.90062"	"0.04347"	"55.93585"	NA
"stick"	"5"	"-0.1"	"0.02"	"1"	"32"	"RDB"	"-100"	"0.00114"	"0.00127"	"0.00127"	"0.0011"	"0.00133"	"0.93236"	"0.0349"	"62.96635"	NA
"stick"	"5"	"-0.1"	"0.02"	"1"	"33"	"RDB"	"-100"	"0.00117"	"0.00116"	"0.00129"	"0.00109"	"0.00119"	"0.95418"	"0.02751"	"70.57165"	NA
"stick"	"5"	"-0.1"	"0.02"	"1"	"34"	"RDB"	"-100"	"0.0011"	"0.00133"	"0.00127"	"0.00123"	"0.0013"	"0.90209"	"0.04339"	"55.99628"	NA
"stick"	"5"	"-0.1"	"0.02"	"1"	"35"	"RDB"	"-48.22084"	"0.00245"	"0.00249"	"0.00252"	"0.00237"	"0.00247"	"0.95823"	"0.02635"	"71.95933"	NA
"stick"	"5"	"-0.1"	"0.02"	"1"	"36"	"RDB"	"-100"	"0.0012"	"0.00116"	"0.00111"	"0.00124"	"0.00115"	"0.93583"	"0.03253"	"65.21701"	NA
"stick"	"5"	"-0.1"	"0.02"	"1"	"37"	"RDB"	"-100"	"0.00109"	"0.00133"	"0.00122"	"0.00109"	"0.00118"	"0.97143"	"0.02154"	"78.40995"	NA
"stick"	"5"	"-0.1"	"0.02"	"1"	"38"	"RDB"	"-100"	"0.0012"	"0.00118"	"0.00118"	"0.00128"	"0.00119"	"0.94997"	"0.0295"	"68.33786"	NA
"stick"	"5"	"-0.1"	"0.02"	"1"	"39"	"RDB"	"-100"	"0.00122"	"0.00122"	"0.00123"	"0.00128"	"0.00115"	"0.91963"	"0.03826"	"60.02242"	NA
"stick"	"5"	"-0.1"	"0.02"	"1"	"40"	"RDB"	"-28.13627"	"0.00446"	"0.004"	"0.0046"	"0.00403"	"0.00431"	"0.94068"	"0.03203"	"65.70392"	NA
"stick"	"5"	"-0.1"	"0.02"	"1"	"41"	"RDB"	"-8.72642"	"0.01291"	"0.01171"	"0.0146"	"0.01497"	"0.01374"	"0.95824"	"0.02595"	"72.44542"	NA
"stick"	"5"	"-0.1"	"0.02"	"1"	"42"	"RDB"	"-10.93138"	"0.01201"	"0.01111"	"0.01151"	"0.01174"	"0.01039"	"0.92194"	"0.03722"	"60.90288"	NA
"stick"	"5"	"-0.1"	"0.02"	"1"	"43"	"RDB"	"-23.19662"	"0.00514"	"0.00512"	"0.00497"	"0.00479"	"0.00514"	"0.97054"	"0.02128"	"78.78812"	NA
"stick"	"5"	"-0.1"	"0.02"	"1"	"44"	"RDB"	"-100"	"0.00142"	"0.00132"	"0.00103"	"0.00127"	"0.00117"	"0.92931"	"0.03645"	"61.5731"	NA
"stick"	"5"	"-0.1"	"0.02"	"1"	"45"	"RDB"	"-14.4729"	"0.00885"	"0.0079"	"0.00912"	"0.00767"	"0.00836"	"0.94771"	"0.03018"	"67.61221"	NA
"stick"	"5"	"-0.1"	"0.02"	"1"	"46"	"RDB"	"-18.4831"	"0.00677"	"0.00672"	"0.00735"	"0.00609"	"0.00633"	"0.94797"	"0.03036"	"67.4254"	NA
"stick"	"5"	"-0.1"	"0.02"	"1"	"47"	"RDB"	"-10.05228"	"0.01254"	"0.01262"	"0.01242"	"0.01112"	"0.012"	"0.9338"	"0.0336"	"64.17919"	NA
"stick"	"5"	"-0.1"	"0.02"	"1"	"48"	"RDB"	"-100"	"0.00132"	"0.00117"	"0.00117"	"0.00121"	"0.00123"	"0.94046"	"0.03268"	"65.06619"	NA
"stick"	"5"	"-0.1"	"0.02"	"1"	"49"	"RDB"	"-100"	"0.00133"	"0.00115"	"0.00122"	"0.00122"	"0.00113"	"0.95027"	"0.02957"	"68.27118"	NA
"stick"	"5"	"-0.1"	"0.02"	"1"	"50"	"RDB"	"-5.63164"	"0.01947"	"0.02083"	"0.02237"	"0.0234"	"0.02124"	"0.93118"	"0.0338"	"63.98381"	NA
"stick"	"5"	"-0.1"	"0.02"	"1"	"51"	"RDB"	"-100"	"0.00112"	"0.00117"	"0.00119"	"0.00133"	"0.0012"	"0.92226"	"0.03685"	"61.22249"	NA
"stick"	"5"	"-0.1"	"0.02"	"1"	"52"	"RDB"	"-9.83915"	"0.01237"	"0.01297"	"0.01159"	"0.01174"	"0.01086"	"0.964"	"0.02358"	"75.50573"	NA
"stick"	"5"	"-0.1"	"0.02"	"1"	"53"	"RDB"	"-100"	"0.00124"	"0.00133"	"0.00124"	"0.00117"	"0.00116"	"0.92196"	"0.03792"	"60.30448"	NA
"stick"	"5"	"-0.1"	"0.02"	"1"	"54"	"RDB"	"-15.27835"	"0.00755"	"0.00856"	"0.00842"	"0.00709"	"0.00855"	"0.92785"	"0.03581"	"62.13541"	NA
"stick"	"5"	"-0.1"	"0.02"	"1"	"55"	"RDB"	"-100"	"0.00128"	"0.0012"	"0.00121"	"0.00116"	"0.00117"	"0.92993"	"0.03508"	"62.80197"	NA
