"model"	"n.muts"	"coes"	"sigma"	"d.true"	"rep"	"method"	"d.hat"	"u.hats.1"	"u.hats.2"	"u.hats.3"	"u.hats.4"	"R2"	"sig.hat"	"logLike"	"P"
"stick"	"4"	"-0.1"	"0.02"	"1"	"1"	"max"	"0.1"	"-0.50037"	"-0.53062"	"-0.56558"	"-0.5989"	"0.73419"	"0.05732"	"24.04348"	NA
"stick"	"4"	"-0.1"	"0.02"	"1"	"2"	"max"	"0.1"	"-0.53946"	"-0.58039"	"-0.56929"	"-0.49454"	"0.65429"	"0.06307"	"22.51324"	NA
"stick"	"4"	"-0.1"	"0.02"	"1"	"3"	"max"	"0.1"	"-0.55906"	"-0.5504"	"-0.54692"	"-0.46084"	"0.5948"	"0.065"	"22.03068"	NA
"stick"	"4"	"-0.1"	"0.02"	"1"	"4"	"max"	"0.1"	"-0.64802"	"-0.58945"	"-0.49532"	"-0.50674"	"0.66618"	"0.06607"	"21.77083"	NA
"stick"	"4"	"-0.1"	"0.02"	"1"	"5"	"max"	"0.1"	"-0.54751"	"-0.44826"	"-0.58772"	"-0.59402"	"0.67875"	"0.06065"	"23.138"	NA
"stick"	"4"	"-0.1"	"0.02"	"1"	"6"	"max"	"0.1"	"-0.53857"	"-0.56819"	"-0.60089"	"-0.53611"	"0.73914"	"0.05718"	"24.0822"	NA
"stick"	"4"	"-0.1"	"0.02"	"1"	"7"	"max"	"0.1"	"-0.58305"	"-0.49137"	"-0.52194"	"-0.57346"	"0.6073"	"0.06599"	"21.78919"	NA
"stick"	"4"	"-0.1"	"0.02"	"1"	"8"	"max"	"0.1"	"-0.50495"	"-0.57512"	"-0.56833"	"-0.54098"	"0.63639"	"0.06451"	"22.15112"	NA
"stick"	"4"	"-0.1"	"0.02"	"1"	"9"	"max"	"0.1"	"-0.58026"	"-0.57739"	"-0.51456"	"-0.55996"	"0.79252"	"0.05153"	"25.74707"	NA
"stick"	"4"	"-0.1"	"0.02"	"1"	"10"	"max"	"0.1"	"-0.61038"	"-0.43206"	"-0.48966"	"-0.59895"	"0.61453"	"0.06446"	"22.16314"	NA
"stick"	"4"	"-0.1"	"0.02"	"1"	"11"	"max"	"0.1"	"-0.59326"	"-0.49034"	"-0.47014"	"-0.68802"	"0.73546"	"0.05859"	"23.69085"	NA
"stick"	"4"	"-0.1"	"0.02"	"1"	"12"	"max"	"0.1"	"-0.5371"	"-0.64294"	"-0.55971"	"-0.58216"	"0.7824"	"0.05604"	"24.40527"	NA
"stick"	"4"	"-0.1"	"0.02"	"1"	"13"	"max"	"0.1"	"-0.61445"	"-0.67872"	"-0.53596"	"-0.39341"	"0.50209"	"0.07678"	"19.36515"	NA
"stick"	"4"	"-0.1"	"0.02"	"1"	"14"	"max"	"0.1"	"-0.52483"	"-0.55105"	"-0.57031"	"-0.64186"	"0.7989"	"0.05356"	"25.12884"	NA
"stick"	"4"	"-0.1"	"0.02"	"1"	"15"	"max"	"0.1"	"-0.5616"	"-0.48752"	"-0.57003"	"-0.60503"	"0.71375"	"0.05993"	"23.3315"	NA
"stick"	"4"	"-0.1"	"0.02"	"1"	"16"	"max"	"0.1"	"-0.51276"	"-0.57973"	"-0.46752"	"-0.66112"	"0.64882"	"0.06456"	"22.14021"	NA
"stick"	"4"	"-0.1"	"0.02"	"1"	"17"	"max"	"0.1"	"-0.53757"	"-0.61341"	"-0.57097"	"-0.47836"	"0.60108"	"0.06789"	"21.33433"	NA
"stick"	"4"	"-0.1"	"0.02"	"1"	"18"	"max"	"0.1"	"-0.45198"	"-0.53793"	"-0.52839"	"-0.53689"	"0.52778"	"0.06768"	"21.38471"	NA
