"model"	"n.muts"	"coes"	"sigma"	"d.true"	"rep"	"method"	"d.hat"	"u.hats.1"	"u.hats.2"	"u.hats.3"	"u.hats.4"	"u.hats.5"	"R2"	"sig.hat"	"logLike"	"P"
"stick"	"5"	"-0.1"	"0.02"	"1"	"1"	"max"	"0.1"	"-0.47662"	"-0.43006"	"-0.43624"	"-0.47655"	"-0.46799"	"0.33167"	"0.10718"	"27.05912"	NA
"stick"	"5"	"-0.1"	"0.02"	"1"	"2"	"max"	"0.1"	"-0.47674"	"-0.42866"	"-0.47186"	"-0.47843"	"-0.53255"	"0.53425"	"0.09568"	"30.68965"	NA
"stick"	"5"	"-0.1"	"0.02"	"1"	"3"	"max"	"0.1"	"-0.44289"	"-0.41481"	"-0.43694"	"-0.48575"	"-0.4744"	"0.20806"	"0.11387"	"25.11975"	NA
"stick"	"5"	"-0.1"	"0.02"	"1"	"4"	"max"	"0.1"	"-0.48917"	"-0.44388"	"-0.43938"	"-0.51105"	"-0.42735"	"0.38504"	"0.10284"	"28.38029"	NA
"stick"	"5"	"-0.1"	"0.02"	"1"	"5"	"max"	"0.1"	"-0.45167"	"-0.48501"	"-0.50663"	"-0.43788"	"-0.42408"	"0.46163"	"0.09868"	"29.70197"	NA
"stick"	"5"	"-0.1"	"0.02"	"1"	"6"	"max"	"0.1"	"-0.43795"	"-0.43481"	"-0.45729"	"-0.4604"	"-0.49632"	"0.40547"	"0.10095"	"28.97478"	NA
"stick"	"5"	"-0.1"	"0.02"	"1"	"7"	"max"	"0.1"	"-0.40031"	"-0.42336"	"-0.48198"	"-0.47155"	"-0.49592"	"0.24974"	"0.1132"	"25.31032"	NA
"stick"	"5"	"-0.1"	"0.02"	"1"	"8"	"max"	"0.1"	"-0.53542"	"-0.47186"	"-0.46074"	"-0.44767"	"-0.51554"	"0.61986"	"0.08794"	"33.38922"	NA
"stick"	"5"	"-0.1"	"0.02"	"1"	"9"	"max"	"0.1"	"-0.44403"	"-0.47287"	"-0.4293"	"-0.47118"	"-0.42076"	"0.23272"	"0.11086"	"25.97637"	NA
"stick"	"5"	"-0.1"	"0.02"	"1"	"10"	"max"	"0.1"	"-0.45239"	"-0.46002"	"-0.4493"	"-0.40939"	"-0.48952"	"0.34021"	"0.10436"	"27.91246"	NA
