"model"	"n.muts"	"coes"	"sigma"	"d.true"	"rep"	"method"	"d.hat.MLE"	"u.hats.1"	"u.hats.2"	"u.hats.3"	"R2"	"sig.hat"	"logLike"	"P"
"stick"	"3"	"-0.1"	"0.02"	"1"	"1"	"MLE"	"0.95829"	"-0.11621"	"-0.09873"	"-0.11152"	"0.9868"	"0.0105"	"26.09792"	NA
"stick"	"3"	"-0.1"	"0.02"	"1"	"2"	"MLE"	"0.46392"	"-0.2094"	"-0.16683"	"-0.25307"	"0.96821"	"0.0179"	"21.83193"	NA
"stick"	"3"	"-0.1"	"0.02"	"1"	"3"	"MLE"	"1.4107"	"-0.07229"	"-0.06915"	"-0.07928"	"0.98945"	"0.00923"	"27.13412"	NA
"stick"	"3"	"-0.1"	"0.02"	"1"	"4"	"MLE"	"1.75107"	"-0.06146"	"-0.06175"	"-0.0576"	"0.95292"	"0.01939"	"21.19183"	NA
"stick"	"3"	"-0.1"	"0.02"	"1"	"5"	"MLE"	"1.26981"	"-0.07977"	"-0.06664"	"-0.08985"	"0.99508"	"0.00595"	"30.64523"	NA
"stick"	"3"	"-0.1"	"0.02"	"1"	"6"	"max"	"0.1"	"-0.5852"	"-0.75893"	"-0.61226"	"0.52793"	"0.05171"	"13.34558"	NA
"stick"	"3"	"-0.1"	"0.02"	"1"	"7"	"MLE"	"0.43624"	"-0.14129"	"-0.28119"	"-0.25838"	"0.9576"	"0.02211"	"20.14261"	NA
"stick"	"3"	"-0.1"	"0.02"	"1"	"8"	"max"	"0.1"	"-0.70496"	"-0.77868"	"-0.60785"	"0.59699"	"0.05411"	"12.98285"	NA
"stick"	"3"	"-0.1"	"0.02"	"1"	"9"	"MLE"	"1.06169"	"-0.09765"	"-0.08381"	"-0.07576"	"0.97489"	"0.01247"	"24.7259"	NA
"stick"	"3"	"-0.1"	"0.02"	"1"	"10"	"MLE"	"0.38353"	"-0.2633"	"-0.21115"	"-0.24852"	"0.99101"	"0.0093"	"27.07076"	NA
"stick"	"3"	"-0.1"	"0.02"	"1"	"11"	"RDB"	"0.70527"	"-0.11623"	"-0.13519"	"-0.13012"	"0.9237"	"0.01971"	"21.06298"	NA
"stick"	"3"	"-0.1"	"0.02"	"1"	"12"	"MLE"	"0.25886"	"-0.30136"	"-0.39783"	"-0.33429"	"0.9849"	"0.01315"	"24.29698"	NA
"stick"	"3"	"-0.1"	"0.02"	"1"	"13"	"max"	"0.1"	"-0.7381"	"-0.55402"	"-0.67581"	"0.68352"	"0.04585"	"14.30823"	NA
"stick"	"3"	"-0.1"	"0.02"	"1"	"14"	"max"	"0.1"	"-0.74937"	"-0.65499"	"-0.65124"	"0.57238"	"0.05133"	"13.40407"	NA
"stick"	"3"	"-0.1"	"0.02"	"1"	"15"	"max"	"0.1"	"-0.68971"	"-0.60958"	"-0.58241"	"0.55087"	"0.04419"	"14.60177"	NA
"stick"	"3"	"-0.1"	"0.02"	"1"	"16"	"MLE"	"0.73716"	"-0.13972"	"-0.12633"	"-0.1302"	"0.9935"	"0.00692"	"29.44066"	NA
"stick"	"3"	"-0.1"	"0.02"	"1"	"17"	"MLE"	"0.89153"	"-0.11481"	"-0.10642"	"-0.10563"	"0.97929"	"0.01189"	"25.10529"	NA
"stick"	"3"	"-0.1"	"0.02"	"1"	"18"	"max"	"0.1"	"-0.64993"	"-0.74328"	"-0.67493"	"0.67451"	"0.04736"	"14.04872"	NA
"stick"	"3"	"-0.1"	"0.02"	"1"	"19"	"max"	"0.1"	"-0.68704"	"-0.85284"	"-0.51006"	"0.70422"	"0.04652"	"14.19195"	NA
"stick"	"3"	"-0.1"	"0.02"	"1"	"20"	"RDB"	"1.29325"	"-0.08701"	"-0.07073"	"-0.08286"	"0.98737"	"0.00943"	"26.95636"	NA
"stick"	"3"	"-0.1"	"0.02"	"1"	"21"	"MLE"	"0.52"	"-0.22295"	"-0.16959"	"-0.15055"	"0.97068"	"0.01592"	"22.76987"	NA
"stick"	"3"	"-0.1"	"0.02"	"1"	"22"	"MLE"	"0.36848"	"-0.27967"	"-0.17886"	"-0.29083"	"0.97481"	"0.01539"	"23.04062"	NA
"stick"	"3"	"-0.1"	"0.02"	"1"	"23"	"max"	"0.1"	"-0.71277"	"-0.74645"	"-0.56194"	"0.53173"	"0.05291"	"13.16186"	NA
"stick"	"3"	"-0.1"	"0.02"	"1"	"24"	"MLE"	"0.50593"	"-0.22009"	"-0.19824"	"-0.15479"	"0.97584"	"0.01473"	"23.38975"	NA
"stick"	"3"	"-0.1"	"0.02"	"1"	"25"	"RDB"	"0.29881"	"-0.36958"	"-0.24497"	"-0.31997"	"0.87959"	"0.03143"	"17.32783"	NA
"stick"	"3"	"-0.1"	"0.02"	"1"	"26"	"MLE"	"0.68105"	"-0.14476"	"-0.13108"	"-0.15536"	"0.98168"	"0.01193"	"25.0777"	NA
"stick"	"3"	"-0.1"	"0.02"	"1"	"27"	"max"	"0.1"	"-0.63383"	"-0.8023"	"-0.61093"	"0.67438"	"0.04727"	"14.06426"	NA
"stick"	"3"	"-0.1"	"0.02"	"1"	"28"	"max"	"0.1"	"-0.72228"	"-0.75515"	"-0.51742"	"0.56859"	"0.05048"	"13.53828"	NA
"stick"	"3"	"-0.1"	"0.02"	"1"	"29"	"max"	"0.1"	"-0.58883"	"-0.69218"	"-0.68662"	"0.58912"	"0.04932"	"13.72403"	NA
"stick"	"3"	"-0.1"	"0.02"	"1"	"30"	"MLE"	"2.55323"	"-0.04433"	"-0.03358"	"-0.04392"	"0.99271"	"0.00726"	"29.04622"	NA
"stick"	"3"	"-0.1"	"0.02"	"1"	"31"	"MLE"	"0.48417"	"-0.16435"	"-0.22863"	"-0.20276"	"0.95156"	"0.02191"	"20.21591"	NA
"stick"	"3"	"-0.1"	"0.02"	"1"	"32"	"MLE"	"0.42099"	"-0.25277"	"-0.20474"	"-0.22056"	"0.94504"	"0.02169"	"20.29491"	NA
"stick"	"3"	"-0.1"	"0.02"	"1"	"33"	"max"	"0.1"	"-0.66881"	"-0.73365"	"-0.68716"	"0.64378"	"0.04899"	"13.77799"	NA
"stick"	"3"	"-0.1"	"0.02"	"1"	"34"	"MLE"	"0.63034"	"-0.1856"	"-0.1683"	"-0.13644"	"0.9751"	"0.01524"	"23.12152"	NA
"stick"	"3"	"-0.1"	"0.02"	"1"	"35"	"MLE"	"0.66721"	"-0.11544"	"-0.16196"	"-0.16161"	"0.95448"	"0.02056"	"20.72561"	NA
"stick"	"3"	"-0.1"	"0.02"	"1"	"36"	"max"	"0.1"	"-0.79257"	"-0.71542"	"-0.61426"	"0.69721"	"0.04776"	"13.9809"	NA
"stick"	"3"	"-0.1"	"0.02"	"1"	"37"	"MLE"	"1.95447"	"-0.0525"	"-0.03826"	"-0.06085"	"0.98511"	"0.01043"	"26.15276"	NA
"stick"	"3"	"-0.1"	"0.02"	"1"	"38"	"MLE"	"3.93462"	"-0.03351"	"-0.01926"	"-0.02555"	"0.99065"	"0.00818"	"28.09972"	NA
"stick"	"3"	"-0.1"	"0.02"	"1"	"39"	"MLE"	"0.7142"	"-0.1329"	"-0.1397"	"-0.1387"	"0.99308"	"0.00735"	"28.95441"	NA
"stick"	"3"	"-0.1"	"0.02"	"1"	"40"	"MLE"	"1.53398"	"-0.06902"	"-0.05902"	"-0.06766"	"0.97543"	"0.01289"	"24.46056"	NA
"stick"	"3"	"-0.1"	"0.02"	"1"	"41"	"max"	"0.1"	"-0.76817"	"-0.75074"	"-0.59653"	"0.6386"	"0.052"	"13.30007"	NA
"stick"	"3"	"-0.1"	"0.02"	"1"	"42"	"max"	"0.1"	"-0.71149"	"-0.7026"	"-0.61052"	"0.52362"	"0.05244"	"13.23339"	NA
"stick"	"3"	"-0.1"	"0.02"	"1"	"43"	"MLE"	"0.298"	"-0.29229"	"-0.29417"	"-0.33167"	"0.94839"	"0.02487"	"19.2013"	NA
"stick"	"3"	"-0.1"	"0.02"	"1"	"44"	"MLE"	"1.00583"	"-0.10486"	"-0.11174"	"-0.08041"	"0.95947"	"0.01788"	"21.83903"	NA
