"n.muts"	"coes"	"sigma"	"d.true"	"rep"	"method"	"d.hat"	"u.hats.1"	"u.hats.2"	"R2"	"sig.hat"	"logLike"
"2"	"0.1"	"0.1"	"1"	"1"	"MLE"	"0.10065"	"0.30639"	"-0.39111"	"0.80485"	"0.02057"	"10.859"
"2"	"0.1"	"0.1"	"1"	"2"	"MLE"	"0.12523"	"-0.33475"	"0.85825"	"1"	"1e-05"	"42.35945"
"2"	"0.1"	"0.1"	"1"	"3"	"MLE"	"9.99936"	"0.01801"	"-0.00454"	"0.99937"	"0.00298"	"18.59394"
"2"	"0.1"	"0.1"	"1"	"4"	"MLE"	"0.54862"	"0.13798"	"-0.00133"	"0.99323"	"0.00378"	"17.63247"
"2"	"0.1"	"0.1"	"1"	"5"	"MLE"	"0.26806"	"0.17887"	"0.62027"	"0.58984"	"0.03313"	"8.95383"
"2"	"0.1"	"0.1"	"1"	"6"	"MLE"	"0.39796"	"0.50229"	"0.08078"	"0.84874"	"0.03176"	"9.12301"
"2"	"0.1"	"0.1"	"1"	"7"	"MLE"	"9.9995"	"0.01799"	"0.01348"	"0.90526"	"0.03959"	"8.24055"
"2"	"0.1"	"0.1"	"1"	"8"	"MLE"	"9.99962"	"-0.00108"	"0.02586"	"0.7178"	"0.07118"	"5.8946"
"2"	"0.1"	"0.1"	"1"	"9"	"MLE"	"9.9995"	"0.00931"	"0.01338"	"0.8969"	"0.03081"	"9.24383"
"2"	"0.1"	"0.1"	"1"	"10"	"MLE"	"9.99944"	"-0.00343"	"0.00875"	"0.12309"	"0.07943"	"5.45588"
"2"	"0.1"	"0.1"	"1"	"11"	"MLE"	"0.38271"	"0.08052"	"0.37735"	"-0.73206"	"0.0643"	"6.30089"
"2"	"0.1"	"0.1"	"1"	"12"	"MLE"	"0.22366"	"0.2524"	"0.74335"	"0.7375"	"0.02524"	"10.04122"
"2"	"0.1"	"0.1"	"1"	"13"	"MLE"	"0.1492"	"0.81975"	"0.75018"	"0.99996"	"9e-05"	"32.44943"
"2"	"0.1"	"0.1"	"1"	"14"	"MLE"	"0.22652"	"0.04528"	"0.30015"	"1"	"0"	"55.35937"
"2"	"0.1"	"0.1"	"1"	"15"	"MLE"	"0.45939"	"0.29988"	"0.06887"	"-1.19971"	"0.12191"	"3.74228"
"2"	"0.1"	"0.1"	"1"	"16"	"MLE"	"9.99946"	"0.00773"	"0.01018"	"0.63024"	"0.07369"	"5.75566"
"2"	"0.1"	"0.1"	"1"	"17"	"MLE"	"0.62512"	"0.36871"	"0.17522"	"1"	"0"	"55.22787"
"2"	"0.1"	"0.1"	"1"	"18"	"MLE"	"9.99943"	"0.01308"	"0.01366"	"0.59672"	"0.11983"	"3.81088"
"2"	"0.1"	"0.1"	"1"	"19"	"MLE"	"0.25339"	"0.19369"	"0.65825"	"0.6927"	"0.02925"	"9.45178"
"2"	"0.1"	"0.1"	"1"	"20"	"MLE"	"0.30404"	"0.70453"	"0.24806"	"1"	"0"	"52.5709"
"2"	"0.1"	"0.1"	"1"	"21"	"MLE"	"9.99945"	"0.0098"	"-0.00577"	"0.42775"	"0.07243"	"5.82458"
"2"	"0.1"	"0.1"	"1"	"22"	"MLE"	"0.19746"	"0.76703"	"0.48337"	"-7.23951"	"0.04677"	"7.57391"
"2"	"0.1"	"0.1"	"1"	"23"	"MLE"	"0.28095"	"-0.07429"	"0.36734"	"0.9143"	"0.02449"	"10.16226"
"2"	"0.1"	"0.1"	"1"	"24"	"MLE"	"0.42376"	"0.10285"	"0.37764"	"-1.56069"	"0.11574"	"3.94981"
"2"	"0.1"	"0.1"	"1"	"25"	"MLE"	"9.99944"	"-0.00054"	"0.00134"	"-0.19163"	"0.04257"	"7.95059"
"2"	"0.1"	"0.1"	"1"	"26"	"MLE"	"9.99945"	"0.0117"	"0.00252"	"0.80941"	"0.03959"	"8.24114"
"2"	"0.1"	"0.1"	"1"	"27"	"MLE"	"2.49389"	"0.00563"	"0.0885"	"-0.65503"	"0.19957"	"1.7707"
"2"	"0.1"	"0.1"	"1"	"28"	"MLE"	"9.9995"	"0.00408"	"0.00899"	"0.92489"	"0.01587"	"11.8969"
"2"	"0.1"	"0.1"	"1"	"29"	"MLE"	"0.32679"	"0.50686"	"0.13477"	"-0.01695"	"0.04977"	"7.32582"
"2"	"0.1"	"0.1"	"1"	"30"	"MLE"	"0.16769"	"0.23105"	"0.98799"	"0.99946"	"0.00168"	"20.88017"
"2"	"0.1"	"0.1"	"1"	"31"	"MLE"	"9.99947"	"0.01238"	"0.02137"	"0.87127"	"0.05555"	"6.88582"
"2"	"0.1"	"0.1"	"1"	"32"	"MLE"	"9.9995"	"0.00448"	"0.01342"	"0.95853"	"0.01636"	"11.77547"
"2"	"0.1"	"0.1"	"1"	"33"	"MLE"	"0.29918"	"0.58929"	"0.21724"	"-1.03908"	"0.05765"	"6.73792"
"2"	"0.1"	"0.1"	"1"	"34"	"MLE"	"0.2653"	"0.37607"	"0.44744"	"1"	"1e-05"	"41.22114"
"2"	"0.1"	"0.1"	"1"	"35"	"MLE"	"0.12972"	"-0.67921"	"0.60604"	"1"	"2e-05"	"38.33699"
"2"	"0.1"	"0.1"	"1"	"36"	"MLE"	"0.57142"	"-0.04443"	"0.38562"	"1"	"0"	"53.73893"
"2"	"0.1"	"0.1"	"1"	"37"	"MLE"	"1.53547"	"0.18115"	"0.01845"	"-0.57174"	"0.1671"	"2.48083"
"2"	"0.1"	"0.1"	"1"	"38"	"MLE"	"9.99954"	"0.00382"	"0.01523"	"0.99208"	"0.00748"	"14.90588"
"2"	"0.1"	"0.1"	"1"	"39"	"MLE"	"0.48074"	"0.07777"	"0.41353"	"0.30042"	"0.05855"	"6.67544"
"2"	"0.1"	"0.1"	"1"	"40"	"MLE"	"9.99942"	"0.017"	"-0.00121"	"0.90651"	"0.02837"	"9.57336"
"2"	"0.1"	"0.1"	"1"	"41"	"MLE"	"9.99948"	"0.0061"	"0.0034"	"0.68972"	"0.0338"	"8.87289"
"2"	"0.1"	"0.1"	"1"	"42"	"MLE"	"1.46376"	"-0.00267"	"0.10374"	"0.93656"	"0.02616"	"9.89909"
"2"	"0.1"	"0.1"	"1"	"43"	"MLE"	"0.16875"	"0.92903"	"0.85262"	"-0.51859"	"0.10703"	"4.26282"
"2"	"0.1"	"0.1"	"1"	"44"	"MLE"	"0.37903"	"0.4004"	"0.09498"	"-1.00753"	"0.07019"	"5.95069"
"2"	"0.1"	"0.1"	"1"	"45"	"MLE"	"9.99941"	"0.00896"	"0.01662"	"0.99758"	"0.00423"	"17.19019"
"2"	"0.1"	"0.1"	"1"	"46"	"MLE"	"0.22809"	"0.74772"	"0.50917"	"-1.3324"	"0.10232"	"4.44293"
"2"	"0.1"	"0.1"	"1"	"47"	"MLE"	"0.50692"	"0.21507"	"0.20087"	"1"	"0"	"46.18556"
"2"	"0.1"	"0.1"	"1"	"48"	"MLE"	"9.99942"	"-0.00786"	"0.01217"	"0.21458"	"0.13276"	"3.40121"
"2"	"0.1"	"0.1"	"1"	"49"	"MLE"	"9.9995"	"0.01735"	"-0.00265"	"0.99054"	"0.01023"	"13.6527"
"2"	"0.1"	"0.1"	"1"	"50"	"MLE"	"9.99954"	"0.0071"	"0.00885"	"0.97362"	"0.00889"	"14.2134"
"2"	"0.1"	"0.1"	"1"	"51"	"MLE"	"9.99936"	"0.02092"	"0.00111"	"0.92201"	"0.03949"	"8.25116"
"2"	"0.1"	"0.1"	"1"	"52"	"MLE"	"0.25933"	"0.28665"	"0.60606"	"-3.09195"	"0.0828"	"5.28944"
"2"	"0.1"	"0.1"	"1"	"53"	"MLE"	"9.99942"	"-0.00188"	"0.01247"	"0.29613"	"0.06523"	"6.24386"
"2"	"0.1"	"0.1"	"1"	"54"	"MLE"	"0.23907"	"0.66185"	"0.31272"	"-2.9182"	"0.05351"	"7.0355"
"2"	"0.1"	"0.1"	"1"	"55"	"MLE"	"0.34343"	"0.8317"	"0.05212"	"1"	"2e-05"	"39.50254"
"2"	"0.1"	"0.1"	"1"	"56"	"MLE"	"0.45188"	"-0.02771"	"0.16357"	"0.71856"	"0.03745"	"8.46374"
"2"	"0.1"	"0.1"	"1"	"57"	"MLE"	"0.25999"	"0.4106"	"0.13888"	"-1.32306"	"0.09738"	"4.64094"
"2"	"0.1"	"0.1"	"1"	"58"	"MLE"	"9.99945"	"0.00545"	"0.00877"	"0.53812"	"0.0791"	"5.47254"
"2"	"0.1"	"0.1"	"1"	"59"	"MLE"	"9.99945"	"0.01344"	"0.00559"	"0.7233"	"0.0636"	"6.3446"
"2"	"0.1"	"0.1"	"1"	"60"	"MLE"	"0.41463"	"0.80352"	"-0.10261"	"0.99368"	"0.0182"	"11.35004"
"2"	"0.1"	"0.1"	"1"	"61"	"MLE"	"0.34014"	"0.68316"	"0.10102"	"0.97016"	"0.01802"	"11.38826"
"2"	"0.1"	"0.1"	"1"	"62"	"MLE"	"9.99945"	"0.007"	"0.0025"	"0.58501"	"0.0502"	"7.29109"
"2"	"0.1"	"0.1"	"1"	"63"	"MLE"	"9.99941"	"0.02357"	"-0.00434"	"0.70644"	"0.07557"	"5.655"
"2"	"0.1"	"0.1"	"1"	"64"	"MLE"	"0.1977"	"0.60782"	"0.16397"	"0.64971"	"0.02315"	"10.38732"
"2"	"0.1"	"0.1"	"1"	"65"	"MLE"	"9.99945"	"0.02854"	"-0.01324"	"0.84842"	"0.08165"	"5.34565"
"2"	"0.1"	"0.1"	"1"	"66"	"MLE"	"0.22371"	"0.73357"	"0.97685"	"0.99971"	"0.00055"	"25.35984"
"2"	"0.1"	"0.1"	"1"	"67"	"MLE"	"0.34675"	"0.11571"	"0.12833"	"1"	"0"	"53.28951"
"2"	"0.1"	"0.1"	"1"	"68"	"MLE"	"9.99937"	"-0.00248"	"0.01957"	"0.30545"	"0.09782"	"4.62256"
"2"	"0.1"	"0.1"	"1"	"69"	"MLE"	"0.69637"	"0.39573"	"0.13684"	"-1.13582"	"0.28122"	"0.3987"
"2"	"0.1"	"0.1"	"1"	"70"	"MLE"	"9.99963"	"0.01934"	"0.00369"	"0.47874"	"0.17747"	"2.24012"
