"model"	"n.muts"	"coes"	"sigma"	"d.true"	"rep"	"method"	"d.hat"	"u.hats.1"	"u.hats.2"	"u.hats.3"	"u.hats.4"	"R2"	"sig.hat"	"logLike"	"P"
"stick"	"4"	"0.1"	"0.02"	"1"	"1"	"MLE"	"1.45426"	"0.05565"	"0.0683"	"0.07797"	"0.06585"	"0.94298"	"0.01951"	"41.28786"	NA
"stick"	"4"	"0.1"	"0.02"	"1"	"2"	"MLE"	"9.99966"	"0.00856"	"0.01026"	"0.00866"	"0.00863"	"0.95275"	"0.01902"	"41.69111"	NA
"stick"	"4"	"0.1"	"0.02"	"1"	"3"	"MLE"	"9.99962"	"0.00971"	"0.01045"	"0.00852"	"0.00849"	"0.96454"	"0.01669"	"43.78362"	NA
"stick"	"4"	"0.1"	"0.02"	"1"	"4"	"MLE"	"0.72576"	"0.1528"	"0.15523"	"0.12708"	"0.13252"	"0.96061"	"0.0149"	"45.59531"	NA
"stick"	"4"	"0.1"	"0.02"	"1"	"5"	"MLE"	"0.58087"	"0.19599"	"0.18984"	"0.18331"	"0.17743"	"0.97477"	"0.01138"	"49.91207"	NA
"stick"	"4"	"0.1"	"0.02"	"1"	"6"	"MLE"	"2.18686"	"0.04509"	"0.03601"	"0.0497"	"0.04427"	"0.97847"	"0.01185"	"49.26828"	NA
"stick"	"4"	"0.1"	"0.02"	"1"	"7"	"MLE"	"0.69747"	"0.18575"	"0.13485"	"0.14825"	"0.15681"	"0.95834"	"0.01616"	"44.2996"	NA
"stick"	"4"	"0.1"	"0.02"	"1"	"8"	"MLE"	"9.99938"	"0.00863"	"0.00837"	"0.01"	"0.00963"	"0.96265"	"0.0166"	"43.86986"	NA
"stick"	"4"	"0.1"	"0.02"	"1"	"9"	"MLE"	"0.63277"	"0.16531"	"0.18681"	"0.1567"	"0.16332"	"0.95593"	"0.01577"	"44.69131"	NA
"stick"	"4"	"0.1"	"0.02"	"1"	"10"	"MLE"	"0.70926"	"0.15339"	"0.14952"	"0.13542"	"0.14138"	"0.94229"	"0.01864"	"42.01632"	NA
