"model"	"n.muts"	"coes"	"sigma"	"d.true"	"rep"	"method"	"d.hat"	"u.hats.1"	"u.hats.2"	"u.hats.3"	"u.hats.4"	"u.hats.5"	"R2"	"sig.hat"	"logLike"	"P"
"stick"	"5"	"0.1"	"0.02"	"1"	"1"	"MLE"	"0.77814"	"0.14941"	"0.13399"	"0.13741"	"0.12086"	"0.12877"	"0.94885"	"0.019"	"82.42792"	NA
"stick"	"5"	"0.1"	"0.02"	"1"	"2"	"MLE"	"0.86077"	"0.10786"	"0.13443"	"0.11036"	"0.11748"	"0.11283"	"0.94209"	"0.02047"	"80.03431"	NA
"stick"	"5"	"0.1"	"0.02"	"1"	"3"	"MLE"	"0.94346"	"0.10746"	"0.1049"	"0.10543"	"0.10182"	"0.10817"	"0.94853"	"0.01888"	"82.61969"	NA
"stick"	"5"	"0.1"	"0.02"	"1"	"4"	"MLE"	"0.79167"	"0.13317"	"0.12965"	"0.11911"	"0.12919"	"0.14245"	"0.95811"	"0.0168"	"86.35956"	NA
"stick"	"5"	"0.1"	"0.02"	"1"	"5"	"MLE"	"1.00765"	"0.11727"	"0.09435"	"0.09653"	"0.10471"	"0.09669"	"0.95186"	"0.0198"	"81.10013"	NA
"stick"	"5"	"0.1"	"0.02"	"1"	"6"	"MLE"	"1.38815"	"0.0638"	"0.06199"	"0.07194"	"0.07148"	"0.0772"	"0.9661"	"0.0164"	"87.12"	NA
"stick"	"5"	"0.1"	"0.02"	"1"	"7"	"MLE"	"1.08283"	"0.1003"	"0.09077"	"0.08952"	"0.09306"	"0.08896"	"0.94347"	"0.0211"	"79.05786"	NA
"stick"	"5"	"0.1"	"0.02"	"1"	"8"	"MLE"	"0.96888"	"0.11861"	"0.11718"	"0.09695"	"0.10945"	"0.0914"	"0.94698"	"0.0203"	"80.30344"	NA
"stick"	"5"	"0.1"	"0.02"	"1"	"9"	"MLE"	"1.25053"	"0.07854"	"0.0638"	"0.07252"	"0.07713"	"0.08741"	"0.95438"	"0.01879"	"82.77349"	NA
"stick"	"5"	"0.1"	"0.02"	"1"	"10"	"MLE"	"2.06425"	"0.04085"	"0.05309"	"0.04311"	"0.04729"	"0.04858"	"0.96437"	"0.01776"	"84.5708"	NA
"stick"	"5"	"0.1"	"0.02"	"1"	"11"	"MLE"	"0.85659"	"0.12568"	"0.09748"	"0.12329"	"0.1285"	"0.11155"	"0.97286"	"0.01404"	"92.1093"	NA
"stick"	"5"	"0.1"	"0.02"	"1"	"12"	"MLE"	"1.45833"	"0.07203"	"0.06668"	"0.06159"	"0.06556"	"0.06415"	"0.95088"	"0.01961"	"81.41535"	NA
"stick"	"5"	"0.1"	"0.02"	"1"	"13"	"MLE"	"2.66387"	"0.03142"	"0.03576"	"0.03733"	"0.03575"	"0.03535"	"0.96432"	"0.01748"	"85.08271"	NA
"stick"	"5"	"0.1"	"0.02"	"1"	"14"	"MLE"	"1.01725"	"0.08758"	"0.1013"	"0.10658"	"0.08708"	"0.11272"	"0.96832"	"0.01554"	"88.84649"	NA
"stick"	"5"	"0.1"	"0.02"	"1"	"15"	"MLE"	"1.22439"	"0.0915"	"0.07361"	"0.07668"	"0.0769"	"0.08742"	"0.96257"	"0.01711"	"85.77118"	NA
