"model"	"n.muts"	"coes"	"sigma"	"d.true"	"rep"	"method"	"d.hat"	"u.hats.1"	"u.hats.2"	"u.hats.3"	"R2"	"sig.hat"	"logLike"	"P"
"stick"	"3"	"0.1"	"0.02"	"1"	"1"	"RDB.all"	"0.69416"	"0.16864"	"0.14282"	"0.15333"	"0.91199"	"0.02378"	"19.56072"	NA
"stick"	"3"	"0.1"	"0.02"	"1"	"2"	"RDB.all"	"0.86571"	"0.11222"	"0.11753"	"0.14178"	"0.98568"	"0.00853"	"27.75942"	NA
"stick"	"3"	"0.1"	"0.02"	"1"	"3"	"RDB.all"	"0.48849"	"0.25057"	"0.21738"	"0.21457"	"0.96254"	"0.01246"	"24.73296"	NA
"stick"	"3"	"0.1"	"0.02"	"1"	"4"	"RDB.all"	"0.29835"	"0.32069"	"0.36269"	"0.50539"	"0.91279"	"0.01581"	"22.82541"	NA
"stick"	"3"	"0.1"	"0.02"	"1"	"5"	"RDB.all"	"0.38681"	"0.32647"	"0.27609"	"0.27039"	"0.91339"	"0.01824"	"21.68085"	NA
"stick"	"3"	"0.1"	"0.02"	"1"	"6"	"RDB.all"	"0.34016"	"0.30168"	"0.28023"	"0.39435"	"0.99112"	"0.00527"	"31.61534"	NA
"stick"	"3"	"0.1"	"0.02"	"1"	"7"	"RDB.all"	"0.54718"	"0.18503"	"0.22398"	"0.16633"	"0.99351"	"0.00474"	"32.46166"	NA
"stick"	"3"	"0.1"	"0.02"	"1"	"8"	"RDB.all"	"-0.44749"	"-0.20072"	"-0.1773"	"-0.18411"	"0.97128"	"0.01343"	"24.12985"	NA
"stick"	"3"	"0.1"	"0.02"	"1"	"9"	"RDB.all"	"1.32869"	"0.07498"	"0.07469"	"0.07764"	"0.97007"	"0.01326"	"24.23524"	NA
"stick"	"3"	"0.1"	"0.02"	"1"	"10"	"RDB.all"	"0.84957"	"0.12459"	"0.09069"	"0.12819"	"0.99436"	"0.00476"	"32.42552"	NA
"stick"	"3"	"0.1"	"0.02"	"1"	"11"	"RDB.all"	"0.60527"	"0.14749"	"0.1602"	"0.19603"	"0.97051"	"0.01086"	"25.82619"	NA
"stick"	"3"	"0.1"	"0.02"	"1"	"12"	"RDB.all"	"0.31417"	"0.40735"	"0.42779"	"0.3706"	"0.95304"	"0.01274"	"24.55203"	NA
"stick"	"3"	"0.1"	"0.02"	"1"	"13"	"RDB.all"	"5.73555"	"0.02022"	"0.01501"	"0.01612"	"0.94056"	"0.02048"	"20.75505"	NA
"stick"	"3"	"0.1"	"0.02"	"1"	"14"	"RDB.all"	"0.64264"	"0.17136"	"0.1707"	"0.18453"	"0.9801"	"0.00981"	"26.64092"	NA
"stick"	"3"	"0.1"	"0.02"	"1"	"15"	"RDB.all"	"1.11725"	"0.07768"	"0.08504"	"0.10254"	"0.96906"	"0.01184"	"25.13624"	NA
"stick"	"3"	"0.1"	"0.02"	"1"	"16"	"RDB.all"	"-0.35327"	"-0.21258"	"-0.24935"	"-0.21934"	"0.90613"	"0.02281"	"19.89308"	NA
"stick"	"3"	"0.1"	"0.02"	"1"	"17"	"RDB.all"	"0.44582"	"0.22976"	"0.24524"	"0.27823"	"0.9538"	"0.01425"	"23.65442"	NA
"stick"	"3"	"0.1"	"0.02"	"1"	"18"	"RDB.all"	"0.26545"	"0.58499"	"0.23436"	"0.52859"	"0.91395"	"0.01863"	"21.51053"	NA
"stick"	"3"	"0.1"	"0.02"	"1"	"19"	"RDB.all"	"-1.80057"	"-0.05335"	"-0.05634"	"-0.05081"	"0.99859"	"0.0029"	"36.38482"	NA
"stick"	"3"	"0.1"	"0.02"	"1"	"20"	"RDB.all"	"0.87466"	"0.10676"	"0.13928"	"0.11286"	"0.90095"	"0.0242"	"19.41943"	NA
"stick"	"3"	"0.1"	"0.02"	"1"	"21"	"RDB.all"	"-0.41902"	"-0.13398"	"-0.23456"	"-0.19128"	"0.9764"	"0.01129"	"25.52052"	NA
"stick"	"3"	"0.1"	"0.02"	"1"	"22"	"RDB.all"	"0.36273"	"0.29917"	"0.28093"	"0.30821"	"0.96669"	"0.01056"	"26.05197"	NA
"stick"	"3"	"0.1"	"0.02"	"1"	"23"	"RDB.all"	"0.45129"	"0.2455"	"0.2335"	"0.28033"	"0.99595"	"0.00379"	"34.2451"	NA
"stick"	"3"	"0.1"	"0.02"	"1"	"24"	"RDB.all"	"0.27107"	"0.50914"	"0.48076"	"0.42024"	"0.98897"	"0.00481"	"32.34203"	NA
"stick"	"3"	"0.1"	"0.02"	"1"	"25"	"RDB.all"	"-0.7421"	"-0.142"	"-0.09963"	"-0.09593"	"0.73634"	"0.0333"	"16.86626"	NA
"stick"	"3"	"0.1"	"0.02"	"1"	"26"	"RDB.all"	"0.23711"	"0.57514"	"0.70034"	"0.62686"	"0.51274"	"0.04883"	"13.80443"	NA
"stick"	"3"	"0.1"	"0.02"	"1"	"27"	"RDB.all"	"0.78437"	"0.11476"	"0.13053"	"0.1227"	"0.98388"	"0.00816"	"28.11916"	NA
"stick"	"3"	"0.1"	"0.02"	"1"	"28"	"RDB.all"	"-0.6645"	"-0.13845"	"-0.11917"	"-0.13665"	"0.97649"	"0.01175"	"25.19735"	NA
"stick"	"3"	"0.1"	"0.02"	"1"	"29"	"RDB.all"	"-0.19104"	"-0.33624"	"-0.37384"	"-0.38895"	"0.64673"	"0.04358"	"14.71365"	NA
"stick"	"3"	"0.1"	"0.02"	"1"	"30"	"RDB.all"	"0.46463"	"0.21647"	"0.20748"	"0.20173"	"0.9264"	"0.01694"	"22.2729"	NA
"stick"	"3"	"0.1"	"0.02"	"1"	"31"	"RDB.all"	"-0.44055"	"-0.18519"	"-0.18992"	"-0.18584"	"0.9813"	"0.01077"	"25.89699"	NA
"stick"	"3"	"0.1"	"0.02"	"1"	"32"	"RDB.all"	"0.73577"	"0.14433"	"0.13795"	"0.14562"	"0.95951"	"0.01495"	"23.27319"	NA
"stick"	"3"	"0.1"	"0.02"	"1"	"33"	"RDB.all"	"0.48165"	"0.21841"	"0.21238"	"0.20423"	"0.96393"	"0.01141"	"25.43802"	NA
"stick"	"3"	"0.1"	"0.02"	"1"	"34"	"RDB.all"	"0.2879"	"0.43381"	"0.47932"	"0.39176"	"0.79292"	"0.0297"	"17.78133"	NA
"stick"	"3"	"0.1"	"0.02"	"1"	"35"	"RDB.all"	"0.74081"	"0.14277"	"0.13468"	"0.13679"	"0.97823"	"0.0101"	"26.41088"	NA
"stick"	"3"	"0.1"	"0.02"	"1"	"36"	"RDB.all"	"-0.47655"	"-0.17584"	"-0.15327"	"-0.21932"	"0.97542"	"0.01283"	"24.49369"	NA
"stick"	"3"	"0.1"	"0.02"	"1"	"37"	"RDB.all"	"-1.11403"	"-0.09041"	"-0.0657"	"-0.07629"	"0.98462"	"0.00849"	"27.79982"	NA
"stick"	"3"	"0.1"	"0.02"	"1"	"38"	"RDB.all"	"0.4733"	"0.26915"	"0.18295"	"0.1821"	"0.95947"	"0.01266"	"24.60255"	NA
"stick"	"3"	"0.1"	"0.02"	"1"	"39"	"RDB.all"	"0.64348"	"0.18634"	"0.16112"	"0.16752"	"0.96226"	"0.01291"	"24.44612"	NA
"stick"	"3"	"0.1"	"0.02"	"1"	"40"	"RDB.all"	"0.70778"	"0.12296"	"0.15597"	"0.17489"	"0.98646"	"0.00807"	"28.2082"	NA
