"model"	"n.muts"	"coes"	"sigma"	"d.true"	"rep"	"method"	"d.hat"	"u.hats.1"	"u.hats.2"	"u.hats.3"	"u.hats.4"	"R2"	"sig.hat"	"logLike"	"P"
"stick"	"4"	"0.1"	"0.02"	"1"	"1"	"RDB.all"	"0.81055"	"0.10918"	"0.13368"	"0.15109"	"0.13077"	"0.93051"	"0.02153"	"39.70625"	NA
"stick"	"4"	"0.1"	"0.02"	"1"	"2"	"RDB.all"	"0.95823"	"0.10106"	"0.12104"	"0.10077"	"0.1035"	"0.917"	"0.02521"	"37.18448"	NA
"stick"	"4"	"0.1"	"0.02"	"1"	"3"	"RDB.all"	"1.03948"	"0.10538"	"0.11303"	"0.09141"	"0.093"	"0.93296"	"0.02295"	"38.68892"	NA
"stick"	"4"	"0.1"	"0.02"	"1"	"4"	"RDB.all"	"1.184"	"0.08599"	"0.08757"	"0.07113"	"0.07511"	"0.94828"	"0.01708"	"43.41725"	NA
"stick"	"4"	"0.1"	"0.02"	"1"	"5"	"RDB.all"	"0.44981"	"0.2828"	"0.27379"	"0.26436"	"0.25488"	"0.94949"	"0.0161"	"44.35909"	NA
"stick"	"4"	"0.1"	"0.02"	"1"	"6"	"RDB.all"	"1.81243"	"0.05514"	"0.04409"	"0.06072"	"0.05416"	"0.97819"	"0.01192"	"49.16484"	NA
"stick"	"4"	"0.1"	"0.02"	"1"	"7"	"RDB.all"	"0.63073"	"0.21104"	"0.15433"	"0.16852"	"0.17887"	"0.95672"	"0.01647"	"43.99375"	NA
"stick"	"4"	"0.1"	"0.02"	"1"	"8"	"RDB.all"	"0.59132"	"0.18317"	"0.18527"	"0.21294"	"0.21161"	"0.87091"	"0.03086"	"33.94882"	NA
"stick"	"4"	"0.1"	"0.02"	"1"	"9"	"RDB.all"	"0.59369"	"0.17967"	"0.20288"	"0.17094"	"0.17722"	"0.95519"	"0.0159"	"44.55788"	NA
"stick"	"4"	"0.1"	"0.02"	"1"	"10"	"RDB.all"	"0.62908"	"0.17799"	"0.17402"	"0.15817"	"0.16437"	"0.94062"	"0.01891"	"41.78878"	NA
"stick"	"4"	"0.1"	"0.02"	"1"	"11"	"RDB.all"	"0.84947"	"0.11142"	"0.1219"	"0.11491"	"0.13171"	"0.9469"	"0.01808"	"42.50677"	NA
"stick"	"4"	"0.1"	"0.02"	"1"	"12"	"RDB.all"	"-0.64344"	"-0.10163"	"-0.12921"	"-0.13993"	"-0.12034"	"0.96262"	"0.01703"	"43.46085"	NA
"stick"	"4"	"0.1"	"0.02"	"1"	"13"	"RDB.all"	"0.77143"	"0.12612"	"0.11519"	"0.15996"	"0.14536"	"0.93343"	"0.02043"	"40.55245"	NA
"stick"	"4"	"0.1"	"0.02"	"1"	"14"	"RDB.all"	"0.68965"	"0.14835"	"0.15006"	"0.15489"	"0.12674"	"0.89882"	"0.02325"	"38.47728"	NA
"stick"	"4"	"0.1"	"0.02"	"1"	"15"	"RDB.all"	"-1.13614"	"-0.07397"	"-0.06534"	"-0.07425"	"-0.07307"	"0.8959"	"0.02579"	"36.8195"	NA
"stick"	"4"	"0.1"	"0.02"	"1"	"16"	"RDB.all"	"0.8357"	"0.12752"	"0.11456"	"0.1226"	"0.10228"	"0.97876"	"0.01078"	"50.77062"	NA
"stick"	"4"	"0.1"	"0.02"	"1"	"17"	"RDB.all"	"0.60028"	"0.19976"	"0.21348"	"0.20123"	"0.20721"	"0.81673"	"0.03689"	"31.09289"	NA
"stick"	"4"	"0.1"	"0.02"	"1"	"18"	"RDB.all"	"0.46438"	"0.29567"	"0.26592"	"0.2308"	"0.25869"	"0.9192"	"0.02037"	"40.59741"	NA
"stick"	"4"	"0.1"	"0.02"	"1"	"19"	"RDB.all"	"1.13188"	"0.08977"	"0.08234"	"0.09859"	"0.07936"	"0.9793"	"0.01105"	"50.38005"	NA
"stick"	"4"	"0.1"	"0.02"	"1"	"20"	"RDB.all"	"0.85178"	"0.13707"	"0.13243"	"0.11494"	"0.10152"	"0.97506"	"0.01249"	"48.42259"	NA
"stick"	"4"	"0.1"	"0.02"	"1"	"21"	"RDB.all"	"0.83412"	"0.11945"	"0.13813"	"0.13958"	"0.1278"	"0.87569"	"0.03155"	"33.59779"	NA
"stick"	"4"	"0.1"	"0.02"	"1"	"22"	"RDB.all"	"0.94856"	"0.0956"	"0.12033"	"0.11186"	"0.0854"	"0.91741"	"0.02106"	"40.06283"	NA
"stick"	"4"	"0.1"	"0.02"	"1"	"23"	"RDB.all"	"0.77454"	"0.14738"	"0.11926"	"0.13757"	"0.13271"	"0.97117"	"0.01334"	"47.37118"	NA
