"model"	"n.muts"	"coes"	"sigma"	"d.true"	"rep"	"method"	"d.hat"	"u.hats.1"	"u.hats.2"	"u.hats.3"	"u.hats.4"	"u.hats.5"	"R2"	"sig.hat"	"logLike"	"P"
"stick"	"5"	"0.1"	"0.02"	"1"	"1"	"RDB.all"	"0.55848"	"0.24215"	"0.21535"	"0.22249"	"0.19541"	"0.20569"	"0.90723"	"0.02558"	"72.90333"	NA
"stick"	"5"	"0.1"	"0.02"	"1"	"2"	"RDB.all"	"0.8493"	"0.10977"	"0.13676"	"0.11227"	"0.11945"	"0.1148"	"0.94206"	"0.02048"	"80.02713"	NA
"stick"	"5"	"0.1"	"0.02"	"1"	"3"	"RDB.all"	"1.01038"	"0.09873"	"0.09638"	"0.097"	"0.09343"	"0.09947"	"0.94805"	"0.01897"	"82.46943"	NA
"stick"	"5"	"0.1"	"0.02"	"1"	"4"	"RDB.all"	"1.05045"	"0.09304"	"0.09074"	"0.08337"	"0.09024"	"0.09957"	"0.94682"	"0.01893"	"82.54102"	NA
"stick"	"5"	"0.1"	"0.02"	"1"	"5"	"RDB.all"	"0.66757"	"0.20068"	"0.16391"	"0.16705"	"0.17813"	"0.16677"	"0.92224"	"0.02516"	"73.42884"	NA
"stick"	"5"	"0.1"	"0.02"	"1"	"6"	"RDB.all"	"1.24894"	"0.07221"	"0.07003"	"0.08117"	"0.08083"	"0.08725"	"0.96564"	"0.01652"	"86.90361"	NA
"stick"	"5"	"0.1"	"0.02"	"1"	"7"	"RDB.all"	"1.10222"	"0.09821"	"0.08884"	"0.08759"	"0.09109"	"0.08709"	"0.94344"	"0.02111"	"79.05149"	NA
"stick"	"5"	"0.1"	"0.02"	"1"	"8"	"RDB.all"	"0.77738"	"0.15732"	"0.15595"	"0.12809"	"0.14582"	"0.1218"	"0.93941"	"0.0217"	"78.16804"	NA
"stick"	"5"	"0.1"	"0.02"	"1"	"9"	"RDB.all"	"1.94702"	"0.04788"	"0.03857"	"0.04401"	"0.04663"	"0.05316"	"0.94908"	"0.01985"	"81.01302"	NA
"stick"	"5"	"0.1"	"0.02"	"1"	"10"	"RDB.all"	"0.99422"	"0.09507"	"0.12194"	"0.10035"	"0.10978"	"0.11263"	"0.94566"	"0.02194"	"77.81926"	NA
"stick"	"5"	"0.1"	"0.02"	"1"	"11"	"RDB.all"	"0.53157"	"0.24619"	"0.19413"	"0.23871"	"0.24846"	"0.21829"	"0.90729"	"0.02594"	"72.45253"	NA
"stick"	"5"	"0.1"	"0.02"	"1"	"12"	"RDB.all"	"1.29719"	"0.08244"	"0.07639"	"0.07058"	"0.07499"	"0.07339"	"0.9503"	"0.01972"	"81.22794"	NA
"stick"	"5"	"0.1"	"0.02"	"1"	"13"	"RDB.all"	"1.01151"	"0.0952"	"0.1067"	"0.11192"	"0.10629"	"0.10669"	"0.93636"	"0.02335"	"75.82251"	NA
"stick"	"5"	"0.1"	"0.02"	"1"	"14"	"RDB.all"	"0.76557"	"0.12606"	"0.1454"	"0.15278"	"0.12651"	"0.16148"	"0.95702"	"0.0181"	"83.96586"	NA
"stick"	"5"	"0.1"	"0.02"	"1"	"15"	"RDB.all"	"0.81451"	"0.15075"	"0.1222"	"0.12873"	"0.12744"	"0.14474"	"0.94473"	"0.02079"	"79.53517"	NA
"stick"	"5"	"0.1"	"0.02"	"1"	"16"	"RDB.all"	"1.08622"	"0.0826"	"0.08314"	"0.09532"	"0.10815"	"0.08498"	"0.93779"	"0.0224"	"77.154"	NA
"stick"	"5"	"0.1"	"0.02"	"1"	"17"	"RDB.all"	"0.45532"	"0.27431"	"0.33303"	"0.2956"	"0.30518"	"0.28693"	"0.82906"	"0.03525"	"62.63971"	NA
"stick"	"5"	"0.1"	"0.02"	"1"	"18"	"RDB.all"	"0.80949"	"0.11091"	"0.14442"	"0.13079"	"0.13743"	"0.13949"	"0.93419"	"0.02317"	"76.06746"	NA
"stick"	"5"	"0.1"	"0.02"	"1"	"19"	"RDB.all"	"1.02963"	"0.12694"	"0.09532"	"0.08209"	"0.10047"	"0.08567"	"0.95729"	"0.01879"	"82.78366"	NA
"stick"	"5"	"0.1"	"0.02"	"1"	"20"	"RDB.all"	"0.4073"	"0.40966"	"0.36039"	"0.30276"	"0.3504"	"0.35769"	"0.68817"	"0.04451"	"55.17638"	NA
"stick"	"5"	"0.1"	"0.02"	"1"	"21"	"RDB.all"	"0.87303"	"0.13201"	"0.12438"	"0.11038"	"0.1217"	"0.11132"	"0.95639"	"0.01828"	"83.65326"	NA
"stick"	"5"	"0.1"	"0.02"	"1"	"22"	"RDB.all"	"0.80673"	"0.15758"	"0.15079"	"0.11415"	"0.12682"	"0.13447"	"0.92985"	"0.02458"	"74.17593"	NA
"stick"	"5"	"0.1"	"0.02"	"1"	"23"	"RDB.all"	"1.0812"	"0.10647"	"0.09723"	"0.0945"	"0.09774"	"0.09196"	"0.92634"	"0.02516"	"73.43156"	NA
"stick"	"5"	"0.1"	"0.02"	"1"	"24"	"RDB.all"	"0.86594"	"0.12442"	"0.12598"	"0.09536"	"0.11739"	"0.1148"	"0.9186"	"0.02373"	"75.3084"	NA
"stick"	"5"	"0.1"	"0.02"	"1"	"25"	"RDB.all"	"0.69988"	"0.12753"	"0.15161"	"0.16364"	"0.14103"	"0.17337"	"0.92992"	"0.02132"	"78.73358"	NA
"stick"	"5"	"0.1"	"0.02"	"1"	"26"	"RDB.all"	"0.89439"	"0.11308"	"0.12902"	"0.12685"	"0.11661"	"0.10239"	"0.93085"	"0.02308"	"76.19253"	NA
"stick"	"5"	"0.1"	"0.02"	"1"	"27"	"RDB.all"	"0.94084"	"0.1164"	"0.09449"	"0.1134"	"0.11716"	"0.0989"	"0.94916"	"0.01951"	"81.57765"	NA
"stick"	"5"	"0.1"	"0.02"	"1"	"28"	"RDB.all"	"1.00501"	"0.10216"	"0.10354"	"0.08804"	"0.09647"	"0.10493"	"0.96572"	"0.01585"	"88.21575"	NA
"stick"	"5"	"0.1"	"0.02"	"1"	"29"	"RDB.all"	"1.16862"	"0.08868"	"0.09359"	"0.0697"	"0.08297"	"0.07983"	"0.94423"	"0.02106"	"79.12483"	NA
"stick"	"5"	"0.1"	"0.02"	"1"	"30"	"RDB.all"	"0.65884"	"0.18159"	"0.16136"	"0.16351"	"0.17843"	"0.20217"	"0.87975"	"0.0324"	"65.33749"	NA
"stick"	"5"	"0.1"	"0.02"	"1"	"31"	"RDB.all"	"0.86783"	"0.11376"	"0.1226"	"0.11548"	"0.11636"	"0.11705"	"0.96473"	"0.01549"	"88.95484"	NA
"stick"	"5"	"0.1"	"0.02"	"1"	"32"	"RDB.all"	"1.14492"	"0.09223"	"0.08119"	"0.10345"	"0.08686"	"0.09298"	"0.94955"	"0.02118"	"78.95171"	NA
"stick"	"5"	"0.1"	"0.02"	"1"	"33"	"RDB.all"	"0.63934"	"0.18909"	"0.18885"	"0.20526"	"0.15524"	"0.1633"	"0.94329"	"0.02028"	"80.33521"	NA
"stick"	"5"	"0.1"	"0.02"	"1"	"34"	"RDB.all"	"0.86826"	"0.11788"	"0.12977"	"0.12112"	"0.11741"	"0.10905"	"0.93881"	"0.02158"	"78.3528"	NA
"stick"	"5"	"0.1"	"0.02"	"1"	"35"	"RDB.all"	"0.61015"	"0.20294"	"0.18422"	"0.17752"	"0.16185"	"0.18018"	"0.92559"	"0.02241"	"77.14334"	NA
"stick"	"5"	"0.1"	"0.02"	"1"	"36"	"RDB.all"	"1.05393"	"0.09817"	"0.09818"	"0.10173"	"0.09081"	"0.07573"	"0.9567"	"0.01763"	"84.81293"	NA
"stick"	"5"	"0.1"	"0.02"	"1"	"37"	"RDB.all"	"1.23217"	"0.07739"	"0.08616"	"0.08281"	"0.08268"	"0.08151"	"0.94542"	"0.02197"	"77.77701"	NA
"stick"	"5"	"0.1"	"0.02"	"1"	"38"	"RDB.all"	"0.93964"	"0.10678"	"0.12157"	"0.10346"	"0.11756"	"0.11472"	"0.92957"	"0.02486"	"73.82109"	NA
"stick"	"5"	"0.1"	"0.02"	"1"	"39"	"RDB.all"	"1.00209"	"0.08911"	"0.08929"	"0.10439"	"0.08993"	"0.11134"	"0.94844"	"0.01905"	"82.33294"	NA
"stick"	"5"	"0.1"	"0.02"	"1"	"40"	"RDB.all"	"0.65114"	"0.17953"	"0.18856"	"0.16913"	"0.16623"	"0.14879"	"0.94369"	"0.02023"	"80.41044"	NA
"stick"	"5"	"0.1"	"0.02"	"1"	"41"	"RDB.all"	"1.05136"	"0.09824"	"0.10603"	"0.08623"	"0.07185"	"0.10299"	"0.96673"	"0.01561"	"88.70366"	NA
"stick"	"5"	"0.1"	"0.02"	"1"	"42"	"RDB.all"	"1.20979"	"0.0653"	"0.08055"	"0.08322"	"0.0819"	"0.0776"	"0.94551"	"0.01925"	"82.00817"	NA
"stick"	"5"	"0.1"	"0.02"	"1"	"43"	"RDB.all"	"0.58063"	"0.19913"	"0.18423"	"0.19349"	"0.19047"	"0.21165"	"0.93128"	"0.02138"	"78.64924"	NA
"stick"	"5"	"0.1"	"0.02"	"1"	"44"	"RDB.all"	"1.07855"	"0.09177"	"0.09252"	"0.08976"	"0.09043"	"0.09233"	"0.93935"	"0.02073"	"79.63761"	NA
"stick"	"5"	"0.1"	"0.02"	"1"	"45"	"RDB.all"	"0.85252"	"0.11662"	"0.12296"	"0.12245"	"0.13052"	"0.12449"	"0.94717"	"0.02019"	"80.47786"	NA
"stick"	"5"	"0.1"	"0.02"	"1"	"46"	"RDB.all"	"0.77154"	"0.13263"	"0.14125"	"0.15225"	"0.14668"	"0.154"	"0.93499"	"0.0232"	"76.0326"	NA
"stick"	"5"	"0.1"	"0.02"	"1"	"47"	"RDB.all"	"0.69365"	"0.1582"	"0.15399"	"0.16243"	"0.16639"	"0.16701"	"0.91094"	"0.02649"	"71.78293"	NA
"stick"	"5"	"0.1"	"0.02"	"1"	"48"	"RDB.all"	"1.67521"	"0.05729"	"0.05417"	"0.05388"	"0.06236"	"0.05321"	"0.95609"	"0.01882"	"82.72765"	NA
"stick"	"5"	"0.1"	"0.02"	"1"	"49"	"RDB.all"	"0.64603"	"0.18234"	"0.16903"	"0.1851"	"0.162"	"0.1744"	"0.93879"	"0.02074"	"79.62103"	NA
"stick"	"5"	"0.1"	"0.02"	"1"	"50"	"RDB.all"	"1.68662"	"0.05154"	"0.05542"	"0.06276"	"0.05311"	"0.06423"	"0.96749"	"0.01633"	"87.25649"	NA
"stick"	"5"	"0.1"	"0.02"	"1"	"51"	"RDB.all"	"0.80191"	"0.13179"	"0.11001"	"0.14211"	"0.13978"	"0.12029"	"0.93247"	"0.02237"	"77.19064"	NA
"stick"	"5"	"0.1"	"0.02"	"1"	"52"	"RDB.all"	"1.34214"	"0.06043"	"0.07558"	"0.0736"	"0.05664"	"0.07696"	"0.92511"	"0.02341"	"75.74211"	NA
"stick"	"5"	"0.1"	"0.02"	"1"	"53"	"RDB.all"	"0.98735"	"0.10149"	"0.11371"	"0.09367"	"0.10004"	"0.10104"	"0.96147"	"0.0168"	"86.35831"	NA
