"model"	"n.muts"	"coes"	"sigma"	"d.true"	"rep"	"method"	"d.hat"	"u.hats.1"	"u.hats.2"	"u.hats.3"	"R2"	"sig.hat"	"logLike"	"P"
"stick"	"3"	"0.1"	"0.02"	"1"	"1"	"RDB"	"0.99488"	"0.11236"	"0.09561"	"0.10251"	"0.9302"	"0.02117"	"20.48811"	NA
"stick"	"3"	"0.1"	"0.02"	"1"	"2"	"RDB"	"2.29199"	"0.03963"	"0.04135"	"0.05025"	"0.99215"	"0.00631"	"30.16726"	NA
"stick"	"3"	"0.1"	"0.02"	"1"	"3"	"RDB"	"0.53757"	"0.2232"	"0.19242"	"0.19055"	"0.96836"	"0.01145"	"25.40846"	NA
"stick"	"3"	"0.1"	"0.02"	"1"	"4"	"RDB"	"0.29835"	"0.32069"	"0.36269"	"0.50539"	"0.91279"	"0.01581"	"22.82541"	NA
"stick"	"3"	"0.1"	"0.02"	"1"	"5"	"RDB"	"0.38681"	"0.32647"	"0.27609"	"0.27039"	"0.91339"	"0.01824"	"21.68085"	NA
"stick"	"3"	"0.1"	"0.02"	"1"	"6"	"RDB"	"0.34016"	"0.30168"	"0.28023"	"0.39435"	"0.99112"	"0.00527"	"31.61534"	NA
"stick"	"3"	"0.1"	"0.02"	"1"	"7"	"RDB"	"0.54718"	"0.18503"	"0.22398"	"0.16633"	"0.99351"	"0.00474"	"32.46166"	NA
"stick"	"3"	"0.1"	"0.02"	"1"	"8"	"RDB"	"1.22325"	"0.09094"	"0.08184"	"0.08176"	"0.95028"	"0.01767"	"21.93483"	NA
"stick"	"3"	"0.1"	"0.02"	"1"	"9"	"RDB"	"1.37031"	"0.07255"	"0.07228"	"0.07514"	"0.97051"	"0.01316"	"24.29418"	NA
"stick"	"3"	"0.1"	"0.02"	"1"	"10"	"RDB"	"0.84957"	"0.12459"	"0.09069"	"0.12819"	"0.99436"	"0.00476"	"32.42552"	NA
"stick"	"3"	"0.1"	"0.02"	"1"	"11"	"RDB"	"0.91943"	"0.09192"	"0.09914"	"0.12282"	"0.97858"	"0.00926"	"27.10572"	NA
"stick"	"3"	"0.1"	"0.02"	"1"	"12"	"RDB"	"0.31417"	"0.40735"	"0.42779"	"0.3706"	"0.95304"	"0.01274"	"24.55203"	NA
"stick"	"3"	"0.1"	"0.02"	"1"	"13"	"RDB"	"10.35102"	"0.01115"	"0.00827"	"0.00887"	"0.94217"	"0.0202"	"20.86514"	NA
"stick"	"3"	"0.1"	"0.02"	"1"	"14"	"RDB"	"0.64264"	"0.17136"	"0.1707"	"0.18453"	"0.9801"	"0.00981"	"26.64092"	NA
"stick"	"3"	"0.1"	"0.02"	"1"	"15"	"RDB"	"3.57264"	"0.023"	"0.02512"	"0.03063"	"0.97176"	"0.01132"	"25.50142"	NA
"stick"	"3"	"0.1"	"0.02"	"1"	"16"	"RDB"	"0.57272"	"0.19057"	"0.21932"	"0.18335"	"0.88541"	"0.0252"	"19.09542"	NA
"stick"	"3"	"0.1"	"0.02"	"1"	"17"	"RDB"	"0.44582"	"0.22976"	"0.24524"	"0.27823"	"0.9538"	"0.01425"	"23.65442"	NA
"stick"	"3"	"0.1"	"0.02"	"1"	"18"	"RDB"	"0.26545"	"0.58499"	"0.23436"	"0.52859"	"0.91395"	"0.01863"	"21.51053"	NA
"stick"	"3"	"0.1"	"0.02"	"1"	"19"	"RDB"	"-100"	"-0.001"	"-0.00106"	"-0.00096"	"0.99768"	"0.00372"	"34.39677"	NA
"stick"	"3"	"0.1"	"0.02"	"1"	"20"	"RDB"	"0.87893"	"0.10616"	"0.13853"	"0.11225"	"0.90113"	"0.02418"	"19.42671"	NA
"stick"	"3"	"0.1"	"0.02"	"1"	"21"	"RDB"	"1.91268"	"0.03637"	"0.06076"	"0.04969"	"0.97236"	"0.01222"	"24.88699"	NA
"stick"	"3"	"0.1"	"0.02"	"1"	"22"	"RDB"	"0.36273"	"0.29917"	"0.28093"	"0.30821"	"0.96669"	"0.01056"	"26.05197"	NA
"stick"	"3"	"0.1"	"0.02"	"1"	"23"	"RDB"	"0.45129"	"0.2455"	"0.2335"	"0.28033"	"0.99595"	"0.00379"	"34.2451"	NA
"stick"	"3"	"0.1"	"0.02"	"1"	"24"	"RDB"	"0.27107"	"0.50914"	"0.48076"	"0.42024"	"0.98897"	"0.00481"	"32.34203"	NA
"stick"	"3"	"0.1"	"0.02"	"1"	"25"	"RDB"	"0.37566"	"0.37848"	"0.30189"	"0.29501"	"0.78676"	"0.02995"	"17.71522"	NA
"stick"	"3"	"0.1"	"0.02"	"1"	"26"	"RDB"	"0.23711"	"0.57514"	"0.70034"	"0.62686"	"0.51274"	"0.04883"	"13.80443"	NA
"stick"	"3"	"0.1"	"0.02"	"1"	"27"	"RDB"	"0.81617"	"0.10973"	"0.12492"	"0.11741"	"0.98462"	"0.00797"	"28.30687"	NA
"stick"	"3"	"0.1"	"0.02"	"1"	"28"	"RDB"	"0.99437"	"0.11247"	"0.09552"	"0.11007"	"0.96464"	"0.01441"	"23.56549"	NA
"stick"	"3"	"0.1"	"0.02"	"1"	"29"	"RDB"	"0.32224"	"0.45014"	"0.36818"	"0.46467"	"0.53487"	"0.05001"	"13.61327"	NA
"stick"	"3"	"0.1"	"0.02"	"1"	"30"	"RDB"	"0.46463"	"0.21647"	"0.20748"	"0.20173"	"0.9264"	"0.01694"	"22.2729"	NA
"stick"	"3"	"0.1"	"0.02"	"1"	"31"	"RDB"	"-100"	"-0.00095"	"-0.00097"	"-0.00094"	"0.95601"	"0.01652"	"22.47474"	NA
"stick"	"3"	"0.1"	"0.02"	"1"	"32"	"RDB"	"0.73577"	"0.14433"	"0.13795"	"0.14562"	"0.95951"	"0.01495"	"23.27319"	NA
"stick"	"3"	"0.1"	"0.02"	"1"	"33"	"RDB"	"0.48165"	"0.21841"	"0.21238"	"0.20423"	"0.96393"	"0.01141"	"25.43802"	NA
"stick"	"3"	"0.1"	"0.02"	"1"	"34"	"RDB"	"0.2879"	"0.43381"	"0.47932"	"0.39176"	"0.79292"	"0.0297"	"17.78133"	NA
"stick"	"3"	"0.1"	"0.02"	"1"	"35"	"RDB"	"0.8429"	"0.12359"	"0.11657"	"0.11817"	"0.98174"	"0.00925"	"27.11445"	NA
"stick"	"3"	"0.1"	"0.02"	"1"	"36"	"RDB"	"-100"	"-0.00097"	"-0.00086"	"-0.00118"	"0.96628"	"0.01503"	"23.22893"	NA
"stick"	"3"	"0.1"	"0.02"	"1"	"37"	"RDB"	"7.76192"	"0.01385"	"0.0102"	"0.01174"	"0.99094"	"0.00652"	"29.91452"	NA
"stick"	"3"	"0.1"	"0.02"	"1"	"38"	"RDB"	"0.4733"	"0.26915"	"0.18295"	"0.1821"	"0.95947"	"0.01266"	"24.60255"	NA
"stick"	"3"	"0.1"	"0.02"	"1"	"39"	"RDB"	"0.64348"	"0.18634"	"0.16112"	"0.16752"	"0.96226"	"0.01291"	"24.44612"	NA
"stick"	"3"	"0.1"	"0.02"	"1"	"40"	"RDB"	"1.04912"	"0.07852"	"0.1006"	"0.11341"	"0.99089"	"0.00662"	"29.79316"	NA
"stick"	"3"	"0.1"	"0.02"	"1"	"41"	"RDB"	"0.50386"	"0.23856"	"0.21104"	"0.18835"	"0.97141"	"0.0111"	"25.65736"	NA
"stick"	"3"	"0.1"	"0.02"	"1"	"42"	"RDB"	"3.15311"	"0.02732"	"0.03754"	"0.03491"	"0.98229"	"0.01075"	"25.9106"	NA
"stick"	"3"	"0.1"	"0.02"	"1"	"43"	"RDB"	"-100"	"-0.00108"	"-0.00097"	"-0.00072"	"0.69737"	"0.03527"	"16.40615"	NA
"stick"	"3"	"0.1"	"0.02"	"1"	"44"	"RDB"	"0.50914"	"0.21159"	"0.24098"	"0.20115"	"0.99742"	"0.00316"	"35.69855"	NA
"stick"	"3"	"0.1"	"0.02"	"1"	"45"	"RDB"	"0.27405"	"0.43691"	"0.56808"	"0.57817"	"0.82777"	"0.02607"	"18.82502"	NA
"stick"	"3"	"0.1"	"0.02"	"1"	"46"	"RDB"	"0.83176"	"0.1012"	"0.14298"	"0.1078"	"0.8881"	"0.01832"	"21.6472"	NA
"stick"	"3"	"0.1"	"0.02"	"1"	"47"	"RDB"	"0.48504"	"0.21593"	"0.17484"	"0.24912"	"0.98132"	"0.0075"	"28.7962"	NA
"stick"	"3"	"0.1"	"0.02"	"1"	"48"	"RDB"	"0.85356"	"0.13134"	"0.13774"	"0.12543"	"0.93905"	"0.01779"	"21.88065"	NA
"stick"	"3"	"0.1"	"0.02"	"1"	"49"	"RDB"	"0.43681"	"0.25968"	"0.27858"	"0.27273"	"0.95583"	"0.01331"	"24.20523"	NA
"stick"	"3"	"0.1"	"0.02"	"1"	"50"	"RDB"	"74.10756"	"0.0015"	"0.0013"	"0.00103"	"0.95688"	"0.01661"	"22.4317"	NA
"stick"	"3"	"0.1"	"0.02"	"1"	"51"	"RDB"	"0.52207"	"0.18999"	"0.18024"	"0.22774"	"0.97789"	"0.00892"	"27.40731"	NA
"stick"	"3"	"0.1"	"0.02"	"1"	"52"	"RDB"	"0.36209"	"0.24"	"0.29412"	"0.3727"	"0.94488"	"0.01407"	"23.75752"	NA
"stick"	"3"	"0.1"	"0.02"	"1"	"53"	"RDB"	"0.68349"	"0.14068"	"0.17437"	"0.14724"	"0.97345"	"0.01103"	"25.70721"	NA
"stick"	"3"	"0.1"	"0.02"	"1"	"54"	"RDB"	"-100"	"-0.00114"	"-0.00089"	"-0.00094"	"0.96902"	"0.01429"	"23.63268"	NA
"stick"	"3"	"0.1"	"0.02"	"1"	"55"	"RDB"	"1.07675"	"0.08294"	"0.07949"	"0.09986"	"0.95069"	"0.01556"	"22.95073"	NA
"stick"	"3"	"0.1"	"0.02"	"1"	"56"	"RDB"	"3.89271"	"0.02158"	"0.02472"	"0.02378"	"0.99801"	"0.00295"	"36.26591"	NA
"stick"	"3"	"0.1"	"0.02"	"1"	"57"	"RDB"	"0.39789"	"0.27753"	"0.26992"	"0.30233"	"0.94269"	"0.01487"	"23.31743"	NA
"stick"	"3"	"0.1"	"0.02"	"1"	"58"	"RDB"	"0.71648"	"0.14937"	"0.11811"	"0.1437"	"0.98144"	"0.00889"	"27.4322"	NA
"stick"	"3"	"0.1"	"0.02"	"1"	"59"	"RDB"	"2.22456"	"0.0368"	"0.04038"	"0.04254"	"0.98904"	"0.00635"	"30.1208"	NA
"stick"	"3"	"0.1"	"0.02"	"1"	"60"	"RDB"	"0.59615"	"0.19004"	"0.14765"	"0.19173"	"0.92521"	"0.02052"	"20.74042"	NA
"stick"	"3"	"0.1"	"0.02"	"1"	"61"	"RDB"	"0.52607"	"0.22511"	"0.21349"	"0.20242"	"0.95324"	"0.01425"	"23.65849"	NA
"stick"	"3"	"0.1"	"0.02"	"1"	"62"	"RDB"	"0.81028"	"0.13228"	"0.1528"	"0.12818"	"0.96687"	"0.01377"	"23.92909"	NA
"stick"	"3"	"0.1"	"0.02"	"1"	"63"	"RDB"	"0.54832"	"0.18008"	"0.23679"	"0.17098"	"0.98839"	"0.00665"	"29.75743"	NA
"stick"	"3"	"0.1"	"0.02"	"1"	"64"	"RDB"	"0.53407"	"0.17902"	"0.22845"	"0.18154"	"0.91039"	"0.02036"	"20.80034"	NA
"stick"	"3"	"0.1"	"0.02"	"1"	"65"	"RDB"	"0.44954"	"0.28551"	"0.19962"	"0.21031"	"0.98929"	"0.00583"	"30.80385"	NA
"stick"	"3"	"0.1"	"0.02"	"1"	"66"	"RDB"	"-100"	"-0.00095"	"-0.00112"	"-0.00087"	"0.95276"	"0.01638"	"22.54012"	NA
"stick"	"3"	"0.1"	"0.02"	"1"	"67"	"RDB"	"37.79588"	"0.00256"	"0.00274"	"0.00192"	"0.97576"	"0.01089"	"25.80869"	NA
"stick"	"3"	"0.1"	"0.02"	"1"	"68"	"RDB"	"1.67672"	"0.05368"	"0.04278"	"0.06275"	"0.95538"	"0.01403"	"23.78006"	NA
"stick"	"3"	"0.1"	"0.02"	"1"	"69"	"RDB"	"0.6029"	"0.17386"	"0.17913"	"0.20117"	"0.97388"	"0.01133"	"25.48898"	NA
