"model"	"n.muts"	"coes"	"sigma"	"d.true"	"rep"	"method"	"d.hat"	"u.hats.1"	"u.hats.2"	"u.hats.3"	"u.hats.4"	"R2"	"sig.hat"	"logLike"	"P"
"stick"	"4"	"0.1"	"0.02"	"1"	"1"	"RDB"	"1.31458"	"0.06224"	"0.07637"	"0.08708"	"0.07377"	"0.9428"	"0.01954"	"41.26246"	NA
"stick"	"4"	"0.1"	"0.02"	"1"	"2"	"RDB"	"1.18481"	"0.0794"	"0.09513"	"0.07944"	"0.08102"	"0.92905"	"0.02331"	"38.43908"	NA
"stick"	"4"	"0.1"	"0.02"	"1"	"3"	"RDB"	"3.64989"	"0.0272"	"0.02925"	"0.02381"	"0.02382"	"0.9616"	"0.01737"	"43.14721"	NA
"stick"	"4"	"0.1"	"0.02"	"1"	"4"	"RDB"	"1.184"	"0.08599"	"0.08757"	"0.07113"	"0.07511"	"0.94828"	"0.01708"	"43.41725"	NA
"stick"	"4"	"0.1"	"0.02"	"1"	"5"	"RDB"	"0.44981"	"0.2828"	"0.27379"	"0.26436"	"0.25488"	"0.94949"	"0.0161"	"44.35909"	NA
"stick"	"4"	"0.1"	"0.02"	"1"	"6"	"RDB"	"2.86103"	"0.03397"	"0.02709"	"0.03747"	"0.03333"	"0.97813"	"0.01194"	"49.14343"	NA
"stick"	"4"	"0.1"	"0.02"	"1"	"7"	"RDB"	"0.69053"	"0.18808"	"0.13664"	"0.15012"	"0.15884"	"0.95833"	"0.01616"	"44.29687"	NA
"stick"	"4"	"0.1"	"0.02"	"1"	"8"	"RDB"	"0.94456"	"0.10316"	"0.10239"	"0.11971"	"0.11731"	"0.9366"	"0.02163"	"39.63749"	NA
"stick"	"4"	"0.1"	"0.02"	"1"	"9"	"RDB"	"0.60821"	"0.17404"	"0.19659"	"0.16535"	"0.17178"	"0.95566"	"0.01582"	"44.64176"	NA
"stick"	"4"	"0.1"	"0.02"	"1"	"10"	"RDB"	"0.64639"	"0.17201"	"0.16805"	"0.15262"	"0.15878"	"0.94134"	"0.01879"	"41.88576"	NA
"stick"	"4"	"0.1"	"0.02"	"1"	"11"	"RDB"	"0.84947"	"0.11142"	"0.1219"	"0.11491"	"0.13171"	"0.9469"	"0.01808"	"42.50677"	NA
"stick"	"4"	"0.1"	"0.02"	"1"	"12"	"RDB"	"3.53034"	"0.02306"	"0.02869"	"0.03057"	"0.02662"	"0.97723"	"0.01329"	"47.42634"	NA
"stick"	"4"	"0.1"	"0.02"	"1"	"13"	"RDB"	"0.99696"	"0.09193"	"0.08508"	"0.11836"	"0.10719"	"0.94175"	"0.01911"	"41.62041"	NA
"stick"	"4"	"0.1"	"0.02"	"1"	"14"	"RDB"	"0.7066"	"0.14391"	"0.14546"	"0.15027"	"0.1231"	"0.89929"	"0.0232"	"38.51447"	NA
"stick"	"4"	"0.1"	"0.02"	"1"	"15"	"RDB"	"4.02267"	"0.02392"	"0.02111"	"0.02409"	"0.02359"	"0.94658"	"0.01848"	"42.15722"	NA
"stick"	"4"	"0.1"	"0.02"	"1"	"16"	"RDB"	"0.8357"	"0.12752"	"0.11456"	"0.1226"	"0.10228"	"0.97876"	"0.01078"	"50.77062"	NA
"stick"	"4"	"0.1"	"0.02"	"1"	"17"	"RDB"	"2.90947"	"0.03348"	"0.03559"	"0.03227"	"0.03257"	"0.92745"	"0.02321"	"38.50655"	NA
"stick"	"4"	"0.1"	"0.02"	"1"	"18"	"RDB"	"0.46438"	"0.29567"	"0.26592"	"0.2308"	"0.25869"	"0.9192"	"0.02037"	"40.59741"	NA
"stick"	"4"	"0.1"	"0.02"	"1"	"19"	"RDB"	"1.13188"	"0.08977"	"0.08234"	"0.09859"	"0.07936"	"0.9793"	"0.01105"	"50.38005"	NA
"stick"	"4"	"0.1"	"0.02"	"1"	"20"	"RDB"	"1.01793"	"0.11114"	"0.10782"	"0.09324"	"0.08212"	"0.97891"	"0.01148"	"49.765"	NA
"stick"	"4"	"0.1"	"0.02"	"1"	"21"	"RDB"	"0.85561"	"0.11587"	"0.13399"	"0.13539"	"0.12393"	"0.87857"	"0.03118"	"33.78526"	NA
"stick"	"4"	"0.1"	"0.02"	"1"	"22"	"RDB"	"0.97758"	"0.09227"	"0.11614"	"0.10797"	"0.08244"	"0.91661"	"0.02116"	"39.98625"	NA
"stick"	"4"	"0.1"	"0.02"	"1"	"23"	"RDB"	"0.77454"	"0.14738"	"0.11926"	"0.13757"	"0.13271"	"0.97117"	"0.01334"	"47.37118"	NA
"stick"	"4"	"0.1"	"0.02"	"1"	"24"	"RDB"	"0.95715"	"0.10027"	"0.12333"	"0.10249"	"0.09089"	"0.96585"	"0.01466"	"45.86278"	NA
"stick"	"4"	"0.1"	"0.02"	"1"	"25"	"RDB"	"0.96177"	"0.11578"	"0.08195"	"0.0803"	"0.10513"	"0.93872"	"0.0167"	"43.77077"	NA
"stick"	"4"	"0.1"	"0.02"	"1"	"26"	"RDB"	"0.98994"	"0.08868"	"0.12196"	"0.09443"	"0.08945"	"0.95157"	"0.01739"	"43.12883"	NA
"stick"	"4"	"0.1"	"0.02"	"1"	"27"	"RDB"	"3.92577"	"0.02264"	"0.02446"	"0.02063"	"0.02195"	"0.96112"	"0.01489"	"45.61204"	NA
"stick"	"4"	"0.1"	"0.02"	"1"	"28"	"RDB"	"0.73369"	"0.15331"	"0.15062"	"0.12672"	"0.14401"	"0.93505"	"0.01817"	"42.42476"	NA
"stick"	"4"	"0.1"	"0.02"	"1"	"29"	"RDB"	"0.99683"	"0.10262"	"0.09467"	"0.07104"	"0.11257"	"0.97978"	"0.01037"	"51.40542"	NA
