"model"	"n.muts"	"coes"	"sigma"	"d.true"	"rep"	"method"	"d.hat"	"u.hats.1"	"u.hats.2"	"u.hats.3"	"u.hats.4"	"u.hats.5"	"R2"	"sig.hat"	"logLike"	"P"
"stick"	"5"	"0.1"	"0.02"	"1"	"1"	"RDB"	"0.55848"	"0.24215"	"0.21535"	"0.22249"	"0.19541"	"0.20569"	"0.90723"	"0.02558"	"72.90333"	NA
"stick"	"5"	"0.1"	"0.02"	"1"	"2"	"RDB"	"0.9013"	"0.10163"	"0.12683"	"0.10408"	"0.11101"	"0.10639"	"0.94182"	"0.02052"	"79.95869"	NA
"stick"	"5"	"0.1"	"0.02"	"1"	"3"	"RDB"	"1.01038"	"0.09873"	"0.09638"	"0.097"	"0.09343"	"0.09947"	"0.94805"	"0.01897"	"82.46943"	NA
"stick"	"5"	"0.1"	"0.02"	"1"	"4"	"RDB"	"1.07676"	"0.09029"	"0.08807"	"0.08091"	"0.08757"	"0.09663"	"0.94521"	"0.01921"	"82.06373"	NA
"stick"	"5"	"0.1"	"0.02"	"1"	"5"	"RDB"	"0.70524"	"0.18582"	"0.15135"	"0.15438"	"0.16512"	"0.15418"	"0.93184"	"0.02356"	"75.53632"	NA
"stick"	"5"	"0.1"	"0.02"	"1"	"6"	"RDB"	"1.28487"	"0.06983"	"0.06776"	"0.07857"	"0.07819"	"0.08441"	"0.96586"	"0.01646"	"87.00822"	NA
"stick"	"5"	"0.1"	"0.02"	"1"	"7"	"RDB"	"1.24057"	"0.08554"	"0.07715"	"0.07595"	"0.07913"	"0.07577"	"0.94233"	"0.02132"	"78.73861"	NA
"stick"	"5"	"0.1"	"0.02"	"1"	"8"	"RDB"	"0.77738"	"0.15732"	"0.15595"	"0.12809"	"0.14582"	"0.1218"	"0.93941"	"0.0217"	"78.16804"	NA
"stick"	"5"	"0.1"	"0.02"	"1"	"9"	"RDB"	"3.3728"	"0.02665"	"0.02135"	"0.02443"	"0.02581"	"0.02954"	"0.93928"	"0.02168"	"78.19756"	NA
"stick"	"5"	"0.1"	"0.02"	"1"	"10"	"RDB"	"0.99422"	"0.09507"	"0.12194"	"0.10035"	"0.10978"	"0.11263"	"0.94566"	"0.02194"	"77.81926"	NA
"stick"	"5"	"0.1"	"0.02"	"1"	"11"	"RDB"	"0.53157"	"0.24619"	"0.19413"	"0.23871"	"0.24846"	"0.21829"	"0.90729"	"0.02594"	"72.45253"	NA
"stick"	"5"	"0.1"	"0.02"	"1"	"12"	"RDB"	"1.40101"	"0.07541"	"0.06984"	"0.06451"	"0.06863"	"0.06716"	"0.95082"	"0.01962"	"81.39534"	NA
"stick"	"5"	"0.1"	"0.02"	"1"	"13"	"RDB"	"1.57854"	"0.05601"	"0.06339"	"0.06628"	"0.06328"	"0.06295"	"0.96008"	"0.01849"	"83.28419"	NA
"stick"	"5"	"0.1"	"0.02"	"1"	"14"	"RDB"	"0.76857"	"0.12539"	"0.14464"	"0.15199"	"0.12582"	"0.16064"	"0.95741"	"0.01802"	"84.10944"	NA
"stick"	"5"	"0.1"	"0.02"	"1"	"15"	"RDB"	"0.82445"	"0.14839"	"0.12026"	"0.12662"	"0.12543"	"0.14245"	"0.94612"	"0.02053"	"79.94177"	NA
"stick"	"5"	"0.1"	"0.02"	"1"	"16"	"RDB"	"1.09994"	"0.08136"	"0.08191"	"0.09388"	"0.10655"	"0.0837"	"0.93792"	"0.02238"	"77.18602"	NA
"stick"	"5"	"0.1"	"0.02"	"1"	"17"	"RDB"	"0.45532"	"0.27431"	"0.33303"	"0.2956"	"0.30518"	"0.28693"	"0.82906"	"0.03525"	"62.63971"	NA
"stick"	"5"	"0.1"	"0.02"	"1"	"18"	"RDB"	"0.80949"	"0.11091"	"0.14442"	"0.13079"	"0.13743"	"0.13949"	"0.93419"	"0.02317"	"76.06746"	NA
"stick"	"5"	"0.1"	"0.02"	"1"	"19"	"RDB"	"1.10166"	"0.11714"	"0.08793"	"0.0756"	"0.09251"	"0.07884"	"0.95768"	"0.0187"	"82.93011"	NA
"stick"	"5"	"0.1"	"0.02"	"1"	"20"	"RDB"	"0.4073"	"0.40966"	"0.36039"	"0.30276"	"0.3504"	"0.35769"	"0.68817"	"0.04451"	"55.17638"	NA
"stick"	"5"	"0.1"	"0.02"	"1"	"21"	"RDB"	"0.87303"	"0.13201"	"0.12438"	"0.11038"	"0.1217"	"0.11132"	"0.95639"	"0.01828"	"83.65326"	NA
"stick"	"5"	"0.1"	"0.02"	"1"	"22"	"RDB"	"1.02154"	"0.11711"	"0.11178"	"0.08495"	"0.09389"	"0.09964"	"0.94905"	"0.02095"	"79.29238"	NA
"stick"	"5"	"0.1"	"0.02"	"1"	"23"	"RDB"	"1.2731"	"0.0878"	"0.07975"	"0.07761"	"0.08056"	"0.07566"	"0.93544"	"0.02356"	"75.5417"	NA
"stick"	"5"	"0.1"	"0.02"	"1"	"24"	"RDB"	"0.86594"	"0.12442"	"0.12598"	"0.09536"	"0.11739"	"0.1148"	"0.9186"	"0.02373"	"75.3084"	NA
"stick"	"5"	"0.1"	"0.02"	"1"	"25"	"RDB"	"0.69988"	"0.12753"	"0.15161"	"0.16364"	"0.14103"	"0.17337"	"0.92992"	"0.02132"	"78.73358"	NA
"stick"	"5"	"0.1"	"0.02"	"1"	"26"	"RDB"	"3.78109"	"0.02217"	"0.02547"	"0.0253"	"0.02287"	"0.02009"	"0.91423"	"0.02571"	"72.74475"	NA
"stick"	"5"	"0.1"	"0.02"	"1"	"27"	"RDB"	"1.57831"	"0.06359"	"0.05114"	"0.06135"	"0.06362"	"0.05302"	"0.93655"	"0.02179"	"78.03354"	NA
"stick"	"5"	"0.1"	"0.02"	"1"	"28"	"RDB"	"1.00501"	"0.10216"	"0.10354"	"0.08804"	"0.09647"	"0.10493"	"0.96572"	"0.01585"	"88.21575"	NA
"stick"	"5"	"0.1"	"0.02"	"1"	"29"	"RDB"	"1.36109"	"0.07425"	"0.07827"	"0.05827"	"0.06963"	"0.06687"	"0.94432"	"0.02104"	"79.15053"	NA
"stick"	"5"	"0.1"	"0.02"	"1"	"30"	"RDB"	"0.68847"	"0.17035"	"0.1518"	"0.15358"	"0.16781"	"0.19014"	"0.89122"	"0.03082"	"66.94133"	NA
"stick"	"5"	"0.1"	"0.02"	"1"	"31"	"RDB"	"0.86783"	"0.11376"	"0.1226"	"0.11548"	"0.11636"	"0.11705"	"0.96473"	"0.01549"	"88.95484"	NA
"stick"	"5"	"0.1"	"0.02"	"1"	"32"	"RDB"	"1.14492"	"0.09223"	"0.08119"	"0.10345"	"0.08686"	"0.09298"	"0.94955"	"0.02118"	"78.95171"	NA
"stick"	"5"	"0.1"	"0.02"	"1"	"33"	"RDB"	"0.63934"	"0.18909"	"0.18885"	"0.20526"	"0.15524"	"0.1633"	"0.94329"	"0.02028"	"80.33521"	NA
"stick"	"5"	"0.1"	"0.02"	"1"	"34"	"RDB"	"0.96475"	"0.10339"	"0.11372"	"0.10619"	"0.10302"	"0.09516"	"0.94446"	"0.02055"	"79.90296"	NA
"stick"	"5"	"0.1"	"0.02"	"1"	"35"	"RDB"	"0.61015"	"0.20294"	"0.18422"	"0.17752"	"0.16185"	"0.18018"	"0.92559"	"0.02241"	"77.14334"	NA
"stick"	"5"	"0.1"	"0.02"	"1"	"36"	"RDB"	"1.05393"	"0.09817"	"0.09818"	"0.10173"	"0.09081"	"0.07573"	"0.9567"	"0.01763"	"84.81293"	NA
"stick"	"5"	"0.1"	"0.02"	"1"	"37"	"RDB"	"1.23217"	"0.07739"	"0.08616"	"0.08281"	"0.08268"	"0.08151"	"0.94542"	"0.02197"	"77.77701"	NA
"stick"	"5"	"0.1"	"0.02"	"1"	"38"	"RDB"	"1.0041"	"0.09835"	"0.11219"	"0.09526"	"0.10814"	"0.10573"	"0.93409"	"0.02405"	"74.88289"	NA
"stick"	"5"	"0.1"	"0.02"	"1"	"39"	"RDB"	"1.00303"	"0.08901"	"0.08919"	"0.10427"	"0.08982"	"0.11121"	"0.94842"	"0.01906"	"82.3257"	NA
"stick"	"5"	"0.1"	"0.02"	"1"	"40"	"RDB"	"0.65114"	"0.17953"	"0.18856"	"0.16913"	"0.16623"	"0.14879"	"0.94369"	"0.02023"	"80.41044"	NA
"stick"	"5"	"0.1"	"0.02"	"1"	"41"	"RDB"	"1.05139"	"0.09824"	"0.10603"	"0.08623"	"0.07185"	"0.10298"	"0.96673"	"0.01561"	"88.7035"	NA
"stick"	"5"	"0.1"	"0.02"	"1"	"42"	"RDB"	"1.27849"	"0.06119"	"0.07548"	"0.07805"	"0.07676"	"0.07273"	"0.94267"	"0.01974"	"81.19552"	NA
"stick"	"5"	"0.1"	"0.02"	"1"	"43"	"RDB"	"0.58063"	"0.19913"	"0.18423"	"0.19349"	"0.19047"	"0.21165"	"0.93128"	"0.02138"	"78.64924"	NA
