"n.muts"	"coes"	"sigma"	"d.true"	"rep"	"method"	"d.hat"	"u.hats.1"	"u.hats.2"	"R2"	"sig.hat"	"logLike"
"2"	"0.1"	"0.1"	"1"	"1"	"max"	"0.01938"	"0.70222"	"-1.60995"	"0.73043"	"0.02418"	"10.21291"
"2"	"0.1"	"0.1"	"1"	"2"	"max"	"0.10748"	"-0.24546"	"0.65859"	"0.7786"	"0.0398"	"8.21976"
"2"	"0.1"	"0.1"	"1"	"3"	"max"	"0.18246"	"0.39708"	"-0.15127"	"0.34791"	"0.09567"	"4.71182"
"2"	"0.1"	"0.1"	"1"	"4"	"max"	"0.07798"	"0.83526"	"-0.035"	"0.94394"	"0.01089"	"13.40539"
"2"	"0.1"	"0.1"	"1"	"5"	"max"	"0.1844"	"0.34728"	"0.42961"	"-1.64594"	"0.08414"	"5.22535"
"2"	"0.1"	"0.1"	"1"	"6"	"max"	"0.21914"	"0.4678"	"0.21831"	"-0.39983"	"0.0966"	"4.67275"
"2"	"0.1"	"0.1"	"1"	"7"	"max"	"0.34411"	"0.31118"	"0.2093"	"-0.13795"	"0.13722"	"3.2689"
"2"	"0.1"	"0.1"	"1"	"8"	"max"	"0.31601"	"0.10445"	"0.22253"	"-0.93456"	"0.18636"	"2.04455"
"2"	"0.1"	"0.1"	"1"	"9"	"max"	"0.25056"	"0.18958"	"0.31523"	"-0.11988"	"0.10154"	"4.47336"
"2"	"0.1"	"0.1"	"1"	"10"	"max"	"0.1519"	"0.1403"	"-0.10515"	"-0.99029"	"0.11966"	"3.81661"
"2"	"0.1"	"0.1"	"1"	"11"	"max"	"0.18757"	"0.37342"	"0.08013"	"-5.62774"	"0.12578"	"3.61699"
"2"	"0.1"	"0.1"	"1"	"12"	"max"	"0.17736"	"0.37053"	"0.57295"	"-0.63377"	"0.06297"	"6.38444"
"2"	"0.1"	"0.1"	"1"	"13"	"max"	"0.14246"	"0.72917"	"0.64267"	"-0.98792"	"0.02181"	"10.62512"
"2"	"0.1"	"0.1"	"1"	"14"	"max"	"0.07517"	"0.09317"	"0.79109"	"0.88705"	"0.01196"	"13.02916"
"2"	"0.1"	"0.1"	"1"	"15"	"max"	"0.22051"	"-0.27753"	"0.49634"	"-4.98767"	"0.20113"	"1.73952"
"2"	"0.1"	"0.1"	"1"	"16"	"max"	"0.23792"	"0.04758"	"0.11974"	"-0.36122"	"0.14139"	"3.14909"
"2"	"0.1"	"0.1"	"1"	"17"	"max"	"0.29963"	"0.62377"	"0.26165"	"0.47089"	"0.06999"	"5.96186"
"2"	"0.1"	"0.1"	"1"	"18"	"max"	"0.36187"	"0.06016"	"0.07127"	"-0.40456"	"0.22364"	"1.31519"
"2"	"0.1"	"0.1"	"1"	"19"	"max"	"0.18188"	"0.3414"	"0.48809"	"-1.06692"	"0.07586"	"5.6398"
"2"	"0.1"	"0.1"	"1"	"20"	"max"	"0.23649"	"0.79293"	"0.2259"	"0.82715"	"0.03628"	"8.58968"
"2"	"0.1"	"0.1"	"1"	"21"	"max"	"0.15663"	"-0.04178"	"0.00777"	"-0.46142"	"0.11575"	"3.94939"
"2"	"0.1"	"0.1"	"1"	"22"	"max"	"0.17618"	"-0.05072"	"0.7213"	"-65.40682"	"0.13279"	"3.40019"
"2"	"0.1"	"0.1"	"1"	"23"	"max"	"0.10551"	"-0.28152"	"0.69218"	"0.83853"	"0.03362"	"8.89529"
"2"	"0.1"	"0.1"	"1"	"24"	"max"	"0.23583"	"0.50161"	"-0.20201"	"-6.79487"	"0.20194"	"1.72343"
"2"	"0.1"	"0.1"	"1"	"25"	"max"	"0.04809"	"0.46592"	"-0.58642"	"-1.31406"	"0.05932"	"6.62322"
"2"	"0.1"	"0.1"	"1"	"26"	"max"	"0.17398"	"0.35895"	"-0.02808"	"0.17019"	"0.08261"	"5.29895"
"2"	"0.1"	"0.1"	"1"	"27"	"max"	"0.37542"	"0.35913"	"-0.16805"	"-3.05713"	"0.31246"	"-0.02261"
"2"	"0.1"	"0.1"	"1"	"28"	"max"	"0.14319"	"0.13395"	"0.40151"	"0.11176"	"0.05458"	"6.95628"
"2"	"0.1"	"0.1"	"1"	"29"	"max"	"0.19643"	"0.24683"	"0.36945"	"-4.16672"	"0.11218"	"4.07496"
"2"	"0.1"	"0.1"	"1"	"30"	"max"	"0.16611"	"0.17272"	"0.98206"	"0.98389"	"0.00914"	"14.10273"
"2"	"0.1"	"0.1"	"1"	"31"	"max"	"0.37962"	"0.14203"	"0.32322"	"-0.06866"	"0.16006"	"2.65298"
"2"	"0.1"	"0.1"	"1"	"32"	"max"	"0.19163"	"0.11214"	"0.48516"	"0.338"	"0.06537"	"6.23507"
"2"	"0.1"	"0.1"	"1"	"33"	"max"	"0.21016"	"0.18452"	"0.47194"	"-8.96405"	"0.12743"	"3.56495"
"2"	"0.1"	"0.1"	"1"	"34"	"max"	"0.17383"	"0.43385"	"0.53503"	"-0.13137"	"0.04092"	"8.10888"
"2"	"0.1"	"0.1"	"1"	"35"	"max"	"0.07862"	"-0.65043"	"0.4072"	"0.6563"	"0.05156"	"7.18422"
"2"	"0.1"	"0.1"	"1"	"36"	"max"	"0.22035"	"-0.07541"	"0.60109"	"0.62939"	"0.08377"	"5.24314"
"2"	"0.1"	"0.1"	"1"	"37"	"max"	"0.4023"	"-0.01607"	"0.32087"	"-3.81576"	"0.2925"	"0.2414"
"2"	"0.1"	"0.1"	"1"	"38"	"max"	"0.19598"	"0.11218"	"0.59894"	"0.58942"	"0.05386"	"7.00985"
"2"	"0.1"	"0.1"	"1"	"39"	"max"	"0.23735"	"0.29887"	"0.25417"	"-2.72025"	"0.13503"	"3.33331"
"2"	"0.1"	"0.1"	"1"	"40"	"max"	"0.19299"	"0.31662"	"0.03947"	"-0.28473"	"0.10518"	"4.33247"
"2"	"0.1"	"0.1"	"1"	"41"	"max"	"0.12233"	"0.19159"	"0.03474"	"-0.2511"	"0.06788"	"6.08428"
"2"	"0.1"	"0.1"	"1"	"42"	"max"	"0.16867"	"-0.10387"	"0.63355"	"0.75242"	"0.05167"	"7.17584"
"2"	"0.1"	"0.1"	"1"	"43"	"max"	"0.16861"	"-8.98739"	"0.99071"	"-188.16458"	"1.19455"	"-5.38685"
"2"	"0.1"	"0.1"	"1"	"44"	"max"	"0.19819"	"0.05543"	"0.39996"	"-6.5325"	"0.13595"	"3.30605"
"2"	"0.1"	"0.1"	"1"	"45"	"max"	"0.25772"	"0.23738"	"0.4861"	"0.17295"	"0.07819"	"5.51859"
"2"	"0.1"	"0.1"	"1"	"46"	"max"	"0.21592"	"-1.19294"	"0.85837"	"-24.34503"	"0.33728"	"-0.32844"
"2"	"0.1"	"0.1"	"1"	"47"	"max"	"0.18895"	"0.43652"	"0.40317"	"-0.15485"	"0.05196"	"7.15309"
"2"	"0.1"	"0.1"	"1"	"48"	"max"	"0.22871"	"0.09114"	"-0.1401"	"-0.58871"	"0.18881"	"1.9923"
"2"	"0.1"	"0.1"	"1"	"49"	"max"	"0.1818"	"0.40256"	"-0.06496"	"0.22462"	"0.09267"	"4.8392"
"2"	"0.1"	"0.1"	"1"	"50"	"max"	"0.1661"	"0.2756"	"0.36097"	"-0.11468"	"0.05782"	"6.72582"
"2"	"0.1"	"0.1"	"1"	"51"	"max"	"0.25198"	"0.55478"	"-0.05645"	"0.61253"	"0.08802"	"5.04496"
"2"	"0.1"	"0.1"	"1"	"52"	"max"	"0.20473"	"0.63977"	"-0.22702"	"-18.11417"	"0.17896"	"2.20663"
"2"	"0.1"	"0.1"	"1"	"53"	"max"	"0.17758"	"0.13536"	"0.04405"	"-1.43371"	"0.12128"	"3.76271"
"2"	"0.1"	"0.1"	"1"	"54"	"max"	"0.18831"	"0.10374"	"0.57374"	"-19.81838"	"0.12335"	"3.69509"
"2"	"0.1"	"0.1"	"1"	"55"	"max"	"0.28864"	"0.95232"	"0.04183"	"0.9933"	"0.01272"	"12.7817"
"2"	"0.1"	"0.1"	"1"	"56"	"max"	"0.09079"	"-0.32506"	"0.36907"	"0.37472"	"0.05581"	"6.86713"
"2"	"0.1"	"0.1"	"1"	"57"	"max"	"0.16735"	"-0.43292"	"0.59768"	"-6.22268"	"0.1717"	"2.37226"
"2"	"0.1"	"0.1"	"1"	"58"	"max"	"0.20572"	"-0.03373"	"0.07583"	"-0.42822"	"0.13909"	"3.21477"
"2"	"0.1"	"0.1"	"1"	"59"	"max"	"0.24089"	"0.24348"	"0.00961"	"-0.13333"	"0.12872"	"3.52462"
"2"	"0.1"	"0.1"	"1"	"60"	"max"	"0.32945"	"0.98309"	"-0.13225"	"0.99395"	"0.01781"	"11.43601"
"2"	"0.1"	"0.1"	"1"	"61"	"max"	"0.24043"	"0.69869"	"0.16578"	"0.60411"	"0.06566"	"6.21746"
"2"	"0.1"	"0.1"	"1"	"62"	"max"	"0.13557"	"0.14813"	"-0.07816"	"-0.28559"	"0.08836"	"5.02968"
"2"	"0.1"	"0.1"	"1"	"63"	"max"	"0.29659"	"0.15926"	"0.0438"	"-0.73843"	"0.1839"	"2.0977"
"2"	"0.1"	"0.1"	"1"	"64"	"max"	"0.13296"	"0.43962"	"0.32786"	"-1.35101"	"0.05997"	"6.57966"
"2"	"0.1"	"0.1"	"1"	"65"	"max"	"0.35067"	"0.14378"	"-0.11872"	"-0.09545"	"0.21949"	"1.39005"
"2"	"0.1"	"0.1"	"1"	"66"	"max"	"0.22231"	"0.59436"	"0.93465"	"0.40765"	"0.02474"	"10.12208"
"2"	"0.1"	"0.1"	"1"	"67"	"max"	"0.07947"	"0.37413"	"0.42142"	"-0.1365"	"0.02299"	"10.41472"
"2"	"0.1"	"0.1"	"1"	"68"	"max"	"0.2747"	"0.14087"	"0.05745"	"-1.49956"	"0.18558"	"2.06136"
"2"	"0.1"	"0.1"	"1"	"69"	"max"	"0.4498"	"-0.52319"	"0.61935"	"-5.56758"	"0.49314"	"-1.84789"
