"model"	"n.muts"	"coes"	"sigma"	"d.true"	"rep"	"method"	"d.hat"	"u.hats.1"	"u.hats.2"	"u.hats.3"	"R2"	"sig.hat"	"logLike"	"P"
"stick"	"3"	"0.1"	"0.02"	"1"	"1"	"max"	"0.27498"	"0.43786"	"0.37921"	"0.40767"	"0.77115"	"0.03834"	"15.73827"	NA
"stick"	"3"	"0.1"	"0.02"	"1"	"2"	"max"	"0.28884"	"0.33362"	"0.34932"	"0.41317"	"0.76055"	"0.03489"	"16.49365"	NA
"stick"	"3"	"0.1"	"0.02"	"1"	"3"	"max"	"0.26788"	"0.43799"	"0.37198"	"0.37283"	"0.77904"	"0.03025"	"17.6337"	NA
"stick"	"3"	"0.1"	"0.02"	"1"	"4"	"max"	"0.23729"	"0.38819"	"0.44267"	"0.58043"	"0.82529"	"0.02238"	"20.04607"	NA
"stick"	"3"	"0.1"	"0.02"	"1"	"5"	"max"	"0.24242"	"0.58666"	"0.49299"	"0.51884"	"0.79163"	"0.02829"	"18.16921"	NA
"stick"	"3"	"0.1"	"0.02"	"1"	"6"	"max"	"0.23554"	"0.44333"	"0.41261"	"0.56213"	"0.88147"	"0.01925"	"21.25199"	NA
"stick"	"3"	"0.1"	"0.02"	"1"	"7"	"max"	"0.25991"	"0.38905"	"0.46956"	"0.35024"	"0.78738"	"0.02714"	"18.5026"	NA
"stick"	"3"	"0.1"	"0.02"	"1"	"8"	"max"	"0.29225"	"0.37229"	"0.33924"	"0.3387"	"0.74664"	"0.03989"	"15.42087"	NA
"stick"	"3"	"0.1"	"0.02"	"1"	"9"	"max"	"0.27602"	"0.39406"	"0.39084"	"0.40417"	"0.79388"	"0.03479"	"16.51631"	NA
"stick"	"3"	"0.1"	"0.02"	"1"	"10"	"max"	"0.25801"	"0.43125"	"0.32219"	"0.4448"	"0.81454"	"0.0273"	"18.45523"	NA
"stick"	"3"	"0.1"	"0.02"	"1"	"11"	"max"	"0.2637"	"0.32158"	"0.3464"	"0.42573"	"0.73961"	"0.03229"	"17.11339"	NA
"stick"	"3"	"0.1"	"0.02"	"1"	"12"	"max"	"0.24319"	"0.54504"	"0.56985"	"0.50171"	"0.86765"	"0.02139"	"20.40789"	NA
"stick"	"3"	"0.1"	"0.02"	"1"	"13"	"max"	"0.29121"	"0.41289"	"0.31341"	"0.34145"	"0.74868"	"0.04211"	"14.98822"	NA
"stick"	"3"	"0.1"	"0.02"	"1"	"14"	"max"	"0.27791"	"0.42655"	"0.42848"	"0.45725"	"0.83292"	"0.02844"	"18.12888"	NA
"stick"	"3"	"0.1"	"0.02"	"1"	"15"	"max"	"0.28002"	"0.2929"	"0.31842"	"0.39319"	"0.67718"	"0.03826"	"15.75596"	NA
"stick"	"3"	"0.1"	"0.02"	"1"	"16"	"max"	"0.28936"	"0.33868"	"0.38108"	"0.33212"	"0.7081"	"0.04022"	"15.3551"	NA
"stick"	"3"	"0.1"	"0.02"	"1"	"17"	"max"	"0.2576"	"0.4084"	"0.43427"	"0.48868"	"0.82963"	"0.02737"	"18.43393"	NA
"stick"	"3"	"0.1"	"0.02"	"1"	"18"	"max"	"0.22607"	"0.65822"	"0.34443"	"0.61044"	"0.86606"	"0.02325"	"19.74055"	NA
"stick"	"3"	"0.1"	"0.02"	"1"	"19"	"max"	"0.30499"	"0.34045"	"0.35751"	"0.32589"	"0.73289"	"0.03991"	"15.41674"	NA
"stick"	"3"	"0.1"	"0.02"	"1"	"20"	"max"	"0.28555"	"0.31105"	"0.41344"	"0.33383"	"0.71628"	"0.04096"	"15.20991"	NA
"stick"	"3"	"0.1"	"0.02"	"1"	"21"	"max"	"0.27475"	"0.25618"	"0.40875"	"0.34893"	"0.74319"	"0.03724"	"15.97141"	NA
"stick"	"3"	"0.1"	"0.02"	"1"	"22"	"max"	"0.23181"	"0.50015"	"0.47053"	"0.51231"	"0.85401"	"0.02211"	"20.1418"	NA
"stick"	"3"	"0.1"	"0.02"	"1"	"23"	"max"	"0.26446"	"0.41395"	"0.39251"	"0.46981"	"0.8173"	"0.02546"	"19.01259"	NA
"stick"	"3"	"0.1"	"0.02"	"1"	"24"	"max"	"0.22982"	"0.58491"	"0.55852"	"0.48617"	"0.89992"	"0.01449"	"23.5205"	NA
"stick"	"3"	"0.1"	"0.02"	"1"	"25"	"max"	"0.27549"	"0.44468"	"0.29718"	"0.28661"	"0.54737"	"0.04363"	"14.70455"	NA
"stick"	"3"	"0.1"	"0.02"	"1"	"26"	"max"	"0.22346"	"0.66077"	"0.76067"	"0.70351"	"0.40287"	"0.05405"	"12.99106"	NA
"stick"	"3"	"0.1"	"0.02"	"1"	"27"	"max"	"0.25694"	"0.35281"	"0.40014"	"0.37711"	"0.77692"	"0.03034"	"17.6098"	NA
"stick"	"3"	"0.1"	"0.02"	"1"	"28"	"max"	"0.28801"	"0.3874"	"0.33352"	"0.38271"	"0.77105"	"0.03668"	"16.09343"	NA
"stick"	"3"	"0.1"	"0.02"	"1"	"29"	"max"	"0.27414"	"0.39708"	"0.36383"	"0.42985"	"0.66228"	"0.04261"	"14.89367"	NA
"stick"	"3"	"0.1"	"0.02"	"1"	"30"	"max"	"0.22497"	"0.50779"	"0.50731"	"0.49684"	"0.78975"	"0.02863"	"18.07439"	NA
"stick"	"3"	"0.1"	"0.02"	"1"	"31"	"max"	"0.30125"	"0.29472"	"0.3021"	"0.29531"	"0.64655"	"0.04682"	"14.13995"	NA
"stick"	"3"	"0.1"	"0.02"	"1"	"32"	"max"	"0.26515"	"0.44455"	"0.42778"	"0.44759"	"0.80852"	"0.03251"	"17.05866"	NA
"stick"	"3"	"0.1"	"0.02"	"1"	"33"	"max"	"0.24557"	"0.43164"	"0.42624"	"0.41071"	"0.80936"	"0.02622"	"18.77873"	NA
"stick"	"3"	"0.1"	"0.02"	"1"	"34"	"max"	"0.23563"	"0.53458"	"0.56601"	"0.48455"	"0.76033"	"0.03195"	"17.19679"	NA
"stick"	"3"	"0.1"	"0.02"	"1"	"35"	"max"	"0.26819"	"0.39832"	"0.37704"	"0.38098"	"0.78952"	"0.03141"	"17.33473"	NA
"stick"	"3"	"0.1"	"0.02"	"1"	"36"	"max"	"0.31247"	"0.29708"	"0.26387"	"0.36523"	"0.67802"	"0.04645"	"14.20354"	NA
"stick"	"3"	"0.1"	"0.02"	"1"	"37"	"max"	"0.28016"	"0.38429"	"0.28567"	"0.32918"	"0.69886"	"0.03757"	"15.90102"	NA
"stick"	"3"	"0.1"	"0.02"	"1"	"38"	"max"	"0.23988"	"0.54601"	"0.39703"	"0.40671"	"0.8326"	"0.02573"	"18.92952"	NA
"stick"	"3"	"0.1"	"0.02"	"1"	"39"	"max"	"0.27842"	"0.43922"	"0.3796"	"0.39041"	"0.77951"	"0.0312"	"17.38602"	NA
"stick"	"3"	"0.1"	"0.02"	"1"	"40"	"max"	"0.27978"	"0.30301"	"0.38371"	"0.43142"	"0.77784"	"0.03268"	"17.01713"	NA
"stick"	"3"	"0.1"	"0.02"	"1"	"41"	"max"	"0.25695"	"0.47434"	"0.42454"	"0.38362"	"0.82916"	"0.02712"	"18.50691"	NA
"stick"	"3"	"0.1"	"0.02"	"1"	"42"	"max"	"0.31137"	"0.27657"	"0.37822"	"0.34904"	"0.72887"	"0.04206"	"14.99766"	NA
"stick"	"3"	"0.1"	"0.02"	"1"	"43"	"max"	"0.30485"	"0.30761"	"0.27039"	"0.17477"	"-0.07516"	"0.06648"	"11.3353"	NA
"stick"	"3"	"0.1"	"0.02"	"1"	"44"	"max"	"0.2644"	"0.42052"	"0.4719"	"0.40064"	"0.83786"	"0.02509"	"19.13095"	NA
"stick"	"3"	"0.1"	"0.02"	"1"	"45"	"max"	"0.24441"	"0.49576"	"0.63754"	"0.63325"	"0.80653"	"0.02763"	"18.36003"	NA
"stick"	"3"	"0.1"	"0.02"	"1"	"46"	"max"	"0.26585"	"0.30973"	"0.43713"	"0.32935"	"0.53709"	"0.03726"	"15.96763"	NA
"stick"	"3"	"0.1"	"0.02"	"1"	"47"	"max"	"0.25242"	"0.40807"	"0.32662"	"0.46236"	"0.74721"	"0.02757"	"18.37679"	NA
"stick"	"3"	"0.1"	"0.02"	"1"	"48"	"max"	"0.30777"	"0.33562"	"0.34574"	"0.30812"	"0.62506"	"0.04413"	"14.61377"	NA
"stick"	"3"	"0.1"	"0.02"	"1"	"49"	"max"	"0.26924"	"0.41324"	"0.44259"	"0.42432"	"0.80439"	"0.028"	"18.2525"	NA
