"model"	"n.muts"	"coes"	"sigma"	"d.true"	"rep"	"method"	"d.hat"	"u.hats.1"	"u.hats.2"	"u.hats.3"	"u.hats.4"	"R2"	"sig.hat"	"logLike"	"P"
"stick"	"4"	"0.1"	"0.02"	"1"	"1"	"max"	"0.36296"	"0.2848"	"0.35142"	"0.38918"	"0.33856"	"0.85036"	"0.0316"	"33.56959"	NA
"stick"	"4"	"0.1"	"0.02"	"1"	"2"	"max"	"0.33377"	"0.4055"	"0.47046"	"0.38978"	"0.41748"	"0.659"	"0.0511"	"25.88029"	NA
"stick"	"4"	"0.1"	"0.02"	"1"	"3"	"max"	"0.36394"	"0.36117"	"0.39424"	"0.3158"	"0.33489"	"0.80844"	"0.03879"	"30.28947"	NA
"stick"	"4"	"0.1"	"0.02"	"1"	"4"	"max"	"0.33385"	"0.42721"	"0.42377"	"0.35744"	"0.36862"	"0.85952"	"0.02815"	"35.42288"	NA
"stick"	"4"	"0.1"	"0.02"	"1"	"5"	"max"	"0.31259"	"0.51316"	"0.50041"	"0.48261"	"0.46498"	"0.73718"	"0.03673"	"31.16452"	NA
"stick"	"4"	"0.1"	"0.02"	"1"	"6"	"max"	"0.37174"	"0.34125"	"0.2775"	"0.36444"	"0.33929"	"0.87413"	"0.02864"	"35.14318"	NA
"stick"	"4"	"0.1"	"0.02"	"1"	"7"	"max"	"0.35342"	"0.42363"	"0.32058"	"0.33901"	"0.3609"	"0.8938"	"0.0258"	"36.81213"	NA
"stick"	"4"	"0.1"	"0.02"	"1"	"8"	"max"	"0.34755"	"0.36819"	"0.3824"	"0.42089"	"0.41923"	"0.74216"	"0.04362"	"28.41444"	NA
"stick"	"4"	"0.1"	"0.02"	"1"	"9"	"max"	"0.3321"	"0.3797"	"0.42954"	"0.37454"	"0.36998"	"0.87961"	"0.02606"	"36.65163"	NA
"stick"	"4"	"0.1"	"0.02"	"1"	"10"	"max"	"0.32753"	"0.40512"	"0.41807"	"0.37886"	"0.39283"	"0.84649"	"0.0304"	"34.19013"	NA
"stick"	"4"	"0.1"	"0.02"	"1"	"11"	"max"	"0.34094"	"0.35317"	"0.382"	"0.37227"	"0.41163"	"0.88782"	"0.02627"	"36.52329"	NA
"stick"	"4"	"0.1"	"0.02"	"1"	"12"	"max"	"0.37484"	"0.28919"	"0.34655"	"0.36752"	"0.32725"	"0.84855"	"0.03428"	"32.26734"	NA
"stick"	"4"	"0.1"	"0.02"	"1"	"13"	"max"	"0.35152"	"0.3408"	"0.30407"	"0.42406"	"0.38979"	"0.8325"	"0.0324"	"33.17046"	NA
"stick"	"4"	"0.1"	"0.02"	"1"	"14"	"max"	"0.32249"	"0.44327"	"0.43566"	"0.45892"	"0.35282"	"0.71384"	"0.03911"	"30.16031"	NA
"stick"	"4"	"0.1"	"0.02"	"1"	"15"	"max"	"0.39727"	"0.28675"	"0.25451"	"0.28821"	"0.27837"	"0.84142"	"0.03184"	"33.45189"	NA
"stick"	"4"	"0.1"	"0.02"	"1"	"16"	"max"	"0.33241"	"0.39786"	"0.35562"	"0.38051"	"0.31719"	"0.90506"	"0.0228"	"38.79309"	NA
"stick"	"4"	"0.1"	"0.02"	"1"	"17"	"max"	"0.37219"	"0.36228"	"0.38491"	"0.35931"	"0.37624"	"0.74506"	"0.04351"	"28.45235"	NA
"stick"	"4"	"0.1"	"0.02"	"1"	"18"	"max"	"0.31905"	"0.5409"	"0.4954"	"0.45923"	"0.48427"	"0.69737"	"0.03942"	"30.03299"	NA
