"model"	"n.muts"	"coes"	"sigma"	"d.true"	"rep"	"method"	"d.hat"	"u.hats.1"	"u.hats.2"	"u.hats.3"	"u.hats.4"	"u.hats.5"	"R2"	"sig.hat"	"logLike"	"P"
"stick"	"5"	"0.1"	"0.02"	"1"	"1"	"max"	"0.37759"	"0.57319"	"0.52871"	"0.54213"	"0.48933"	"0.46764"	"0.10578"	"0.07942"	"36.64941"	NA
"stick"	"5"	"0.1"	"0.02"	"1"	"2"	"max"	"0.40506"	"0.34348"	"0.40332"	"0.34382"	"0.34359"	"0.34813"	"0.7396"	"0.04341"	"55.98098"	NA
"stick"	"5"	"0.1"	"0.02"	"1"	"3"	"max"	"0.40378"	"0.37"	"0.36487"	"0.3556"	"0.3663"	"0.36386"	"0.70737"	"0.04502"	"54.81226"	NA
"stick"	"5"	"0.1"	"0.02"	"1"	"4"	"max"	"0.4146"	"0.3487"	"0.3334"	"0.31214"	"0.33668"	"0.36414"	"0.81324"	"0.03547"	"62.44246"	NA
"stick"	"5"	"0.1"	"0.02"	"1"	"5"	"max"	"0.40266"	"0.46627"	"0.40192"	"0.40881"	"0.41468"	"0.40598"	"0.54681"	"0.06075"	"45.22501"	NA
"stick"	"5"	"0.1"	"0.02"	"1"	"6"	"max"	"0.41289"	"0.35836"	"0.33132"	"0.36883"	"0.38541"	"0.41223"	"0.64033"	"0.05343"	"49.33329"	NA
"stick"	"5"	"0.1"	"0.02"	"1"	"7"	"max"	"0.41893"	"0.37714"	"0.35932"	"0.35175"	"0.35777"	"0.34319"	"0.7038"	"0.04831"	"52.55924"	NA
"stick"	"5"	"0.1"	"0.02"	"1"	"8"	"max"	"0.40452"	"0.46723"	"0.47025"	"0.37005"	"0.44971"	"0.38675"	"0.45985"	"0.06479"	"43.16475"	NA
"stick"	"5"	"0.1"	"0.02"	"1"	"9"	"max"	"0.4359"	"0.30271"	"0.24967"	"0.28129"	"0.3065"	"0.33627"	"0.84181"	"0.03499"	"62.87713"	NA
"stick"	"5"	"0.1"	"0.02"	"1"	"10"	"max"	"0.40845"	"0.38975"	"0.46392"	"0.4113"	"0.4388"	"0.44349"	"0.4119"	"0.07217"	"39.71183"	NA
"stick"	"5"	"0.1"	"0.02"	"1"	"11"	"max"	"0.36885"	"0.51293"	"0.42599"	"0.49508"	"0.51122"	"0.46517"	"0.39568"	"0.06624"	"42.45832"	NA
"stick"	"5"	"0.1"	"0.02"	"1"	"12"	"max"	"0.41817"	"0.40391"	"0.38572"	"0.36663"	"0.36956"	"0.36386"	"0.55497"	"0.05901"	"46.15449"	NA
"stick"	"5"	"0.1"	"0.02"	"1"	"13"	"max"	"0.44641"	"0.29391"	"0.32425"	"0.33851"	"0.32097"	"0.33197"	"0.72382"	"0.04864"	"52.33826"	NA
"stick"	"5"	"0.1"	"0.02"	"1"	"14"	"max"	"0.4086"	"0.34241"	"0.38669"	"0.40065"	"0.35788"	"0.41927"	"0.66458"	"0.05058"	"51.09007"	NA
"stick"	"5"	"0.1"	"0.02"	"1"	"15"	"max"	"0.41252"	"0.43397"	"0.36993"	"0.39553"	"0.38102"	"0.42554"	"0.52383"	"0.06103"	"45.07826"	NA
"stick"	"5"	"0.1"	"0.02"	"1"	"16"	"max"	"0.41121"	"0.33123"	"0.32325"	"0.37631"	"0.40788"	"0.34839"	"0.69857"	"0.04931"	"51.90451"	NA
"stick"	"5"	"0.1"	"0.02"	"1"	"17"	"max"	"0.36202"	"0.48837"	"0.58063"	"0.51315"	"0.52172"	"0.51007"	"0.32207"	"0.07021"	"40.59573"	NA
"stick"	"5"	"0.1"	"0.02"	"1"	"18"	"max"	"0.39701"	"0.31726"	"0.44466"	"0.39623"	"0.42771"	"0.43536"	"0.621"	"0.05561"	"48.05484"	NA
"stick"	"5"	"0.1"	"0.02"	"1"	"19"	"max"	"0.41392"	"0.45516"	"0.35009"	"0.31977"	"0.38845"	"0.33878"	"0.6808"	"0.05135"	"50.60179"	NA
