"n.muts"	"coes"	"sigma"	"d.true"	"rep"	"method"	"d.hat.max"	"u.hats.1"	"u.hats.2"	"R2"	"sig.hat"	"logLike"
"2"	"0.1"	"0.1"	"1"	"1"	"max"	"0.01938"	"0.70222"	"-1.60995"	"0.73043"	"0.02418"	"10.21291"
"2"	"0.1"	"0.1"	"1"	"2"	"MLE"	"0.12523"	"-0.33475"	"0.85825"	"1"	"1e-05"	"42.35945"
"2"	"0.1"	"0.1"	"1"	"3"	"max"	"0.18246"	"0.39708"	"-0.15127"	"0.34791"	"0.09567"	"4.71182"
"2"	"0.1"	"0.1"	"1"	"4"	"MLE"	"0.54862"	"0.13798"	"-0.00133"	"0.99323"	"0.00378"	"17.63247"
"2"	"0.1"	"0.1"	"1"	"5"	"MLE"	"0.26806"	"0.17887"	"0.62027"	"0.58984"	"0.03313"	"8.95383"
"2"	"0.1"	"0.1"	"1"	"6"	"MLE"	"0.39796"	"0.50229"	"0.08078"	"0.84874"	"0.03176"	"9.12301"
"2"	"0.1"	"0.1"	"1"	"7"	"max"	"0.34411"	"0.31118"	"0.2093"	"-0.13795"	"0.13722"	"3.2689"
"2"	"0.1"	"0.1"	"1"	"8"	"max"	"0.31601"	"0.10445"	"0.22253"	"-0.93456"	"0.18636"	"2.04455"
"2"	"0.1"	"0.1"	"1"	"9"	"max"	"0.25056"	"0.18958"	"0.31523"	"-0.11988"	"0.10154"	"4.47336"
"2"	"0.1"	"0.1"	"1"	"10"	"max"	"0.1519"	"0.1403"	"-0.10515"	"-0.99029"	"0.11966"	"3.81661"
"2"	"0.1"	"0.1"	"1"	"11"	"MLE"	"0.38271"	"0.08052"	"0.37735"	"-0.73206"	"0.0643"	"6.30089"
"2"	"0.1"	"0.1"	"1"	"12"	"MLE"	"0.22366"	"0.2524"	"0.74335"	"0.7375"	"0.02524"	"10.04122"
"2"	"0.1"	"0.1"	"1"	"13"	"MLE"	"0.1492"	"0.81975"	"0.75018"	"0.99996"	"9e-05"	"32.44943"
"2"	"0.1"	"0.1"	"1"	"14"	"MLE"	"0.22652"	"0.04528"	"0.30015"	"1"	"0"	"55.35937"
"2"	"0.1"	"0.1"	"1"	"15"	"MLE"	"0.45939"	"0.29988"	"0.06887"	"-1.19971"	"0.12191"	"3.74228"
"2"	"0.1"	"0.1"	"1"	"16"	"max"	"0.23792"	"0.04758"	"0.11974"	"-0.36122"	"0.14139"	"3.14909"
"2"	"0.1"	"0.1"	"1"	"17"	"MLE"	"0.62512"	"0.36871"	"0.17522"	"1"	"0"	"55.22787"
"2"	"0.1"	"0.1"	"1"	"18"	"max"	"0.36187"	"0.06016"	"0.07127"	"-0.40456"	"0.22364"	"1.31519"
"2"	"0.1"	"0.1"	"1"	"19"	"MLE"	"0.25339"	"0.19369"	"0.65825"	"0.6927"	"0.02925"	"9.45178"
"2"	"0.1"	"0.1"	"1"	"20"	"MLE"	"0.30404"	"0.70453"	"0.24806"	"1"	"0"	"52.5709"
"2"	"0.1"	"0.1"	"1"	"21"	"max"	"0.15663"	"-0.04178"	"0.00777"	"-0.46142"	"0.11575"	"3.94939"
"2"	"0.1"	"0.1"	"1"	"22"	"MLE"	"0.19746"	"0.76703"	"0.48337"	"-7.23951"	"0.04677"	"7.57391"
"2"	"0.1"	"0.1"	"1"	"23"	"MLE"	"0.28095"	"-0.07429"	"0.36734"	"0.9143"	"0.02449"	"10.16226"
"2"	"0.1"	"0.1"	"1"	"24"	"MLE"	"0.42376"	"0.10285"	"0.37764"	"-1.56069"	"0.11574"	"3.94981"
