"model"	"n.muts"	"coes"	"sigma"	"d.true"	"rep"	"method"	"d.hat.RDB"	"u.hats.1"	"u.hats.2"	"u.hats.3"	"R2"	"sig.hat"	"logLike"	"P"
"stick"	"3"	"0.1"	"0.02"	"1"	"1"	"RDB"	"0.99488"	"0.11236"	"0.09561"	"0.10251"	"0.9302"	"0.02117"	"20.48811"	NA
"stick"	"3"	"0.1"	"0.02"	"1"	"2"	"MLE"	"1.97276"	"0.04632"	"0.04834"	"0.05872"	"0.99222"	"0.00629"	"30.19871"	NA
"stick"	"3"	"0.1"	"0.02"	"1"	"3"	"MLE"	"0.69302"	"0.16635"	"0.14164"	"0.14122"	"0.97289"	"0.0106"	"26.02558"	NA
"stick"	"3"	"0.1"	"0.02"	"1"	"4"	"MLE"	"0.3447"	"0.25378"	"0.28949"	"0.41082"	"0.93096"	"0.01407"	"23.75979"	NA
"stick"	"3"	"0.1"	"0.02"	"1"	"5"	"MLE"	"0.42419"	"0.28869"	"0.24616"	"0.23814"	"0.91566"	"0.018"	"21.78723"	NA
"stick"	"3"	"0.1"	"0.02"	"1"	"6"	"MLE"	"0.3776"	"0.2605"	"0.24147"	"0.34348"	"0.99542"	"0.00378"	"34.26889"	NA
"stick"	"3"	"0.1"	"0.02"	"1"	"7"	"MLE"	"0.49253"	"0.21066"	"0.25395"	"0.18954"	"0.99484"	"0.00423"	"33.37757"	NA
"stick"	"3"	"0.1"	"0.02"	"1"	"8"	"RDB"	"1.22325"	"0.09094"	"0.08184"	"0.08176"	"0.95028"	"0.01767"	"21.93483"	NA
"stick"	"3"	"0.1"	"0.02"	"1"	"9"	"RDB"	"1.37031"	"0.07255"	"0.07228"	"0.07514"	"0.97051"	"0.01316"	"24.29418"	NA
"stick"	"3"	"0.1"	"0.02"	"1"	"10"	"MLE"	"0.70135"	"0.15433"	"0.11283"	"0.15855"	"0.9954"	"0.0043"	"33.23923"	NA
"stick"	"3"	"0.1"	"0.02"	"1"	"11"	"MLE"	"1.03016"	"0.08121"	"0.08747"	"0.1086"	"0.97878"	"0.00922"	"27.14305"	NA
"stick"	"3"	"0.1"	"0.02"	"1"	"12"	"MLE"	"0.36057"	"0.33113"	"0.35072"	"0.29949"	"0.96751"	"0.0106"	"26.02534"	NA
"stick"	"3"	"0.1"	"0.02"	"1"	"13"	"max"	"0.42033"	"0.34061"	"0.26543"	"0.29813"	"0.76692"	"0.04055"	"15.28948"	NA
"stick"	"3"	"0.1"	"0.02"	"1"	"14"	"MLE"	"0.68516"	"0.15913"	"0.15825"	"0.17124"	"0.98035"	"0.00975"	"26.69033"	NA
"stick"	"3"	"0.1"	"0.02"	"1"	"15"	"MLE"	"2.41005"	"0.03448"	"0.03768"	"0.04584"	"0.97195"	"0.01128"	"25.52836"	NA
"stick"	"3"	"0.1"	"0.02"	"1"	"16"	"RDB"	"0.57272"	"0.19057"	"0.21932"	"0.18335"	"0.88541"	"0.0252"	"19.09542"	NA
"stick"	"3"	"0.1"	"0.02"	"1"	"17"	"MLE"	"0.65631"	"0.14431"	"0.15173"	"0.17572"	"0.96779"	"0.0119"	"25.09695"	NA
"stick"	"3"	"0.1"	"0.02"	"1"	"18"	"MLE"	"0.33747"	"0.41166"	"0.16694"	"0.36052"	"0.95431"	"0.01358"	"24.04278"	NA
"stick"	"3"	"0.1"	"0.02"	"1"	"19"	"max"	"0.43549"	"0.30155"	"0.31665"	"0.29261"	"0.83835"	"0.03105"	"17.42556"	NA
"stick"	"3"	"0.1"	"0.02"	"1"	"20"	"RDB"	"0.87893"	"0.10616"	"0.13853"	"0.11225"	"0.90113"	"0.02418"	"19.42671"	NA
"stick"	"3"	"0.1"	"0.02"	"1"	"21"	"RDB"	"1.91268"	"0.03637"	"0.06076"	"0.04969"	"0.97236"	"0.01222"	"24.88699"	NA
"stick"	"3"	"0.1"	"0.02"	"1"	"22"	"MLE"	"0.42538"	"0.24263"	"0.22863"	"0.25009"	"0.97269"	"0.00956"	"26.84747"	NA
"stick"	"3"	"0.1"	"0.02"	"1"	"23"	"MLE"	"0.46395"	"0.23692"	"0.22514"	"0.27071"	"0.99612"	"0.00371"	"34.41561"	NA
"stick"	"3"	"0.1"	"0.02"	"1"	"24"	"MLE"	"0.27439"	"0.4983"	"0.47057"	"0.41029"	"0.9895"	"0.0047"	"32.53725"	NA
"stick"	"3"	"0.1"	"0.02"	"1"	"25"	"MLE"	"0.59254"	"0.21571"	"0.16252"	"0.15784"	"0.83694"	"0.02619"	"18.78832"	NA
"stick"	"3"	"0.1"	"0.02"	"1"	"26"	"MLE"	"0.44486"	"0.2064"	"0.24408"	"0.25133"	"0.85323"	"0.0268"	"18.60416"	NA
"stick"	"3"	"0.1"	"0.02"	"1"	"27"	"MLE"	"1.39223"	"0.0613"	"0.07037"	"0.06603"	"0.9879"	"0.00707"	"29.26832"	NA
"stick"	"3"	"0.1"	"0.02"	"1"	"28"	"RDB"	"0.99437"	"0.11247"	"0.09552"	"0.11007"	"0.96464"	"0.01441"	"23.56549"	NA
"stick"	"3"	"0.1"	"0.02"	"1"	"29"	"MLE"	"1.30462"	"0.07362"	"0.07057"	"0.08031"	"0.79719"	"0.03302"	"16.93349"	NA
"stick"	"3"	"0.1"	"0.02"	"1"	"30"	"MLE"	"0.54408"	"0.18042"	"0.17145"	"0.16665"	"0.92821"	"0.01673"	"22.37235"	NA
"stick"	"3"	"0.1"	"0.02"	"1"	"31"	"max"	"0.43137"	"0.29578"	"0.29443"	"0.28463"	"0.72648"	"0.04119"	"15.16551"	NA
"stick"	"3"	"0.1"	"0.02"	"1"	"32"	"MLE"	"1.75637"	"0.05634"	"0.05378"	"0.05689"	"0.96769"	"0.01335"	"24.17657"	NA
"stick"	"3"	"0.1"	"0.02"	"1"	"33"	"MLE"	"0.59379"	"0.1695"	"0.16603"	"0.159"	"0.96759"	"0.01081"	"25.86584"	NA
"stick"	"3"	"0.1"	"0.02"	"1"	"34"	"MLE"	"0.52861"	"0.1939"	"0.20358"	"0.17215"	"0.90721"	"0.01988"	"20.99263"	NA
"stick"	"3"	"0.1"	"0.02"	"1"	"35"	"MLE"	"1.76426"	"0.05606"	"0.05286"	"0.05323"	"0.98685"	"0.00785"	"28.42725"	NA
"stick"	"3"	"0.1"	"0.02"	"1"	"36"	"max"	"0.44372"	"0.29059"	"0.26931"	"0.33408"	"0.76626"	"0.03958"	"15.48473"	NA
"stick"	"3"	"0.1"	"0.02"	"1"	"37"	"RDB"	"7.76192"	"0.01385"	"0.0102"	"0.01174"	"0.99094"	"0.00652"	"29.91452"	NA
"stick"	"3"	"0.1"	"0.02"	"1"	"38"	"MLE"	"0.63507"	"0.19119"	"0.12955"	"0.12761"	"0.96496"	"0.01177"	"25.18455"	NA
