"model"	"n.muts"	"coes"	"sigma"	"u.mean"	"d.hat.MLE"	"u.hats.1"	"u.hats.2"	"u.hats.3"	"R2.stick"	"sig.stick"	"lnL.stick"	"P.stick"	"s.mean"	"s.hats.1"	"s.hats.2"	"s.hats.3"	"R2.mult"	"sig.mult"	"lnL.mult"	"P.mult"	"w.mean"	"w.hats.1"	"w.hats.2"	"w.hats.3"	"R2.add"	"sig.add"	"lnL.add"	"P.add"
"stick"	3	-0.328750659909565	0.0613900315365754	-0.376393274995923	0.836960526091496	-0.3781	-0.37943	-0.37165	0.98476	0.04828	13.89456	-0.73624	-0.45674344472351	-0.46643	-0.46218	-0.44163	0.62761	0.23862	1.11168	-12.24583	-0.416633369207394	-0.42172	-0.42027	-0.40791	0.9127	0.11553	6.91403	-3.37741
"stick"	3	-0.0977823044871911	0.242216257785913	-0.0298833742053045	3.45285010599923	8e-04	-0.03602	-0.05443	-0.1561	0.27461	-0.01235	-4.77409	-0.127976278931873	-0.02609	-0.15453	-0.2033	-0.04228	0.26074	0.40224	-7.95324	-0.106209424975202	0.00035	-0.12771	-0.19126	-0.1391	0.27258	0.04694	-5.15831
"stick"	3	-0.419682899769396	0.199214454332832	-0.192899473604255	2.72288628500289	-0.16894	-0.19256	-0.2172	0.92065	0.14995	4.82789	-2.62023	-0.361557862143032	-0.37599	-0.18025	-0.52844	-0.46345	0.64397	-6.83068	-5.02709	-0.611496748800382	-0.5343	-0.62573	-0.67446	0.89532	0.17223	3.71994	-2.03972
"stick"	3	-0.0839178235968575	0.0520334216416813	-0.552627773926835	0.113913421169996	-0.56897	-0.77821	-0.31071	0.83589	0.03968	15.46361	-1.88319	-0.105503290750352	-0.10146	-0.13476	-0.08029	0.64391	0.05845	12.36506	-1.79662	-0.0948916080790883	-0.09219	-0.12444	-0.06805	0.72626	0.05125	13.41709	-1.40342
"stick"	3	-0.394304508203641	0.134274447802454	-0.303451177769225	1.43274731730812	-0.29607	-0.31994	-0.29435	0.94563	0.12254	6.44332	-1.08859	-0.139273012390317	-0.11722	-0.15691	-0.14369	-1.27647	0.7929	-8.49505	-7.18887	-0.543828529287743	-0.54159	-0.56647	-0.52342	0.89734	0.16838	3.90089	-0.5105
"stick"	3	-0.346331734606065	0.142366701213177	-0.0756435512842363	5.61005581116645	-0.06116	-0.09639	-0.06938	0.97925	0.0551	12.83795	-1.70783	-0.474679434882026	-0.29124	-0.53971	-0.59308	0.54539	0.25788	0.49054	-7.31091	-0.449504186321081	-0.36819	-0.56861	-0.41172	0.97503	0.06044	12.09778	-1.28808
"stick"	3	-0.376561625057366	0.167755856527947	-0.273152650342662	1.49416810966329	-0.32418	-0.25686	-0.23842	0.86721	0.18397	3.19251	-3.57302	-0.353067476127347	-0.31509	-0.24292	-0.5012	0.0592	0.48968	-4.63945	-6.3998	-0.503493894146135	-0.59667	-0.50198	-0.41183	0.82472	0.21136	2.08203	-3.04729
"stick"	3	-0.242390781652648	0.174915892246645	-0.138019270370736	2.01605561180072	-0.11923	-0.16019	-0.13463	0.74047	0.15471	4.57814	-2.06515	-0.634798161370354	-0.65561	-0.69692	-0.55186	-0.47643	0.369	-2.37594	-2.74739	-0.311941421589065	-0.2801	-0.36391	-0.29182	0.72678	0.15874	4.37245	-1.95332
"stick"	3	-0.490152306482196	0.0911561219836585	-0.672357739547312	0.666843871277208	-0.7141	-0.73079	-0.57218	0.99125	0.06709	11.26216	-1.36746	-0.23955507450512	-0.23018	-0.27895	-0.20954	-0.82748	0.96956	-10.10423	-5.23674	-0.731973908911192	-0.7825	-0.7768	-0.63661	0.82934	0.29629	-0.62006	-8.22888
"stick"	3	-0.351101892150473	0.174436714383774	-0.361815766727689	1.00631590338059	-0.32936	-0.37799	-0.3781	0.92421	0.12876	6.04699	-2.54383	-0.418131970585708	-0.39623	-0.57517	-0.28299	0.3951	0.36376	-2.26146	-9.02447	-0.477505697842437	-0.46742	-0.4771	-0.488	0.85665	0.17708	3.4977	-2.43923
"stick"	3	-0.0721982976072468	0.196698186919093	-0.340639434660879	0.395282823358425	-0.89457	-0.53107	0.40373	0.11966	0.21094	2.09801	-7.19822	-0.107773767536932	-0.26053	-0.18106	0.11827	0.70714	0.12166	6.5005	-3.3127	-0.103185412058923	-0.26731	-0.17163	0.12939	0.73816	0.11504	6.9483	-2.95758
"stick"	3	-0.0669828561716713	0.212457953195553	-0.0583241622425437	0.785789558931331	-0.05573	-0.2642	0.14496	0.48778	0.12802	6.09299	-2.36401	-0.0396662893962506	-0.0424	-0.20158	0.12498	0.55208	0.11972	6.62952	-2.41371	-0.0416727970873715	-0.04344	-0.20162	0.12004	0.52203	0.12367	6.36984	-2.38274
"stick"	3	-0.480933039658703	0.0778170704143122	-0.398757700638317	1.27379516460492	-0.40497	-0.35058	-0.44073	0.98547	0.07616	10.24748	-2.57512	-0.236327575495935	-0.2411	-0.16784	-0.30005	-1.02291	0.89852	-9.49545	-4.85706	-0.68455978593093	-0.69138	-0.62884	-0.73345	0.90546	0.19425	2.75747	-6.34103
