"model"	"n.muts"	"coes"	"sigma"	"u.mean"	"d.hat.max"	"u.hats.1"	"u.hats.2"	"u.hats.3"	"u.hats.4"	"R2.stick"	"sig.stick"	"lnL.stick"	"P.stick"	"s.mean"	"s.hats.1"	"s.hats.2"	"s.hats.3"	"s.hats.4"	"R2.mult"	"sig.mult"	"lnL.mult"	"P.mult"	"w.mean"	"w.hats.1"	"w.hats.2"	"w.hats.3"	"w.hats.4"	"R2.add"	"sig.add"	"lnL.add"	"P.add"
"stick"	4	-0.0995663923677057	0.0592417396255769	-0.55368273930296	0.1	-0.46357	-0.65093	-0.76143	-0.3388	0.34262	0.09136	16.58333	-14.80236	-0.13499683344943	-0.12922	-0.15701	-0.17034	-0.08342	0.85966	0.04222	28.93662	-1.71054	-0.113038758538352	-0.10601	-0.13194	-0.1467	-0.0675	0.8721	0.0403	29.67925	-4.1596
"stick"	4	-0.399722164100967	0.177510073699523	-0.371903183876613	1.06874621682504	-0.42378	-0.2735	-0.42623	-0.3641	0.94343	0.16516	7.11008	-1.44291	-0.386255638729595	-0.41486	-0.3628	-0.37434	-0.39303	-0.25653	0.77843	-17.69538	-1.06346	-0.646330808192646	-0.70969	-0.52505	-0.7146	-0.63598	0.75733	0.34209	-4.54016	-10.05211
"stick"	4	-0.467403985664714	0.176095730392262	-0.347289846579988	1.46495197391919	-0.2711	-0.37426	-0.38581	-0.35799	0.9506	0.18847	4.99783	-1.5864	-0.352739196364318	-0.36426	-0.22602	-0.49804	-0.32263	-0.78881	1.13414	-23.71704	-0.67514	-0.80505800180667	-0.66376	-0.86531	-0.85466	-0.83649	0.77212	0.4048	-7.23324	-7.7975
"stick"	4	-0.104740188841242	0.105792343325447	-0.58441802853892	0.101648552352169	-0.69409	-0.72989	-0.64357	-0.27013	0.1565	0.15856	7.76244	-10.60251	-0.138257458495176	-0.0845	-0.18223	-0.18811	-0.09819	0.41694	0.13183	10.71666	-10.75414	-0.116091279643897	-0.08921	-0.14861	-0.15186	-0.07468	0.43493	0.12978	10.96739	-10.22543
"stick"	4	-0.127417585032526	0.175473729672376	-0.0629908453885107	2.3915008239746	-0.07232	-0.04886	-0.03735	-0.09343	0.49105	0.15539	8.08647	-4.36713	-0.337190307666444	-0.36434	-0.29172	-0.27402	-0.41868	-0.59464	0.27505	-1.05002	-2.88754	-0.168257312982016	-0.1925	-0.13046	-0.10333	-0.24673	0.47962	0.15712	7.90872	-3.93896
"stick"	4	-0.346341984835453	0.0615736452164128	-0.377748141738284	0.91083435376684	-0.36634	-0.36851	-0.40071	-0.37543	0.97719	0.08681	17.40114	-3.72883	-0.41479036653252	-0.37772	-0.40434	-0.41433	-0.46277	0.15333	0.52893	-11.51252	-1.08597	-0.542995604197532	-0.51735	-0.54429	-0.55856	-0.55178	0.81665	0.24614	0.72663	-10.5301
"stick"	4	-0.400717474869452	0.201336860191077	-0.273545436162664	1.64314087946478	-0.35952	-0.25093	-0.28358	-0.20015	0.95142	0.14627	9.05358	-2.65007	-0.228431774809244	-0.40624	-0.21236	-0.22699	-0.06814	-0.98439	0.9349	-20.62599	-4.15717	-0.631160837056968	-0.78955	-0.59433	-0.66627	-0.47449	0.85443	0.25322	0.27314	-4.64371
"stick"	4	-0.375244155735709	0.163660129299387	-0.45817701843104	0.814797904134766	-0.46769	-0.45018	-0.51507	-0.39977	0.90137	0.22145	2.41817	-5.94338	-0.366969870001847	-0.48277	-0.39101	-0.3443	-0.24979	-0.0395	0.7189	-16.42247	-2.91698	-0.625231192009998	-0.67272	-0.62932	-0.61925	-0.57963	0.71649	0.37544	-6.02859	-4.44912
"stick"	4	-0.192635368462652	0.114284692448564	-0.255543666214857	0.740421360758465	-0.16269	-0.30583	-0.30136	-0.2523	0.85252	0.11174	13.36172	-2.79237	-0.400061538756482	-0.33906	-0.45868	-0.45848	-0.34403	0.36963	0.23102	1.74092	-12.2882	-0.263518461124183	-0.18428	-0.31384	-0.30708	-0.24888	0.75987	0.14259	9.46205	-1.99903
"stick"	4	-0.0665705700521357	0.167621751665138	-0.200451737714351	0.394942451930874	-0.10102	-0.39781	-0.01888	-0.2841	0.16419	0.17511	6.17434	-9.97288	-0.11272598048956	-0.05764	-0.1927	-0.06236	-0.13821	-0.06016	0.19722	4.27217	-3.8797	-0.0956796406015413	-0.04507	-0.17663	-0.0383	-0.12272	0.0792	0.1838	5.39959	-5.20954
