"model"	"n.muts"	"coes"	"sigma"	"u.mean"	"d.hat.MLE"	"u.hats.1"	"u.hats.2"	"u.hats.3"	"u.hats.4"	"u.hats.5"	"R2.stick"	"sig.stick"	"lnL.stick"	"P.stick"	"s.mean"	"s.hats.1"	"s.hats.2"	"s.hats.3"	"s.hats.4"	"s.hats.5"	"R2.mult"	"sig.mult"	"lnL.mult"	"P.mult"	"w.mean"	"w.hats.1"	"w.hats.2"	"w.hats.3"	"w.hats.4"	"w.hats.5"	"R2.add"	"sig.add"	"lnL.add"	"P.add"
"stick"	5	-0.392411443742458	0.181334881286602	-0.400231715326389	0.958811453816902	-0.31207	-0.43601	-0.38785	-0.45227	-0.41296	0.97286	0.15306	15.65455	-6.41935	-0.223208340669669	-0.2409	-0.15894	-0.26237	-0.19727	-0.25657	-0.97957	1.30727	-52.98006	-0.33097	-0.774342240677477	-0.68563	-0.81033	-0.75104	-0.85417	-0.77055	0.58994	0.59498	-27.79077	-37.77251
"stick"	5	-0.447794862661976	0.0392826027236879	-0.475128222440044	0.920835451813152	-0.48904	-0.4621	-0.46086	-0.48805	-0.4756	0.99799	0.0524	49.95483	-9.51805	-0.15274123247332	-0.06398	-0.28149	-0.29192	-0.06844	-0.05788	-1.43339	1.82386	-63.63653	-0.85623	-0.98138422413731	-0.99675	-0.96499	-0.96244	-0.9975	-0.98524	0.54078	0.79231	-36.95631	-120.31251
"stick"	5	-0.128422195417806	0.227570757211652	-0.173872800659263	0.798998697910655	-0.13896	-0.09431	-0.20408	-0.32442	-0.1076	0.58383	0.22102	3.89734	-6.12636	-0.25926252896645	-0.24064	-0.16242	-0.2933	-0.42152	-0.17844	0.33051	0.28033	-3.70921	-9.49414	-0.207203447740687	-0.18315	-0.1281	-0.24398	-0.36435	-0.11643	0.45398	0.25317	-0.44759	-2.61351
"stick"	5	-0.0877365911263041	0.13965608458966	-0.0140783854505953	6.52084923449648	-0.015	-0.01991	-0.02554	-0.00203	-0.00791	0.47329	0.12417	22.34886	-20.26878	-0.114386071828168	-0.12893	-0.1591	-0.18285	-0.01976	-0.08128	0.43176	0.12897	21.13459	-20.3558	-0.0938902697689897	-0.10048	-0.13285	-0.16831	-0.01371	-0.05409	0.47291	0.12422	22.33735	-20.21442
"stick"	5	-0.437372948322445	0.207304881769232	-0.377980644747656	1.21268944646101	-0.32768	-0.4206	-0.34888	-0.42604	-0.3667	0.96403	0.20358	6.52843	-2.61563	-0.310042359964026	-0.33748	-0.36929	-0.30263	-0.11533	-0.42547	-0.92479	1.48915	-57.14856	-2.27389	-0.896208157844489	-0.80469	-0.99223	-0.83752	-0.95806	-0.88854	0.60484	0.67473	-31.8161	-26.73945
"stick"	5	-0.496592229034286	0.155171380611137	-0.505170898211118	1.00057497293457	-0.49089	-0.53835	-0.52229	-0.48525	-0.48907	0.98536	0.17191	11.93961	-5.82406	-0.0781357356921321	-0.10951	-0.10714	-0.09854	-0.04572	-0.02976	-1.85392	2.39997	-72.42058	-1.26806	-1.18155315433346	-1.12652	-1.22095	-1.19709	-1.17633	-1.18688	0.50527	0.99924	-44.38175	-51.42231
"stick"	5	-0.305608311062679	0.0653016861760989	-0.333273293413772	0.894270366489643	-0.35137	-0.30815	-0.3168	-0.36246	-0.32758	0.99159	0.05682	47.36348	-7.79176	-0.22426129350482	-0.22868	-0.20384	-0.20658	-0.26843	-0.21377	-0.6019	0.78433	-36.63255	-16.43114	-0.533474581719746	-0.55882	-0.49353	-0.52168	-0.56408	-0.52926	0.70536	0.33638	-9.54142	-53.66602
"stick"	5	-0.245131872489583	0.00280976988142356	-0.248511263391399	0.983141860837784	-0.24957	-0.24865	-0.24757	-0.24853	-0.24823	0.99998	0.00199	154.64392	-7.16396	-0.558552221938415	-0.56116	-0.55878	-0.55698	-0.55778	-0.55806	0.43651	0.3245	-8.39073	-13.23501	-0.381540546784295	-0.38294	-0.3817	-0.38036	-0.3816	-0.38112	0.80538	0.1907	8.61923	-244.96827
"stick"	5	-0.492378067329992	0.114975175180007	-0.514423857982588	0.939412065360283	-0.54061	-0.5259	-0.5174	-0.50983	-0.47837	0.99624	0.08577	34.18774	-3.86013	-0.0700997065457789	-0.08288	-0.07266	-0.06601	-0.06971	-0.05924	-1.82684	2.35267	-71.78367	-1.31987	-1.15926771599465	-1.18955	-1.1902	-1.15565	-1.15917	-1.10177	0.48163	1.00747	-44.64414	-94.65906
"stick"	5	-0.313330492237583	0.0385728952242061	-0.321674148305967	0.96446048589533	-0.32022	-0.31907	-0.33183	-0.31148	-0.32578	0.99742	0.032	65.73743	-4.28812	-0.229503647163585	-0.22959	-0.22031	-0.23787	-0.2131	-0.24664	-0.65225	0.8093	-37.6351	-19.46143	-0.545899084216399	-0.54298	-0.54426	-0.55712	-0.5324	-0.55274	0.72003	0.33314	-9.23143	-82.90682
