"model"	"n.muts"	"coes"	"sigma"	"u.mean"	"d.hat.max"	"u.hats.A"	"u.hats.B"	"u.hats.C"	"u.hats.D"	"R2.stick"	"sig.stick"	"lnL.stick"	"P.stick"	"s.mean"	"s.hats.A"	"s.hats.B"	"s.hats.C"	"s.hats.D"	"R2.mult"	"sig.mult"	"lnL.mult"	"P.mult"	"w.mean"	"w.hats.A"	"w.hats.B"	"w.hats.C"	"w.hats.D"	"R2.add"	"sig.add"	"lnL.add"	"P.add"
"stick"	4	-0.164406465180218	0.0711321299313568	-0.0900713029162625	2.04355837644946	-0.08886	-0.12359	-0.06997	-0.07786	0.88396	0.08415	11.56246	-3.4552	-0.0106720833536297	-0.01085	-0.01501	-0.00784	-0.00899	0.7752	0.11712	8.25616	-5.379	-0.214320156080336	-0.21722	-0.30086	-0.15829	-0.18091	0.78899	0.11347	8.57263	-5.16024
"stick"	4	-0.0726331152254716	0.121423729287926	-0.0640722386924762	2.04355837644946	-0.07314	-0.05653	-0.07587	-0.05075	-1.1349	0.21066	2.38554	-2.62059	-0.00694347798096581	-0.00808	-0.00641	-0.00806	-0.00522	-1.24654	0.2161	2.1307	-2.28792	-0.140781237694257	-0.16357	-0.12944	-0.16376	-0.10636	-1.23512	0.21555	2.15616	-2.32685
"stick"	4	-0.575284397811629	0.13392870494863	-0.54798606740335	1.09132640133717	-0.4492	-0.53008	-0.56245	-0.65022	0.99692	0.08017	12.04632	-0.30332	-0.0825522509010119	-0.09207	-0.10343	-0.06384	-0.07087	-0.27187	1.63037	-18.07744	-11.86897	-1.49524429083649	-1.62643	-1.84648	-1.18433	-1.32374	-0.00668	1.45047	-16.90827	-12.38073
"stick"	4	-0.83417946184054	0.0506054702564143	-0.816452118541255	1.03795658435031	-0.8402	-0.79763	-0.78623	-0.84176	0.99944	0.07068	13.30716	-1.00587	-0.194688396079269	-0.25443	-0.24726	-0.13744	-0.13962	-1.11455	4.34563	-27.88109	-13.87418	-3.0964022025268	-4.03145	-3.88556	-2.20856	-2.26004	-0.59886	3.77876	-26.48335	-13.17251
"stick"	4	-0.113445102830883	0.18802435399266	-0.0510073424165143	2.33980542988754	-0.07083	-0.03794	-0.15034	0.05508	0.76402	0.12982	7.22691	-2.08448	-0.00628412125461356	-0.00916	-0.00504	-0.0174	0.00646	0.80208	0.11889	8.10649	-1.43968	-0.127359666907676	-0.18474	-0.10139	-0.35482	0.1315	0.7987	0.1199	8.02175	-1.48674
"stick"	4	-0.312769936502446	0.148482395743486	-0.305420093817238	1.11025122435504	-0.28802	-0.32375	-0.24273	-0.36717	0.95144	0.13036	7.1854	-4.08135	-0.030587013717301	-0.03414	-0.03737	-0.02278	-0.02805	0.40077	0.45794	-5.37927	-4.04882	-0.594017669770006	-0.65598	-0.72018	-0.44406	-0.55585	0.48838	0.42314	-4.58895	-3.94852
"stick"	4	-0.254375645448454	0.0534650493646041	-0.154672875617668	2.04355837644946	-0.14128	-0.20307	-0.1582	-0.11613	0.9297	0.10939	8.93916	-4.81461	-0.0207362170582315	-0.02052	-0.02854	-0.01947	-0.01441	0.6368	0.24864	0.72798	-7.04566	-0.40992634152912	-0.4023	-0.56212	-0.38832	-0.28696	0.68076	0.23311	1.37306	-6.99116
"stick"	4	-0.358932327467483	0.0956660237861797	-0.229003388205007	2.04355837644946	-0.2045	-0.25574	-0.21751	-0.23827	0.83245	0.27072	-0.12264	-1.57337	-0.0349405178362784	-0.03566	-0.04297	-0.02983	-0.0313	0.23295	0.57924	-7.72892	-5.19536	-0.677211537884202	-0.68089	-0.82551	-0.58522	-0.61723	0.33053	0.54114	-7.04858	-4.69718
"stick"	4	-0.855733939737547	0.235699190001469	-0.634347160894011	2.04355837644946	-0.71618	-0.70887	-0.61016	-0.50218	0.80673	1.42029	-16.69797	-4.58651	-0.213838453536007	-0.27723	-0.27561	-0.15804	-0.14448	-1.30875	4.90882	-29.09972	-11.43739	-3.34154835730174	-4.31242	-4.27938	-2.52516	-2.24923	-0.78147	4.31199	-27.80338	-14.95322
"stick"	4	-0.113119104807265	0.185784799628891	-0.0182791386628512	2.04355837644946	0.03862	-0.05227	-0.04328	-0.01619	-3.41746	0.25534	0.4621	-3.89901	-0.00181143660064428	0.0047	-0.00599	-0.0044	-0.00156	-3.38989	0.25454	0.4934	-3.44204	-0.037087829530474	0.0941	-0.12074	-0.08976	-0.03194	-3.39162	0.25459	0.49143	-3.48526
"stick"	4	-0.949050709267613	0.233001832559239	-0.815792958349886	1.31837505364946	-0.85274	-0.8411	-0.81122	-0.75811	0.99639	0.23704	1.20599	-0.23819	-0.279350892219689	-0.36228	-0.36001	-0.20037	-0.19476	-1.32927	6.01786	-31.1367	-12.33141	-4.00754062657432	-5.19354	-5.14411	-2.90102	-2.79149	-0.62644	5.02864	-29.34087	-8.38481
"stick"	4	-0.396415246638935	0.24335162632633	-0.141916354236283	3.3872369824781	-0.13611	-0.12565	-0.0863	-0.21961	0.93095	0.18693	3.58104	-2.18983	-0.0320614992584043	-0.03423	-0.03184	-0.0205	-0.04167	0.80075	0.31753	-1.71768	-1.48743	-0.619990091353761	-0.65101	-0.60457	-0.39351	-0.83088	0.84316	0.28172	-0.52085	-1.6157
"stick"	4	-0.861939360445831	0.0241500000120141	-0.849051308967514	1.02927924039488	-0.84997	-0.85025	-0.84849	-0.84749	0.99997	0.01623	28.02211	-0.93137	-0.213668806199582	-0.27614	-0.27619	-0.15111	-0.15124	-1.24795	4.76375	-28.79973	-10.92784	-3.3246121936311	-4.26975	-4.27073	-2.37815	-2.37981	-0.68469	4.12396	-27.35752	-17.70457
"stick"	4	-0.397967859939672	0.170092709711753	-0.250460174640593	2.04355837644946	-0.28457	-0.2847	-0.22634	-0.20623	0.8737	0.29037	-0.82343	-0.05805	-0.0386242678319681	-0.0472	-0.04722	-0.03121	-0.02886	0.4956	0.58028	-7.74697	-1.27034	-0.747435458563563	-0.90736	-0.90776	-0.6108	-0.56382	0.55678	0.54395	-7.10046	-1.06277
"stick"	4	-0.120285891031381	0.0827892266097479	-0.0782903795037529	2.08037356469884	-0.10636	-0.09302	-0.09066	-0.02312	0.85078	0.08439	11.53418	-3.44003	-0.0092062222192496	-0.01267	-0.01114	-0.00996	-0.00305	0.74726	0.10982	8.89942	-4.53696	-0.185365460618416	-0.25493	-0.22396	-0.20182	-0.06074	0.75973	0.10708	9.15242	-4.37002
"stick"	4	-0.212733736389782	0.0495618679560721	-0.123816205641685	2.04355837644946	-0.13081	-0.12699	-0.11931	-0.11815	0.95079	0.07011	13.38762	-4.12792	-0.0158444222751344	-0.01785	-0.01737	-0.01406	-0.0141	0.72722	0.16507	4.82473	-6.7348	-0.315174867936222	-0.35286	-0.34334	-0.28204	-0.28246	0.76057	0.15465	5.47677	-6.56478
"stick"	4	-0.486711201525759	0.205869046912994	-0.470942406580862	1.06123644410394	-0.53463	-0.51433	-0.38094	-0.45386	0.96023	0.20632	2.59401	-1.78338	-0.057281654819111	-0.07495	-0.07274	-0.0415	-0.03993	0.14136	0.95862	-12.76682	-3.64367	-1.07740728317787	-1.40228	-1.35875	-0.78122	-0.76737	0.28242	0.87635	-11.86953	-3.33425
"stick"	4	-0.905854053760413	0.115419286768883	-0.841291502001642	1.13406477867163	-0.82381	-0.8591	-0.79608	-0.88617	0.99797	0.15595	5.3925	-2.99415	-0.241976890172336	-0.30933	-0.31553	-0.16998	-0.17307	-1.38553	5.34679	-29.95434	-9.95186	-3.63006638097557	-4.59278	-4.72493	-2.56039	-2.64217	-0.7277	4.55024	-28.34119	-13.9456
"stick"	4	-0.132232548960019	0.0790879209525883	-0.0795499310363998	2.04355837644946	-0.06818	-0.11685	-0.06714	-0.06604	0.84015	0.07897	12.1971	-1.39333	-0.00928789649417938	-0.00831	-0.0139	-0.00747	-0.00748	0.68512	0.11084	8.80747	-1.82585	-0.186833389285611	-0.16636	-0.27914	-0.15089	-0.15095	0.70374	0.10751	9.11218	-1.78537
"stick"	4	-0.354851941112429	0.0662019261508249	-0.231233272214887	2.04355837644946	-0.26571	-0.25553	-0.20599	-0.19771	0.84131	0.27879	-0.41645	-2.74638	-0.0353071356727592	-0.04358	-0.04212	-0.0279	-0.02763	0.29759	0.58655	-7.85437	-6.37455	-0.684576025720797	-0.83951	-0.81073	-0.54762	-0.54045	0.38226	0.55006	-7.21214	-5.83118
"stick"	4	-0.950641986425035	0.209508555184584	-0.721936864180199	2.04355837644946	-0.85818	-0.81705	-0.55138	-0.66113	0.7519	1.92287	-19.72756	-6.66355	-0.28708802122465	-0.37971	-0.37136	-0.1916	-0.20568	-1.7632	6.41715	-31.77912	-7.74622	-4.14331184005325	-5.55027	-5.36204	-2.68365	-2.97729	-1.099	5.59296	-30.40447	-8.93092
"stick"	4	-0.59584783037426	0.240007339336444	-0.490047836990855	1.33273569253107	-0.50751	-0.5585	-0.38846	-0.50572	0.97281	0.26945	-0.07561	-0.54597	-0.0887120470154822	-0.10931	-0.11693	-0.05836	-0.07025	-0.22113	1.80562	-19.0984	-4.14224	-1.58726205220359	-1.93163	-2.0803	-1.05242	-1.2847	0.04859	1.59378	-17.85048	-3.88112
"stick"	4	-0.498648212070111	0.236082463816274	-0.165179214171369	4.21102618200103	-0.21091	-0.13556	-0.13789	-0.17635	0.9085	0.34863	-2.65199	-0.94162	-0.0535796955144515	-0.07244	-0.05142	-0.0429	-0.04756	0.60034	0.72861	-10.02317	-1.44176	-0.987979762798319	-1.32605	-0.91658	-0.79867	-0.91062	0.72544	0.6039	-8.14598	-1.17086
"stick"	4	-0.420721045241226	0.136151794693433	-0.272127097118034	2.04355837644946	-0.27801	-0.31791	-0.25671	-0.23588	0.87327	0.30537	-1.32723	-2.50209	-0.0447847160554983	-0.05089	-0.05709	-0.03666	-0.03451	0.23179	0.75184	-10.33708	-6.64643	-0.857060860074732	-0.963	-1.08448	-0.71242	-0.66835	0.34151	0.69608	-9.56652	-6.02078
"stick"	4	-0.161055426916573	0.118458434764761	-0.108940675108513	2.07762417567175	-0.17778	-0.11193	-0.10221	-0.04385	0.63843	0.17927	3.99948	-3.54318	-0.0133439616445812	-0.02158	-0.01417	-0.01171	-0.00591	0.40347	0.23026	1.49612	-5.31004	-0.267358360227111	-0.4331	-0.28298	-0.23616	-0.11721	0.43058	0.22497	1.72868	-5.10961
"stick"	4	-0.101616208860651	0.163207487843465	-0.0281378752336303	2.18397839556653	0.00798	-0.03878	-0.08225	0.00049	-0.38625	0.22983	1.51496	-3.37974	-0.00329586498373188	0.00084	-0.00469	-0.00884	-5e-04	-0.25624	0.21878	2.00736	-3.42148	-0.0666940391717908	0.01722	-0.0946	-0.18045	-0.00895	-0.26978	0.21996	1.95373	-3.42373
"stick"	4	-0.155323849245906	0.211767787579447	-0.0523209663539694	2.04355837644946	-0.16467	0.025	-0.04438	-0.02523	0.40697	0.13935	6.51858	-2.08799	-0.0054227425896036	-0.01812	0.00363	-0.00466	-0.00254	0.45743	0.13329	6.96323	-1.9226	-0.110537603380188	-0.36681	0.07136	-0.09482	-0.05188	0.45333	0.13379	6.9256	-1.93889
"stick"	4	-0.995291543402709	0.223491581564303	-0.94211232643175	1.0946801759719	-1.0168	-0.86253	-0.89689	-0.99224	0.99634	0.26162	0.21918	-0.03698	-0.328824310680856	-0.43661	-0.41108	-0.22777	-0.23983	-1.74545	7.16981	-32.88817	-15.20746	-4.48504647294984	-6.09616	-5.48341	-3.06686	-3.29376	-0.93571	6.02034	-31.14082	-8.50726
"stick"	4	-0.0561742721940391	0.0551228233380243	-0.031302864383481	2.04355837644946	-0.06441	-0.00972	-0.01407	-0.03701	0.76127	0.03539	20.22451	-0.65045	-0.00329500353839635	-0.00682	-0.00106	-0.00144	-0.00386	0.72326	0.0381	19.48588	-0.62236	-0.067009031693363	-0.13856	-0.02155	-0.02942	-0.07852	0.72721	0.03783	19.55779	-0.62496
"stick"	4	-0.537802019447554	0.171002206159756	-0.36696020397549	2.04355837644946	-0.49506	-0.34897	-0.2896	-0.33422	0.82528	0.5111	-6.47747	-0.97965	-0.0697133023409618	-0.10077	-0.07573	-0.04921	-0.05315	-0.08499	1.27362	-15.60804	-5.02567	-1.29557406467017	-1.87126	-1.3841	-0.92132	-1.00561	0.08321	1.17075	-14.76583	-4.6431
"stick"	4	-0.451501962647308	0.139158261707053	-0.299964883985977	2.04355837644946	-0.34784	-0.32812	-0.26048	-0.26341	0.86438	0.34465	-2.53719	-1.64518	-0.0524351876317242	-0.06666	-0.0636	-0.03807	-0.04142	0.06086	0.90694	-12.21261	-4.5869	-0.992050161045634	-1.25161	-1.1915	-0.73366	-0.79142	0.20792	0.83291	-11.36114	-4.38627
"stick"	4	-0.251623107318301	0.23764402262168	-0.0828119269326297	3.52371981350293	-0.16113	-0.01599	-0.09265	-0.06149	0.94004	0.11388	8.53685	-0.09474	-0.017004945442289	-0.03366	-0.00382	-0.0182	-0.01235	0.90232	0.14535	6.09657	-0.28778	-0.337631949096865	-0.66702	-0.07381	-0.36371	-0.24598	0.91386	0.13649	6.7255	-0.21549
"stick"	4	-0.313707073847763	0.129409649816807	-0.223081476629143	2.04355837644946	-0.2594	-0.29382	-0.20065	-0.13846	0.60936	0.38849	-3.73462	-4.20543	-0.0331008427743705	-0.0407	-0.04495	-0.02713	-0.01962	-0.08675	0.64798	-8.85045	-5.12769	-0.644645940856808	-0.78856	-0.87421	-0.53303	-0.38278	0.01078	0.61822	-8.38031	-5.09626
"stick"	4	-0.159301182709169	0.121792326215655	-0.0643891374347815	2.51757881590171	-0.07598	-0.0668	-0.06197	-0.0528	0.80808	0.12771	7.39037	-0.56565	-0.00911206192951911	-0.01103	-0.00968	-0.00868	-0.00706	0.79245	0.13281	6.99904	-0.5835	-0.183142254001196	-0.22097	-0.19399	-0.17473	-0.14288	0.79596	0.13168	7.08435	-0.58063
"stick"	4	-0.185351419984363	0.248170475766528	-0.0738135434804628	2.04355837644946	-0.02763	-0.08901	-0.10321	-0.0754	0.04039	0.21735	2.07307	-2.70596	-0.00876675444941402	-0.00351	-0.01168	-0.01099	-0.00889	0.34722	0.17926	3.99952	-2.68449	-0.175937710539595	-0.06997	-0.23217	-0.22317	-0.17844	0.31816	0.18321	3.78172	-2.69001
"stick"	4	-0.260532839852385	0.211056563886814	-0.16788263012041	2.04355837644946	-0.16192	-0.17174	-0.14802	-0.18985	0.69412	0.2154	2.16311	-0.86706	-0.0221234099962721	-0.02331	-0.02462	-0.01749	-0.02307	0.31477	0.3224	-1.86969	-0.65195	-0.438189283917773	-0.45765	-0.48366	-0.35051	-0.46094	0.36608	0.31009	-1.48052	-0.62262
