"model"	"n.muts"	"coes"	"sigma"	"u.mean"	"d.hat.max"	"u.hats.A"	"u.hats.B"	"u.hats.C"	"u.hats.D"	"R2.stick"	"sig.stick"	"lnL.stick"	"P.stick"	"s.mean"	"s.hats.A"	"s.hats.B"	"s.hats.C"	"s.hats.D"	"R2.mult"	"sig.mult"	"lnL.mult"	"P.mult"	"w.mean"	"w.hats.A"	"w.hats.B"	"w.hats.C"	"w.hats.D"	"R2.add"	"sig.add"	"lnL.add"	"P.add"
"stick"	4	-0.134732427017298	0.171472489833832	-0.0875886623777396	2.04355837644946	-0.10834	-0.09872	-0.1097	-0.03359	0.94627	0.05466	15.87715	-0.84814	-0.0105680839513863	-0.01361	-0.01249	-0.01215	-0.00403	0.93342	0.06084	14.80552	-0.50855	-0.211747741135794	-0.27176	-0.24911	-0.24549	-0.08063	0.93988	0.05782	15.3156	-0.53643
"stick"	4	-1.97845043903217	0.159212283848319	-1.60970685448358	2.04355837644946	-1.84111	-1.84867	-1.37454	-1.37452	0.8731	8.35363	-34.41635	-2.53116	-0.0876898921142864	0	0	-0.17507	-0.17569	-0.55587	29.25051	-46.94836	-5.18972	-25.5292987472721	-35.03008	-35.1032	-16.01755	-15.96637	-2.70094	45.11305	-51.2811	-18.76485
"stick"	4	-1.30183838087833	0.110595484264195	-1.01803628923028	2.04355837644946	-1.17323	-1.14004	-0.8679	-0.89098	0.83676	3.23068	-24.91632	-4.92505	-0.308408677305186	-0.42984	-0.41734	-0.19262	-0.19384	0.47723	5.78144	-30.73592	-8.40246	-8.59191686107393	-11.58867	-11.38634	-5.68437	-5.70829	-1.68463	13.1016	-38.91673	-17.74131
"stick"	4	-0.406253383005969	0.164870363718364	-0.25596131804068	2.04355837644946	-0.27723	-0.19435	-0.23822	-0.31404	0.84541	0.29894	-1.11422	-4.84434	-0.0423772128890597	-0.05201	-0.03997	-0.03347	-0.04406	0.11845	0.71385	-9.81858	-7.63989	-0.809343896728782	-0.98216	-0.74348	-0.65185	-0.85989	0.26154	0.65335	-8.93302	-7.65773
"stick"	4	-1.03790209504077	0.0355925784097053	-0.780427462363301	2.04355837644946	-0.87305	-0.88126	-0.67235	-0.69505	0.85359	1.81429	-19.14632	-4.77574	-0.394487106162563	-0.50815	-0.50974	-0.27911	-0.28094	-2.00904	8.22504	-34.26122	-10.23376	-5.01032652973921	-6.53663	-6.57844	-3.44007	-3.48617	-1.09804	6.86801	-32.45813	-21.68472
"stick"	4	-1.0914769632509	0.0772016223054379	-0.8241522224973	2.04355837644946	-0.9263	-0.8963	-0.7363	-0.73771	0.85777	1.98837	-20.06252	-3.82957	-0.493053519283709	-0.62928	-0.62443	-0.35818	-0.36031	-2.34831	9.64735	-35.85622	-10.70055	-5.59175646012811	-7.3845	-7.22465	-3.86085	-3.89703	-1.20464	7.82823	-33.76674	-14.96415
"stick"	4	-1.23826302428497	0.0481888627982698	-0.958786469824952	2.04355837644946	-1.0758	-1.09689	-0.84421	-0.81824	0.84111	2.81186	-23.52786	-4.60056	-0.274895392726992	-0.37315	-0.38064	-0.17414	-0.17165	0.496	5.0079	-29.29955	-8.97886	-7.55184334524114	-9.98838	-10.11173	-5.07667	-5.03059	-1.52424	11.20741	-37.35514	-17.27316
"stick"	4	-0.170313293719664	0.0119013351504691	-0.0955722650522882	2.04355837644946	-0.10165	-0.09524	-0.09361	-0.0918	0.9728	0.0376	19.61688	-4.31633	-0.0115246318637387	-0.01291	-0.01214	-0.01059	-0.01045	0.84145	0.09078	10.8033	-8.02324	-0.23093520987412	-0.25747	-0.24203	-0.21358	-0.21067	0.86036	0.0852	11.4385	-7.87643
"stick"	4	-0.841138207225595	0.0236483372282237	-0.612449954552304	2.04355837644946	-0.68524	-0.68073	-0.5401	-0.54373	0.85382	1.162	-14.69077	-4.76539	-0.200467829800084	-0.25918	-0.25823	-0.14161	-0.14285	-1.1995	4.50736	-28.2465	-12.50593	-3.17137960773693	-4.07388	-4.05435	-2.268	-2.28929	-0.6726	3.93058	-26.87726	-17.14152
"stick"	4	-1.72402184444945	0.139458636578638	-1.3819509252415	2.04355837644946	-1.54839	-1.58662	-1.19474	-1.19806	0.87107	5.8075	-30.78088	-3.7462	-0.718837748269213	-0.90323	-0.92599	-0.52468	-0.52144	0.24164	14.08497	-39.64047	-6.22103	-17.5522602965878	-23.74148	-24.05849	-11.20722	-11.20186	-2.34763	29.59289	-47.06473	-19.55127
"stick"	4	-1.2152755355346	0.0397656565182842	-0.932038700723491	2.04355837644946	-1.05113	-1.04131	-0.81606	-0.81966	0.86259	2.50883	-22.38754	-4.32474	-0.262897211628512	-0.36097	-0.3575	-0.1665	-0.16663	0.50484	4.76254	-28.7972	-9.07205	-7.22010910548256	-9.59643	-9.53919	-4.87149	-4.87332	-1.45366	10.60169	-36.79952	-27.13028
"stick"	4	-0.55046866023913	0.226341990986839	-0.355463947484529	2.04355837644946	-0.39055	-0.35467	-0.3329	-0.34374	0.88124	0.45355	-5.28284	-1.28512	-0.0686790130037602	-0.08566	-0.07928	-0.05065	-0.05913	0.04813	1.28402	-15.68936	-3.75529	-1.27306125695953	-1.56945	-1.4459	-0.96575	-1.11114	0.215	1.16605	-14.72561	-3.03372
"stick"	4	-1.15669742728351	0.214353829273023	-0.861245604842269	2.04355837644946	-0.96637	-0.94387	-0.85736	-0.67738	0.90133	1.89497	-19.5814	-3.01349	-0.22521250196233	-0.30854	-0.3009	-0.15722	-0.13419	0.542	4.08259	-27.2567	-8.36329	-6.37447565055583	-8.44555	-8.3192	-4.59054	-4.14261	-1.30664	9.16202	-35.34005	-11.3443
"stick"	4	-1.17296539914096	0.11297674610978	-0.885100444467346	2.04355837644946	-0.99865	-1.018	-0.73934	-0.78441	0.88033	2.1577	-20.87982	-3.06022	-0.239470997516732	-0.32449	-0.33097	-0.14839	-0.15403	0.5246	4.30066	-27.77706	-9.43233	-6.58229232957069	-8.67743	-8.7857	-4.37888	-4.48716	-1.32276	9.50616	-35.70878	-14.27462
"stick"	4	-0.651349893456791	0.0662256834912114	-0.453152483335491	2.04355837644946	-0.50356	-0.52381	-0.39477	-0.39047	0.88192	0.63352	-8.62476	-7.84238	-0.107711961884209	-0.1358	-0.13956	-0.07822	-0.07727	-0.48831	2.2492	-21.29511	-10.24778	-1.89789673655805	-2.36739	-2.44138	-1.40007	-1.38275	-0.18459	2.00661	-20.15387	-12.02032
"stick"	4	-0.658030577132013	0.135544817312621	-0.464185492730543	2.04355837644946	-0.51505	-0.52059	-0.44343	-0.37767	0.78958	0.84042	-11.4509	-2.64827	-0.107344098608022	-0.13524	-0.13626	-0.08218	-0.0757	-0.59395	2.31311	-21.57532	-8.83988	-1.90291530677643	-2.37199	-2.39203	-1.49174	-1.3559	-0.31063	2.09749	-20.5968	-7.45539
"stick"	4	-0.988774156465661	0.202649590559304	-0.76369216603644	2.04355837644946	-0.8569	-0.85237	-0.67271	-0.67279	0.73634	2.1574	-20.87842	-2.18021	-0.325611892391756	-0.4219	-0.42098	-0.22805	-0.23152	-1.83407	7.07313	-32.75241	-9.74425	-4.51823764092478	-5.88599	-5.86445	-3.13524	-3.18727	-1.12389	6.12312	-31.3101	-8.15809
"stick"	4	-0.730767516640481	0.0560254811425693	-0.512420297749881	2.04355837644946	-0.56343	-0.55706	-0.47902	-0.45018	0.89575	0.7365	-10.13091	-3.43739	-0.137818680879596	-0.17552	-0.17422	-0.10217	-0.09936	-0.6833	2.95952	-24.03966	-17.82163	-2.34026950872012	-2.94713	-2.92153	-1.77593	-1.71649	-0.30147	2.6023	-22.75336	-11.14235
"stick"	4	-1.15544452253962	0.0744267504778691	-0.88627026236394	2.04355837644946	-0.99679	-1.005	-0.77655	-0.76674	0.83759	2.43083	-22.07173	-4.57111	-0.234113945078141	-0.31949	-0.32219	-0.14854	-0.14623	0.51147	4.21598	-27.57821	-9.57629	-6.42535941514979	-8.47082	-8.51614	-4.38161	-4.33287	-1.38054	9.30657	-35.49659	-20.52781
"stick"	4	-1.74783135821344	0.232364818803035	-1.41902007591389	2.04355837644946	-1.61233	-1.63518	-1.21605	-1.21252	0.84608	6.62705	-32.10098	-2.82268	-0.789377122074289	-0.94636	-0.95996	-0.60729	-0.64391	0.18269	15.27072	-40.44876	-6.32778	-18.3296574240874	-24.90949	-25.09954	-11.62873	-11.68086	-2.40549	31.17134	-47.58438	-15.88898
"stick"	4	-1.89598335992778	0.00214631884591654	-1.53630028329592	2.04355837644946	-1.75148	-1.75176	-1.32029	-1.32167	0.86768	7.55511	-33.41163	-3.21064	-0.0831700455007545	0	0	-0.16625	-0.16644	-0.56922	26.01792	-45.77724	-5.50337	-22.6115669072401	-30.97507	-30.97765	-14.24608	-14.24746	-2.59057	39.35606	-49.91588	-34.14676
"stick"	4	-0.60554568504449	0.118196995172184	-0.419410463155473	2.04355837644946	-0.43802	-0.48272	-0.4155	-0.34141	0.87209	0.56608	-7.49914	-1.93535	-0.0912715334686413	-0.11018	-0.11815	-0.07186	-0.06491	-0.30993	1.81156	-19.13125	-8.39513	-1.64441282880903	-1.95513	-2.11145	-1.3291	-1.18197	-0.05956	1.62926	-18.07062	-7.20578
"stick"	4	-0.197041727276519	0.099141227605287	-0.124234476143379	2.04355837644946	-0.13138	-0.13096	-0.12368	-0.11091	0.65098	0.15825	5.24632	-1.09848	-0.0154256458437626	-0.01727	-0.01722	-0.01424	-0.01298	0.2898	0.22574	1.6942	-2.47183	-0.307981163747169	-0.34286	-0.34185	-0.2866	-0.26061	0.33439	0.21854	2.01843	-2.34021
"stick"	4	-1.67323115931358	0.0133885574177839	-1.33823131592677	2.04355837644946	-1.52258	-1.52207	-1.1589	-1.14939	0.86209	5.53794	-30.30562	-3.54134	-0.63372700889475	-0.83702	-0.83674	-0.43082	-0.43033	0.29792	12.49522	-38.44284	-6.56314	-16.1552321586352	-21.96413	-21.96008	-10.35622	-10.34049	-2.27335	26.98031	-46.14046	-27.04691
"stick"	4	-0.48491570482729	0.0211469048517756	-0.317033000489321	2.04355837644946	-0.34005	-0.34677	-0.29162	-0.28969	0.91076	0.32268	-1.87854	-5.23185	-0.0582844487351877	-0.07036	-0.07147	-0.04583	-0.04547	0.07374	1.03959	-13.57769	-16.3378	-1.09221849131498	-1.30342	-1.32499	-0.87361	-0.86686	0.23693	0.94358	-12.60863	-12.95756
"stick"	4	-0.834571529726964	0.047820697829593	-0.60768673394961	2.04355837644946	-0.67859	-0.67731	-0.55956	-0.51529	0.86139	1.10075	-14.14934	-5.4162	-0.194652011332061	-0.25149	-0.25121	-0.13948	-0.13643	-1.1039	4.28849	-27.74873	-11.24677	-3.10197615295925	-3.98001	-3.97442	-2.26383	-2.18964	-0.60096	3.74094	-26.38277	-13.34653
"stick"	4	-1.32155083898688	0.0723731725593098	-1.02820303438188	2.04355837644946	-1.17652	-1.15304	-0.88265	-0.9006	0.85262	3.16855	-24.72212	-4.4244	-0.321222506962544	-0.44651	-0.43738	-0.20113	-0.19987	0.47106	6.00275	-31.11157	-8.35432	-8.85174266980355	-11.90871	-11.76208	-5.87772	-5.85846	-1.68049	13.51302	-39.22592	-19.88236
"stick"	4	-1.77470551531296	0.174009317532182	-1.42504303846099	2.04355837644946	-1.62766	-1.63522	-1.25661	-1.18067	0.87229	6.25973	-31.53076	-2.45164	-0.709290321283286	-0.98807	-0.99274	-0.15139	-0.70496	0.2326	15.34462	-40.49703	-6.18279	-18.9676464475443	-25.8549	-25.9191	-12.14469	-11.95189	-2.42678	32.42564	-47.97888	-16.78558
"stick"	4	-0.223918359237723	0.131027441995684	-0.149595624355458	2.04355837644946	-0.12148	-0.17613	-0.20908	-0.09169	0.72823	0.19392	3.21393	-2.39543	-0.019320468810498	-0.01744	-0.02431	-0.0243	-0.01124	0.3487	0.3002	-1.15625	-4.5314	-0.383718577171068	-0.34257	-0.47985	-0.48823	-0.22422	0.3987	0.28844	-0.75685	-4.31067
"stick"	4	-1.72437440531794	0.17483311961405	-1.39232049911165	2.04355837644946	-1.6224	-1.57606	-1.1444	-1.22643	0.85047	6.25576	-31.52441	-3.22829	-0.724160868260087	-0.92305	-0.89636	-0.50094	-0.57629	0.23258	14.17219	-39.7022	-6.3346	-17.5479322458622	-24.13342	-23.75549	-10.97665	-11.32617	-2.35488	29.63188	-47.07789	-18.57255
"stick"	4	-1.91649942074437	0.0197779596201144	-1.55650611730104	2.04355837644946	-1.7729	-1.77643	-1.33775	-1.33894	0.86476	7.86363	-33.81187	-3.1893	-0.0845098093940808	0	0	-0.16889	-0.16915	-0.56643	26.76287	-46.05954	-5.42753	-23.2928641837558	-31.91118	-31.94413	-14.66139	-14.65475	-2.62044	40.68719	-50.24852	-24.79117
"stick"	4	-0.0837996904505418	0.143011660606135	-0.0183078466419195	2.04845302857716	-0.01593	0.05976	0.00114	-0.11821	-1.90753	0.22866	1.56576	-3.05319	-0.00166641005740537	-0.00165	0.00718	0.00014	-0.01232	-2.0809	0.23538	1.27617	-2.83357	-0.034458746865921	-0.03372	0.14406	0.00271	-0.2509	-2.06031	0.23459	1.3097	-2.85567
"stick"	4	-0.385418646631297	0.204907233302947	-0.252210640582152	2.04355837644946	-0.3164	-0.32896	-0.1946	-0.16888	0.70433	0.36863	-3.20987	-0.29789	-0.0382746027919585	-0.05017	-0.0519	-0.02667	-0.02435	0.16258	0.62039	-8.41526	-1.81138	-0.742043288451356	-0.96981	-1.00416	-0.52146	-0.47274	0.24221	0.59015	-7.91565	-1.62885
"stick"	4	-0.0824574164580554	0.0724820140749216	-0.0316523424574353	2.04355837644946	-0.04241	-0.00916	-0.07373	-0.00131	0.43923	0.07898	12.19572	-1.70116	-0.00338341252186744	-0.00475	-0.00105	-0.00771	-2e-05	0.53701	0.07177	13.15378	-1.23754	-0.0686971188228517	-0.09602	-0.02123	-0.15694	-6e-04	0.52799	0.07246	13.05726	-1.27387
"stick"	4	-0.811213290714659	0.0597354139899835	-0.590077132378288	2.04355837644946	-0.63589	-0.67691	-0.50886	-0.53866	0.84714	1.10647	-14.20113	-5.77451	-0.183840370324239	-0.23245	-0.24091	-0.12994	-0.13206	-1.14406	4.14397	-27.40593	-11.42649	-2.96407755653583	-3.69871	-3.87086	-2.11819	-2.16855	-0.64518	3.62999	-26.08167	-17.24225
"stick"	4	-0.872656992776319	0.217342587478925	-0.643318792783755	2.04355837644946	-0.70817	-0.71581	-0.53104	-0.61826	0.85057	1.26649	-15.55192	-1.75588	-0.220499685361318	-0.2835	-0.28513	-0.15535	-0.15802	-1.21592	4.87715	-29.03499	-11.70276	-3.41731034182206	-4.35999	-4.39383	-2.40904	-2.50638	-0.67121	4.2355	-27.6244	-7.90448
"stick"	4	-0.0905212522484362	0.0868210833868943	-0.0630452394430661	2.04355837644946	-0.13484	7e-05	-0.06571	-0.0517	0.74632	0.1005	9.78653	-0.74182	-0.00707032317037518	-0.01568	0.00029	-0.00706	-0.00583	0.67843	0.11315	8.60087	-0.64638	-0.14288397056886	-0.31568	0.00523	-0.14329	-0.1178	0.68675	0.11168	8.73195	-0.65504
"stick"	4	-0.719110155350063	0.18510441336548	-0.532003883421666	2.04355837644946	-0.63273	-0.62197	-0.44922	-0.4241	0.73887	1.15361	-14.61835	-6.8402	-0.138660481496578	-0.18199	-0.1799	-0.09981	-0.09293	-0.90516	3.11601	-24.55492	-8.27051	-2.37248610689789	-3.10442	-3.06306	-1.72266	-1.5998	-0.56096	2.82052	-23.5586	-8.96633
"stick"	4	-1.8392842614674	0.160627183038741	-1.4843073147372	2.04355837644946	-1.67874	-1.69442	-1.24709	-1.31699	0.86961	6.91236	-32.52249	-3.23075	-0.0799129517445556	0	0	-0.15562	-0.16403	-0.57567	24.02899	-44.98199	-5.75896	-20.8167446959016	-28.38291	-28.52249	-13.10143	-13.26014	-2.51041	35.86587	-48.98725	-22.57481
"stick"	4	-1.1967510033166	0.118143508094363	-0.928476204612598	2.04355837644946	-1.06011	-1.0342	-0.80111	-0.81848	0.82588	2.74529	-23.28826	-4.02169	-0.252651481881123	-0.34836	-0.33956	-0.16013	-0.16256	0.50384	4.63418	-28.52399	-9.67186	-7.03356241526757	-9.3915	-9.24513	-4.72531	-4.77232	-1.49652	10.39517	-36.6028	-15.64949
"stick"	4	-1.48062839569757	0.00187920918688178	-1.16756905973552	2.04355837644946	-1.32482	-1.32467	-1.01058	-1.0102	0.85782	4.1174	-27.34161	-3.79202	-0.434389209011273	-0.59627	-0.59621	-0.27254	-0.27254	0.41101	8.3804	-34.44834	-7.56874	-11.762792482908	-15.85609	-15.8551	-7.6701	-7.66989	-1.96067	18.78912	-42.52217	-34.10961
"stick"	4	-1.60677945091156	0.153078381845262	-1.27001480715368	2.04355837644946	-1.44456	-1.4499	-1.13001	-1.05559	0.88356	4.62107	-28.49566	-2.59801	-0.554771919530831	-0.7449	-0.74772	-0.36327	-0.36319	0.34492	10.96076	-37.1326	-6.90868	-14.5834094796422	-19.75205	-19.79301	-9.43572	-9.35286	-2.14767	24.02632	-44.98089	-16.48953
"stick"	4	-1.46228671993595	0.173812218417879	-1.1573708923623	2.04355837644946	-1.35898	-1.35493	-1.00267	-0.91291	0.84895	4.13468	-27.38349	-2.85695	-0.424628908244381	-0.58433	-0.58259	-0.27188	-0.25972	0.42269	8.08337	-34.08747	-7.82347	-11.3944525876852	-15.47708	-15.44971	-7.43191	-7.21911	-1.889	18.08268	-42.13893	-14.90583
"stick"	4	-0.702547659061384	0.158319818379823	-0.47994513408487	2.04355837644946	-0.55925	-0.46464	-0.46972	-0.42616	0.91139	0.60127	-8.10227	-3.97252	-0.12170905291924	-0.16208	-0.14288	-0.09044	-0.09144	-0.55194	2.51633	-22.41742	-9.07473	-2.10311879304327	-2.78414	-2.41027	-1.61233	-1.60574	-0.1955	2.20854	-21.11272	-9.72152
