"model"	"n.muts"	"coes"	"sigma"	"u.mean"	"d.hat.MLE"	"u.hats.A"	"u.hats.B"	"u.hats.C"	"u.hats.D"	"u.hats.E"	"u.hats.F"	"u.hats.G"	"u.hats.H"	"u.hats.I"	"R2.stick"	"sig.stick"	"lnL.stick"	"P.stick"	"s.mean"	"s.hats.A"	"s.hats.B"	"s.hats.C"	"s.hats.D"	"s.hats.E"	"s.hats.F"	"s.hats.G"	"s.hats.H"	"s.hats.I"	"R2.mult"	"sig.mult"	"lnL.mult"	"P.mult"	"w.mean"	"w.hats.A"	"w.hats.B"	"w.hats.C"	"w.hats.D"	"w.hats.E"	"w.hats.F"	"w.hats.G"	"w.hats.H"	"w.hats.I"	"R2.add"	"sig.add"	"lnL.add"	"P.add"
"stick"	9	0.372096058016177	0.0323632087092847	0.42459910328233	0.880087847478626	0.42744	0.45396	0.41369	0.42698	0.42758	0.47254	0.3887	0.40817	0.40233	0.93812	0.02694	62.46292	-7.62198	0.228263804049148	0.21399	0.22702	0.23071	0.20744	0.22627	0.28514	0.24011	0.20267	0.22102	-0.28161	0.12261	20.03439	-52.91136	0.269926261957418	0.25965	0.27748	0.26933	0.25481	0.26933	0.32361	0.27056	0.2463	0.25826	0.39784	0.08404	30.60914	-43.76024
"stick"	9	0.162074507039506	0.0673132092342712	0.254927207852425	0.690163190980462	0.16581	0.25067	0.17136	0.20048	0.2614	0.33984	0.3387	0.28169	0.2844	0.67405	0.04646	47.2048	-2.35896	0.134991220411716	0.07255	0.12504	0.0912	0.10119	0.13421	0.19542	0.20032	0.14401	0.15098	0.46991	0.05925	40.39657	-13.30143	0.147258401490802	0.08362	0.1393	0.0991	0.11231	0.14818	0.20741	0.21132	0.15919	0.16488	0.57811	0.05286	43.59273	-9.35353
"stick"	9	0.24567212103866	0.0563339833752252	0.231991944964674	1.04161782258399	0.26437	0.23635	0.23871	0.27287	0.20104	0.22883	0.21532	0.231	0.19943	0.75854	0.05099	44.59997	-11.96142	0.178907393623574	0.19777	0.17082	0.18994	0.19456	0.16174	0.18504	0.18464	0.1652	0.16047	0.46637	0.07581	33.49826	-19.8179	0.203405820707667	0.22802	0.19972	0.213	0.22895	0.18151	0.20559	0.20107	0.19351	0.17929	0.66027	0.06048	39.8199	-13.30359
"stick"	9	0.421956010826398	0.241016094922088	0.228419129190702	1.76838535357016	0.28132	0.29675	0.34228	0.28798	0.17064	0.24578	0.0522	0.20284	0.17597	0.63662	0.14598	15.14995	-5.4293	0.268974461050227	0.31323	0.35184	0.41799	0.2936	0.21213	0.31694	0.08503	0.22964	0.20037	0.31292	0.20073	6.23186	-16.74709	0.332031712348768	0.39902	0.4367	0.50705	0.38929	0.25523	0.37294	0.0866	0.28965	0.25181	0.55418	0.16169	12.28745	-9.68951
"stick"	9	0.0644944386440329	0.124174256518018	0.0903252107873802	0.670300884601305	0.18314	0.06351	0.12242	-0.10911	0.14341	0.12568	-0.11889	0.06705	0.33571	0.12116	0.13463	17.41515	-26.36533	0.0733871946889141	0.12797	0.06117	0.11407	-0.08117	0.10001	0.11575	-0.07201	0.05967	0.23503	-0.04109	0.14654	15.04321	-27.00612	0.0662638153073106	0.12229	0.05307	0.09691	-0.07277	0.09979	0.09803	-0.07383	0.05147	0.22143	0.06979	0.13851	16.61979	-24.54975
"stick"	9	0.245316381123848	0.212106340331957	0.330856906824816	0.895142616602318	0.29347	0.32662	0.55885	0.34559	-0.05706	0.53035	0.19796	0.36531	0.41662	0.43388	0.16219	12.20132	-10.1899	0.210389125996731	0.15582	0.21225	0.38733	0.17231	-0.01015	0.3879	0.12359	0.17009	0.29436	0.56692	0.14186	15.95188	-14.08205	0.235674326420223	0.18708	0.238	0.4236	0.20752	-0.01995	0.41095	0.13962	0.21087	0.32337	0.57459	0.1406	16.20187	-11.76158
"stick"	9	0.125661145907361	0.0926745304604992	0.127969593589656	1.16867733162533	0.12266	0.20071	0.14689	0.08098	0.0713	0.21995	0.02335	0.16703	0.11887	0.43341	0.09134	28.27966	-9.94029	0.132419069290921	0.11727	0.21231	0.1546	0.0653	0.06434	0.24876	0.0254	0.17379	0.13001	0.39702	0.09422	27.40812	-10.54065	0.140133788688057	0.1284	0.22268	0.16242	0.07796	0.07285	0.25252	0.02672	0.18346	0.13419	0.42295	0.09218	28.02344	-10.0367
"stick"	9	0.288187700149138	0.0391519741388038	0.177852069747455	1.52503713899156	0.15958	0.18533	0.16124	0.17454	0.18509	0.16495	0.21462	0.18571	0.16961	0.91	0.03491	55.20805	-12.67793	0.208662443392203	0.17582	0.20631	0.18768	0.19984	0.21543	0.20482	0.27117	0.21752	0.19939	0.71959	0.06162	39.29856	-25.95514	0.239999316319603	0.20895	0.24429	0.21623	0.23353	0.24901	0.22831	0.29973	0.25125	0.22868	0.86846	0.04221	49.89535	-14.71
"stick"	9	0.205506042193156	0.0559897760394961	0.290097627600384	0.704634080272786	0.30443	0.30823	0.29295	0.28428	0.3552	0.30474	0.26099	0.26471	0.23534	0.74498	0.04163	50.27705	-8.23969	0.147156296959267	0.14718	0.152	0.15715	0.14228	0.18117	0.15737	0.14948	0.11825	0.11953	0.39508	0.06412	38.18436	-20.62298	0.163795364638558	0.16629	0.17158	0.17203	0.15992	0.20173	0.17285	0.16039	0.13677	0.1326	0.58147	0.05334	43.34136	-14.09939
"stick"	9	0.0649623834295198	0.0462129843072034	0.223035890887306	0.322287702480316	0.17966	0.23715	0.23648	0.03962	0.16591	0.34189	0.21283	0.33988	0.25389	0.42254	0.03651	53.95135	-11.28454	0.0609221274183307	0.04709	0.06657	0.06948	0.01064	0.03486	0.10179	0.05854	0.09414	0.06519	0.35706	0.03853	52.44778	-14.81348	0.0628804923541668	0.04904	0.06847	0.07079	0.01104	0.03753	0.10345	0.06043	0.0971	0.06805	0.37785	0.0379	52.90795	-14.13554
"stick"	9	0.297101502027363	0.0238704963121563	0.338981856057094	0.903363232169903	0.33117	0.3707	0.33954	0.36319	0.34498	0.32647	0.33712	0.32889	0.30879	0.93333	0.02714	62.2541	-5.10929	0.204394481193828	0.18645	0.21439	0.21133	0.20484	0.20618	0.21988	0.22395	0.18988	0.18267	0.30121	0.08788	29.3589	-39.72625	0.237237524948227	0.22195	0.25446	0.24218	0.24469	0.24028	0.24487	0.2502	0.22447	0.21205	0.67934	0.05953	40.26456	-24.34875
"stick"	9	0.289817635400686	0.199638875084929	0.142917348804993	2.0408733094646	0.14174	0.23716	0.12924	0.08594	0.06046	0.2611	0.10542	0.13985	0.12535	0.68881	0.11472	21.8968	-7.31303	0.233619341796276	0.22048	0.38059	0.22828	0.09867	0.09948	0.46394	0.17865	0.22578	0.2067	0.58639	0.13226	17.9138	-12.72207	0.266053569507268	0.25773	0.43993	0.24933	0.13691	0.11322	0.50353	0.19954	0.26018	0.2341	0.6689	0.11833	21.02868	-9.02749
"stick"	9	0.477189926977735	0.16180464415811	0.395402799746075	1.22933197564347	0.44757	0.26296	0.54263	0.44596	0.45911	0.38338	0.42746	0.18146	0.4081	0.40144	0.15958	12.65615	-7.83632	0.285324932222316	0.28424	0.12974	0.36695	0.2635	0.32048	0.34247	0.39156	0.15216	0.31682	-0.60981	0.2617	-1.19467	-30.09683	0.34929418440694	0.36542	0.17605	0.4563	0.34665	0.39951	0.39425	0.44513	0.18041	0.37993	-0.05754	0.21211	4.68775	-18.6762
"stick"	9	0.0904017904307693	0.171137746481691	0.165443117709053	0.677856735697378	0.39643	0.27332	0.10575	0.08942	-0.10277	0.16788	0.16111	0.23641	0.16143	0.31758	0.13034	18.32306	-14.09045	0.0830821501607835	0.1908	0.14202	0.04025	0.04366	-0.04785	0.09532	0.09163	0.11536	0.07655	0.40377	0.12183	20.21334	-13.55891	0.0903130699259006	0.20874	0.14876	0.04949	0.04835	-0.05326	0.10091	0.09709	0.12581	0.08693	0.39466	0.12276	20.00115	-13.80775
"stick"	9	0.302119830437005	0.119323207181878	0.189565934011141	1.63921922729197	0.1672	0.21267	0.22109	0.09833	0.14577	0.28748	0.17636	0.22257	0.17464	0.62114	0.1086	23.43295	-11.89172	0.233371955019019	0.18376	0.26065	0.29338	0.12244	0.17062	0.38944	0.22975	0.26282	0.18748	0.45082	0.13075	18.23557	-18.09464	0.271923135222862	0.22621	0.30489	0.33014	0.14166	0.20351	0.43361	0.25965	0.31323	0.2344	0.58012	0.11432	21.99403	-14.47711
"stick"	9	0.0904910126468167	0.224454425449949	0.195645671575661	0.802395544280697	0.15419	0.20527	0.45448	0.20404	0.15307	0.17943	0.40281	0.04075	-0.03323	0.34347	0.17168	10.60924	-8.70296	0.108768095473465	0.08219	0.12763	0.2576	0.11857	0.00379	0.12614	0.30075	0.00932	-0.04708	0.44174	0.15831	12.87924	-9.09364	0.121445175009986	0.09254	0.13908	0.28488	0.13112	0.02949	0.13271	0.30577	0.01753	-0.04012	0.45244	0.15679	13.15023	-8.81701
"stick"	9	0.292192561540287	0.131490111001767	0.19368275716282	1.41990826691079	0.23405	0.25877	0.21446	0.10009	0.23181	0.2439	0.09293	0.18176	0.18538	0.44329	0.13227	17.91176	-14.98175	0.214452506241509	0.25037	0.29202	0.24125	0.0892	0.24077	0.30675	0.11788	0.17125	0.22058	0.32883	0.14523	15.29422	-23.50334	0.242328157657544	0.28781	0.32981	0.26944	0.11203	0.28094	0.32683	0.12487	0.20774	0.24149	0.40973	0.1362	17.09227	-18.76369
"stick"	9	0.307161998236552	0.029630396340508	0.299079253855742	1.01871245914636	0.28946	0.31141	0.26747	0.30298	0.31765	0.29776	0.30546	0.29982	0.29971	0.9457	0.02493	64.63709	-6.85051	0.211685619343878	0.19404	0.20293	0.18478	0.20368	0.22563	0.23605	0.23373	0.20385	0.2205	0.43505	0.08041	31.84708	-41.04954	0.245584744266703	0.23033	0.24385	0.21526	0.24225	0.2619	0.26187	0.26193	0.2408	0.25207	0.76554	0.0518	44.15945	-24.54325
