"model"	"n.muts"	"coes"	"sigma"	"u.mean"	"d.hat.MLE"	"u.hats.mut.1"	"u.hats.mut.2"	"u.hats.mut.3"	"R2.stick"	"sig.stick"	"lnL.stick"	"P.stick"	"s.mean"	"s.hats.mut.1"	"s.hats.mut.2"	"s.hats.mut.3"	"R2.mult"	"sig.mult"	"lnL.mult"	"P.mult"	"w.mean"	"w.hats.mut.1"	"w.hats.mut.2"	"w.hats.mut.3"	"R2.add"	"sig.add"	"lnL.add"	"P.add"
"stick"	3	0.359728648525197	0.0413494698586874	0.29255004193202	1.17806928075296	0.28103	0.29711	0.29951	0.98601	0.01898	21.36528	-1.15292	0.227629185225379	0.22113	0.22844	0.23332	0.54705	0.10798	7.4547	-9.37636	0.269069016477015	0.2602	0.27118	0.27583	0.81456	0.06909	11.02689	-8.21689
"stick"	3	0.330116869788617	0.029774641036056	0.314893483002677	1.0601330255926	0.30868	0.30233	0.33367	0.9943	0.0116	25.3042	-2.99355	0.218487223473509	0.21222	0.21196	0.23128	0.5268	0.10571	7.62458	-12.27033	0.256306733136273	0.24948	0.24769	0.27175	0.79656	0.06931	11.00126	-13.0073
"stick"	3	0.258886086090934	0.187810441770125	0.0413350201127602	7.39275930148475	0.03757	0.05636	0.03007	0.68269	0.18791	3.02286	-3.71311	0.251645586270867	0.22346	0.38883	0.14265	0.6305	0.20277	2.41379	-3.72054	0.296356139427199	0.2681	0.41249	0.20849	0.68134	0.18831	3.00586	-3.746
"stick"	3	0.157087662839331	0.239124044193886	0.079687789275486	0.506901747069346	0.07142	0.50413	-0.33649	-0.17639	0.1806	3.34014	-5.36363	0.0588362481885226	0.05161	0.17775	-0.05284	0.3019	0.13913	5.4275	-5.10473	0.0596814925797048	0.05062	0.19616	-0.06774	0.27616	0.14167	5.28266	-4.98264
"stick"	3	0.0794381229905412	0.2061577035347	0.0998583596863352	1.22184847895391	0.211	0.08388	0.00469	0.0175	0.29573	-0.60494	-6.12892	0.0916881869281039	0.24892	0.08677	-0.06062	0.08491	0.2854	-0.32066	-3.80857	0.102551336397394	0.24608	0.08927	-0.0277	0.08118	0.28598	-0.3369	-4.86237
"stick"	3	0.41009923190577	0.194900584756397	0.400674920905421	0.87639548843264	0.38362	0.48482	0.33358	0.77164	0.08912	8.99056	-3.02387	0.216655953371933	0.18792	0.25998	0.20207	0.2101	0.16575	4.02656	-6.79169	0.252776023620426	0.22306	0.30325	0.23202	0.4815	0.13429	5.71043	-4.55853
"stick"	3	0.444758296641521	0.134396606590599	0.382775544509682	1.38872459781916	0.3693	0.39217	0.38686	0.34519	0.22679	1.51851	-1.35712	0.281008562381027	0.25756	0.28566	0.2998	0.79799	0.12596	6.22269	-1.57641	0.352247669300018	0.3277	0.36058	0.36846	0.79976	0.12541	6.25777	-0.09538
"stick"	3	0.348174037004355	0.176676820788998	0.239766863315101	1.06932474138248	0.33875	0.13208	0.24847	0.51737	0.11327	7.07234	-1.88755	0.179564546247377	0.27035	0.08151	0.18684	0.30227	0.13619	5.59795	-4.11327	0.205248171744395	0.30518	0.0969	0.21366	0.42134	0.12403	6.34648	-3.05506
"stick"	3	0.454762479767669	0.212344041035976	0.423974763263591	0.909807984511151	0.35425	0.34266	0.57501	0.53512	0.17993	3.37016	-6.53608	0.235562231262728	0.21963	0.10049	0.38657	0.04196	0.25829	0.47772	-5.37903	0.271915337060216	0.24368	0.1388	0.43327	0.26384	0.22642	1.53151	-5.95151
"stick"	3	0.471680215361994	0.0933480536332354	0.295014824159442	1.34681464361721	0.28934	0.24557	0.35013	0.86828	0.07918	9.93637	-2.12934	0.259589404056215	0.23787	0.2401	0.3008	0.45644	0.16086	4.26648	-9.20013	0.312607600797814	0.2921	0.28017	0.36555	0.72078	0.11529	6.93106	-4.98931
"mult"	3	0.0885443887673318	0.0184384583262727	0.29379110637849	0.420185492755681	0.32458	0.28654	0.27025	0.82117	0.03091	17.46208	-5.78843	0.087994179095451	0.10134	0.08468	0.07797	0.98815	0.00796	28.3195	-1.08596	0.0943308450411755	0.10789	0.09099	0.08412	0.98594	0.00867	27.63585	-1.29412
"mult"	3	0.488718036701903	0.0366677497513592	0.419832570256166	2.53226657163561	0.41858	0.41211	0.4288	0.29351	0.53876	-5.40369	-13.68458	0.481229457322925	0.46172	0.47145	0.51053	0.99494	0.04558	14.35449	-2.01429	0.686163438424366	0.67242	0.66989	0.71618	0.90068	0.202	2.44423	-9.08336
"mult"	3	0.302052204927895	0.216878347913735	0.357755759471409	1.7340044284137	0.41656	0.33566	0.32105	-0.20439	0.47826	-4.4507	-1.69638	0.288760101963	0.39198	0.251	0.2233	0.57062	0.28556	-0.32517	-1.1404	0.381599154442765	0.4973	0.33883	0.30867	0.46741	0.31804	-1.18677	-1.27643
"mult"	3	0.443709938798565	0.225667109945789	0.401773117020615	3.2033454105851	0.3583	0.39067	0.45635	-0.08705	0.90819	-9.58113	-3.82027	0.516702379936164	0.42516	0.46387	0.66108	0.8816	0.29973	-0.71258	-0.6109	0.789483445094195	0.65119	0.73299	0.98427	0.68891	0.48585	-4.57662	-2.43636
"mult"	3	0.389782671560533	0.0238085442106239	0.410415635459724	1.96962910973617	0.40913	0.40874	0.41337	0.35467	0.38467	-2.70848	-12.52498	0.393422753566	0.39016	0.39371	0.39639	0.9996	0.00961	26.80408	-2.1126	0.529102871557226	0.52578	0.52775	0.53378	0.92096	0.13463	5.69055	-15.97241
"mult"	3	0.456857124075759	0.174562863132451	0.417712023297528	2.45063457967894	0.37636	0.44912	0.42766	0.21459	0.6191	-6.51556	-8.97959	0.468106120041504	0.40351	0.54675	0.45406	0.95759	0.14386	5.16001	-0.71023	0.661325006905124	0.57074	0.74713	0.66611	0.81642	0.29931	-0.70131	-3.13259
"mult"	3	0.130224907048978	0.195514652004931	0.126466206739707	0.420905629405004	-0.11062	0.02648	0.46353	0.0959	0.11551	6.91579	-6.98548	0.0524790388024158	-0.01849	0.02979	0.14613	0.27354	0.10354	7.79078	-4.03329	0.0541874202514125	-0.0217	0.02799	0.15627	0.26031	0.10448	7.71863	-4.34279
"mult"	3	0.234510827076156	0.0289778505102731	0.388775433593822	1.03904644123816	0.3829	0.37036	0.41306	0.59414	0.15517	4.55417	-16.62521	0.233992760347742	0.22952	0.21444	0.25802	0.99158	0.02234	20.05803	-1.09422	0.27931131650374	0.27401	0.25869	0.30523	0.96275	0.04701	14.10724	-2.84084
