"model"	"n.muts"	"coes"	"sigma"	"u.mean"	"d.hat.MLE"	"u.hats.mut.1"	"u.hats.mut.2"	"u.hats.mut.3"	"u.hats.mut.4"	"R2.stick"	"sig.stick"	"lnL.stick"	"P.stick"	"s.mean"	"s.hats.mut.1"	"s.hats.mut.2"	"s.hats.mut.3"	"s.hats.mut.4"	"R2.mult"	"sig.mult"	"lnL.mult"	"P.mult"	"w.mean"	"w.hats.mut.1"	"w.hats.mut.2"	"w.hats.mut.3"	"w.hats.mut.4"	"R2.add"	"sig.add"	"lnL.add"	"P.add"
"stick"	4	0.251913814723957	0.0170562643324956	0.28449974479228	0.912772944176082	0.2753	0.26392	0.30764	0.29113	0.9917	0.01246	48.45494	-2.53639	0.142369860561763	0.13813	0.13278	0.15581	0.14276	0.20481	0.12204	11.95187	-37.31757	0.174724570462894	0.16913	0.16248	0.19101	0.17627	0.62088	0.08426	17.87769	-32.14584
"stick"	4	0.239932139054872	0.132891203917097	0.282270399841327	0.891919087507101	0.27961	0.32243	0.41242	0.11463	0.48592	0.11074	13.50595	-7.64208	0.13773187034844	0.12265	0.13837	0.20724	0.08267	-0.98147	0.21741	2.71222	-25.86751	0.167986706534469	0.15252	0.17234	0.25246	0.09463	-0.40359	0.18298	5.47071	-18.68904
"stick"	4	0.339398475235794	0.0433873623842373	0.342438734807317	0.988632470160354	0.40052	0.38708	0.26671	0.31545	0.95526	0.03776	30.7206	-5.53899	0.168211273208504	0.20979	0.18411	0.12969	0.14925	-0.00411	0.17889	5.83294	-36.31492	0.212802235272863	0.26196	0.23524	0.16372	0.19029	0.48859	0.12767	11.23039	-25.02884
"stick"	4	0.0525692206458189	0.0301157073699869	0.108067120958945	0.455322767264682	0.05373	0.09807	0.1035	0.17697	0.635	0.02969	34.56981	-1.4134	0.0401167094669604	0.01723	0.03797	0.03655	0.06871	0.72225	0.0259	36.75528	-2.95134	0.042332441555011	0.01887	0.03965	0.03904	0.07177	0.70857	0.02653	36.3706	-2.51204
"stick"	4	0.494938388909213	0.147449883399531	0.353299392363182	1.21757775377857	0.4171	0.38525	0.25811	0.35273	0.53798	0.14683	8.99282	-6.40764	0.18986418989644	0.19791	0.17688	0.14225	0.24241	-1.19374	0.31994	-3.46919	-19.40185	0.25291486726291	0.27292	0.2416	0.18215	0.31499	-0.34571	0.25059	0.44026	-15.49405
"stick"	4	0.441914419783279	0.200545038969722	0.122809715817828	1.17553189916736	-0.02709	-0.01329	0.36966	0.16196	-2.27343	0.36896	-5.74991	-12.39892	0.105736884283432	0.03341	0.02072	0.25501	0.1138	-3.15354	0.41561	-7.65488	-23.15551	0.124336202020905	0.02349	0.01407	0.3178	0.14199	-2.68313	0.39137	-6.69329	-18.26068
"stick"	4	0.0576680993544869	0.0101207807310857	0.121199037201325	0.486562842508888	0.12559	0.10977	0.12282	0.12661	0.95665	0.00914	53.42419	-2.6	0.0469147062463947	0.04981	0.04205	0.04707	0.04872	0.87283	0.01565	44.81388	-9.248	0.0500225807787873	0.05278	0.04496	0.05034	0.05201	0.9121	0.01301	47.76803	-7.15609
"stick"	4	0.117713429301512	0.092602068267297	0.299930120102251	0.579364307798458	0.32696	0.28535	0.32741	0.26001	0.36754	0.10771	13.95019	-5.41664	0.103142403592196	0.08302	0.11375	0.13052	0.08528	0.6941	0.07491	19.76111	-7.62073	0.117349750434026	0.10343	0.12501	0.14331	0.09765	0.68029	0.07658	19.40772	-6.52638
"stick"	4	0.133414376690052	0.017490811063908	0.16441896555284	0.837171709252075	0.16201	0.17466	0.14795	0.17307	0.97583	0.01442	46.12086	-1.74832	0.0958121877579193	0.09566	0.10278	0.08338	0.10143	0.74754	0.04661	27.35237	-17.86222	0.109540703088884	0.10888	0.11715	0.0964	0.11573	0.87973	0.03217	33.28462	-11.50844
"stick"	4	0.268966728413943	0.0104112894041464	0.24814075128422	1.06237724179986	0.25514	0.25369	0.24749	0.23625	0.99736	0.00761	56.34061	-1.92219	0.150219033157747	0.15572	0.15339	0.14877	0.14299	0.35045	0.11934	12.30926	-38.50737	0.18625662554268	0.19277	0.19027	0.1849	0.17709	0.72792	0.07724	19.27067	-41.49038
"stick"	4	0.426990444329567	0.0744868264882825	0.461398712022249	0.975904144951709	0.45695	0.50618	0.45222	0.43025	0.81376	0.0665	21.66619	-2.64468	0.173424856971884	0.18177	0.20425	0.1764	0.13128	-2.42613	0.28522	-1.63087	-29.37072	0.226637982205211	0.23578	0.26549	0.22949	0.17578	-1.07461	0.22194	2.38241	-24.18592
