"model"	"n.muts"	"coes"	"sigma"	"u.mean"	"d.hat.MLE"	"u.hats.mut.1"	"u.hats.mut.2"	"u.hats.mut.3"	"u.hats.mut.4"	"u.hats.mut.5"	"R2.stick"	"sig.stick"	"lnL.stick"	"P.stick"	"s.mean"	"s.hats.mut.1"	"s.hats.mut.2"	"s.hats.mut.3"	"s.hats.mut.4"	"s.hats.mut.5"	"R2.mult"	"sig.mult"	"lnL.mult"	"P.mult"	"w.mean"	"w.hats.mut.1"	"w.hats.mut.2"	"w.hats.mut.3"	"w.hats.mut.4"	"w.hats.mut.5"	"R2.add"	"sig.add"	"lnL.add"	"P.add"
"stick"	5	0.323092088208068	0.152274896914605	0.251072370269783	1.14064364241686	0.22948	0.22169	0.19821	0.33254	0.27345	0.49311	0.16192	13.85488	-18.66471	0.120217216629562	0.13321	0.09303	0.07875	0.17197	0.12413	-0.62303	0.28974	-4.76526	-29.88576	0.162446234124412	0.17379	0.12603	0.10823	0.23114	0.17305	-0.05062	0.23311	2.19341	-24.15184
"stick"	5	0.190086547064129	0.154733848292381	0.170742200974604	1.14407162523543	0.17388	0.17223	0.178	0.17593	0.15367	0.43737	0.14717	16.91118	-17.40612	0.106520172103707	0.09947	0.09615	0.11642	0.1317	0.08885	0.02292	0.19394	8.07992	-30.89455	0.13434967113597	0.12996	0.12642	0.14456	0.15603	0.11478	0.25835	0.16897	12.49109	-25.53836
"stick"	5	0.166658052720595	0.139822833589278	0.294131318366372	0.597731096999423	0.24792	0.3188	0.32996	0.36808	0.2059	0.25005	0.12294	22.66817	-12.71803	0.0710442342941714	0.05776	0.08345	0.0724	0.08531	0.0563	-0.77407	0.18909	8.89172	-27.60304	0.0870454147627005	0.07197	0.1017	0.0905	0.10378	0.06728	-0.41407	0.16881	12.52056	-23.34269
"stick"	5	0.355497741664294	0.119555995217524	0.269676616146826	1.22606871426769	0.2177	0.24019	0.31908	0.26524	0.30617	0.59908	0.13387	19.94295	-15.98103	0.128603572802302	0.10153	0.10947	0.14371	0.15198	0.13632	-1.26876	0.31845	-7.78862	-33.6712	0.179978308043563	0.14062	0.15269	0.20529	0.20971	0.19158	-0.29303	0.24041	1.20735	-23.78628
"stick"	5	0.0605066813644953	0.0211281618685462	0.0519619522771117	1.14040047384069	0.05432	0.05226	0.05001	0.04783	0.05539	0.88562	0.01981	81.08909	-4.85163	0.0486338047814364	0.05122	0.04937	0.04642	0.04426	0.0519	0.82697	0.02436	74.46664	-9.77724	0.0536051770983071	0.05629	0.05418	0.05134	0.04905	0.05716	0.87023	0.0211	79.0694	-7.18579
"stick"	5	0.314380846964195	0.0412970809848048	0.280525276897765	1.0931702339009	0.28516	0.29071	0.26267	0.25882	0.30525	0.95964	0.03546	62.45228	-4.21857	0.129632344733937	0.13072	0.13331	0.125	0.11584	0.14328	-0.6897	0.22944	2.70187	-74.08302	0.175967617794009	0.17776	0.18088	0.16833	0.15854	0.19433	0.21818	0.15607	15.03291	-48.97474
"stick"	5	0.261436295532621	0.200489471142646	0.194144350106595	1.09100223050372	0.08998	0.30869	0.35968	0.10596	0.10642	0.39957	0.17133	12.04731	-18.09354	0.113661796190091	0.05347	0.12477	0.19692	0.10592	0.08723	-0.26752	0.24893	0.09242	-35.93551	0.143784431111855	0.06249	0.18076	0.24939	0.12365	0.10264	0.06854	0.21339	5.02152	-31.83475
"stick"	5	0.384730004798621	0.0802043030271307	0.351771272771153	1.04615757343125	0.32779	0.33417	0.36993	0.32631	0.40066	0.84741	0.0734	39.17154	-9.26478	0.131069915790697	0.12758	0.13425	0.13743	0.11532	0.14077	-1.65988	0.30646	-6.56086	-59.61664	0.181975883375438	0.17326	0.18384	0.19469	0.16055	0.19754	-0.4272	0.22449	3.40021	-40.57103
"stick"	5	0.0748752039158717	0.22250158112729	0.122083302775277	0.948726425505409	0.06526	0.23313	0.12927	0.10423	0.07853	0.13499	0.20327	6.57726	-19.7436	0.0787852865409345	0.10141	0.15166	0.05439	0.04888	0.0376	0.24724	0.18962	8.80115	-27.0015	0.0868089336189936	0.09422	0.16958	0.06971	0.05975	0.04078	0.25455	0.1887	8.95732	-25.29495
"stick"	5	0.152352898509707	0.189984723925591	0.277034384532933	0.852697282354079	0.40735	0.37941	0.10676	0.40861	0.08303	-0.10195	0.26595	-2.02406	-15.52567	0.12505480794835	0.1926	0.14768	0.05633	0.13441	0.09425	0.4446	0.18881	8.93834	-22.53852	0.144995938075589	0.21282	0.18258	0.05963	0.17616	0.09379	0.42246	0.19254	8.31305	-17.98111
"mult"	5	0.442867085523903	0.130259446857963	0.261180174587923	5.80782846358331	0.26028	0.25832	0.26073	0.26538	0.26119	-0.3932	1.3575	-54.18672	-75.04877	0.450078753689765	0.45113	0.44702	0.44227	0.44441	0.46557	0.98674	0.13246	20.28137	-4.0589	0.962096370829529	0.9589	0.95441	0.95123	0.96593	0.98001	0.54076	0.77938	-36.43	-52.52415
"mult"	5	0.170120298303664	0.183874256850686	0.353757055228662	1.11810432139187	0.37895	0.32814	0.36191	0.27723	0.42255	0.0651	0.2602	-1.32447	-11.67253	0.159751952137574	0.2085	0.14877	0.12127	0.11811	0.20212	0.75306	0.13373	19.97638	-10.99064	0.215510720402552	0.27415	0.19973	0.17595	0.16172	0.26601	0.7499	0.13458	19.77301	-7.97618
"mult"	5	0.112272513099015	0.216422259749379	0.128547666036622	1.8644657676739	0.09001	0.08358	0.16883	0.10489	0.19543	0.28498	0.26818	-2.29139	-6.98453	0.150872705495292	0.10268	0.04547	0.24677	0.08824	0.27119	0.48248	0.22816	2.88096	-14.1582	0.190315535113792	0.12905	0.09194	0.2838	0.13318	0.31362	0.44022	0.23729	1.62505	-9.6738
