"model"	"n.muts"	"coes"	"sigma"	"u.mean"	"d.hat.MLE"	"u.hats.mut.1"	"u.hats.mut.2"	"u.hats.mut.3"	"u.hats.mut.4"	"u.hats.mut.5"	"R2.stick"	"sig.stick"	"lnL.stick"	"P.stick"	"s.mean"	"s.hats.mut.1"	"s.hats.mut.2"	"s.hats.mut.3"	"s.hats.mut.4"	"s.hats.mut.5"	"R2.mult"	"sig.mult"	"lnL.mult"	"P.mult"	"w.mean"	"w.hats.mut.1"	"w.hats.mut.2"	"w.hats.mut.3"	"w.hats.mut.4"	"w.hats.mut.5"	"R2.add"	"sig.add"	"lnL.add"	"P.add"
"stick"	5	0.0975294712930918	0.223816752026323	0.037229027456884	0.632030785112465	0.4776	-0.05062	-0.23488	0.01633	-0.02229	0.38675	0.16187	5.82454	0	0.0118130938579209	0.25726	-0.06759	-0.11191	-0.04198	0.02329	-0.14403	0.22108	2.08332	0	0.0170730251135726	0.27054	-0.05825	-0.11697	-0.02725	0.0173	0.1289	0.19292	3.71866	0
"stick"	5	0.198711587348953	0.132637951057404	0.17318872350369	1.28104411530037	0.16099	0.14963	0.30755	0.12113	0.12664	0.9494	0.07151	15.62839	0	0.140991026740804	0.09775	0.13872	0.26461	0.08645	0.11743	0.96474	0.05969	17.79574	0	0.161587718890455	0.12338	0.15171	0.3034	0.10145	0.12799	0.94822	0.07234	15.48991	0
"stick"	5	0.0593146934290417	0.170690951752476	0.0831632014514176	0.608687656625702	0.26483	0.32604	0.13616	-0.18532	-0.12589	-0.25262	0.17958	4.57809	0	0.0532221056987722	0.18806	0.16677	0.07748	-0.06324	-0.10295	-0.38174	0.18861	3.98944	0	0.0528469401232979	0.17581	0.17599	0.0793	-0.07514	-0.09173	-0.31213	0.1838	4.29958	0
"stick"	5	0.24630979768699	0.237522060109768	0.100810068312706	3.34691818049199	0.08779	0.14181	0.03082	0.13062	0.11302	-0.0474	0.392	-4.7892	0	0.227194658767122	0.22054	0.34995	-0.06014	0.31759	0.30803	-0.63255	0.48939	-7.45219	0	0.293173490550375	0.26238	0.42672	0.03635	0.38996	0.35045	-0.09766	0.40129	-5.0704	0
"stick"	5	0.148773971491028	0.0117920584161766	0.164213368874415	1.01203045036836	0.16994	0.16834	0.16029	0.15575	0.16674	0.95336	0.03765	23.32658	0	0.126276771140634	0.12784	0.12904	0.12293	0.12361	0.12795	0.46462	0.12756	8.68314	0	0.13761787839906	0.14038	0.14082	0.13401	0.13331	0.13956	0.83585	0.07063	15.77627	0
"stick"	5	0.373477573564742	0.188742742873728	0.315810885801718	1.09719279984764	0.05263	0.43548	0.28458	0.57917	0.2272	0.36386	0.20744	2.84746	0	0.276457313625109	0.22219	0.35963	0.19614	0.47879	0.12553	-9.14303	0.82834	-13.76725	0	0.304360253830551	0.22036	0.39619	0.22232	0.53214	0.1508	-2.04611	0.45394	-6.54972	0
"stick"	5	0.423717137740459	0.0728898199740797	0.0857751682547138	2.93498580665282	0.07274	0.07746	0.09645	0.08625	0.09598	0.78896	0.12853	8.59219	0	0.241043436049745	0.20656	0.22357	0.27143	0.24747	0.25619	-1.79745	0.46794	-6.91421	0	0.25062934616092	0.21313	0.22916	0.28255	0.25483	0.27346	0.64547	0.16658	5.4799	0
"stick"	5	0.0560448395553976	0.170227959402837	-0.189110714030738	0.590453903714855	-0.11481	0.30254	-0.28992	-0.02433	-0.81903	-6.89552	0.56154	-9.10241	0	-0.0390438104286821	-0.03269	0.16724	-0.08507	-0.01212	-0.23258	-1.75486	0.3317	-2.78483	0	-0.0488233137103578	-0.0403	0.17102	-0.1006	-0.01271	-0.26152	-2.0892	0.35125	-3.4721	0
"stick"	5	0.223603297432419	0.15213060984388	0.168276204183393	1.22559755557768	0.03675	0.28879	0.19329	0.09832	0.22423	0.66091	0.14157	7.43206	0	0.182964191926542	0.11468	0.28134	0.16908	0.16603	0.18369	-0.96246	0.34058	-3.10202	0	0.195861171968588	0.10384	0.30829	0.19063	0.1619	0.21464	0.30984	0.20197	3.16816	0
"stick"	5	0.0649949664017186	0.122478347911965	0.373496964109975	0.425571581872008	0.45642	0.2426	0.52039	0.31874	0.32934	-3.92106	0.17116	5.15473	0	0.122812837551529	0.161	0.06338	0.19765	0.0984	0.09363	-20.17315	0.35503	-3.60053	0	0.128854490660612	0.16739	0.06881	0.2027	0.10404	0.10133	-13.42464	0.29304	-1.29775	0
"stick"	5	0.274453374708537	0.239450701046735	0.132732323915736	1.3938774932137	-0.07623	0.09258	0.16577	0.4078	0.07375	0.82109	0.11271	10.16798	0	0.18187305536583	-0.02069	0.15966	0.18228	0.47352	0.1146	-0.16584	0.28772	-1.07797	0	0.188850530270377	-0.0434	0.15506	0.20153	0.51825	0.11281	0.62267	0.16369	5.69043	0
"stick"	5	0.361177971994039	0.00831316155381501	0.371718977271174	0.977870582563123	0.36163	0.38451	0.37177	0.36735	0.37333	0.99838	0.00994	39.30661	0	0.242491530433677	0.24293	0.24117	0.2425	0.24585	0.24001	-3.57521	0.52812	-8.36605	0	0.261504037256511	0.2612	0.26116	0.26149	0.26458	0.25909	0.22063	0.21797	2.25351	0
