Mutant	mut.1	mut.2	Fitness	Reps	SE
AB	2	3	8.78	5	0.160686029
AD	2	5	9.332	5	0.328335195
AF	2	7	10.982	5	0.35539274
AG	2	8	8.6	7	0.463136306
AH	2	9	9.144	5	0.371006738
BD	3	5	12.16833333	6	0.401126885
BE	3	6	5.9	5	0.173867766
BG	3	8	9.658333333	6	0.33558324
BH	3	9	9.756	5	0.358072618
BI	3	10	6.626	5	0.258584609
CD	4	5	8.95	5	0.16754104
CE	4	6	2.976666667	6	0.289777693
CH	4	9	5.562	5	0.331140454
DF	5	7	11.806	5	0.224156196
DH	5	9	10.402	5	0.565096452
DI	5	10	7.296	5	0.363133584
EH	6	9	5.418	5	0.445661306
EI	6	10	3.29	5	0.263552651
