A	B	C	D	E	F	G	H	I	Fitness	Reps	SE
0	0	0	0	0	0	0	0	0	-4.081875	16	0.607289894
1	0	0	0	0	0	0	0	0	0.08	7	0.592400283
0	1	0	0	0	0	0	0	0	9.218	5	0.187494
0	0	1	0	0	0	0	0	0	3	5	0.162511538
0	0	0	1	0	0	0	0	0	8.07	5	0.250838594
0	0	0	0	1	0	0	0	0	6.092	5	0.302115872
0	0	0	0	0	1	0	0	0	7.273333333	15	0.289438976
0	0	0	0	0	0	1	0	0	5.61	6	0.363978021
0	0	0	0	0	0	0	1	0	5.3	5	0.088994382
0	0	0	0	0	0	0	0	1	2.894	5	0.330871576
1	1	0	0	0	0	0	0	0	8.78	5	0.160686029
1	0	0	1	0	0	0	0	0	9.332	5	0.328335195
1	0	0	0	0	1	0	0	0	10.982	5	0.35539274
1	0	0	0	0	0	1	0	0	8.6	7	0.463136306
1	0	0	0	0	0	0	1	0	9.144	5	0.371006738
0	1	0	1	0	0	0	0	0	12.16833333	6	0.401126885
0	1	0	0	1	0	0	0	0	5.9	5	0.173867766
0	1	0	0	0	0	1	0	0	9.658333333	6	0.33558324
0	1	0	0	0	0	0	1	0	9.756	5	0.358072618
0	1	0	0	0	0	0	0	1	6.626	5	0.258584609
0	0	1	1	0	0	0	0	0	8.95	5	0.16754104
0	0	1	0	1	0	0	0	0	2.976666667	6	0.289777693
0	0	1	0	0	0	0	1	0	5.562	5	0.331140454
0	0	0	1	0	1	0	0	0	11.806	5	0.224156196
0	0	0	1	0	0	0	1	0	10.402	5	0.565096452
0	0	0	1	0	0	0	0	1	7.296	5	0.363133584
0	0	0	0	1	0	0	1	0	5.418	5	0.445661306
0	0	0	0	1	0	0	0	1	3.29	5	0.263552651
